model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_primary,angry_tweets_secondary,dansk_primary,dansk_secondary,scala_da_primary,scala_da_secondary,scandiqa_da_primary,scandiqa_da_secondary,nordjylland_news_primary,nordjylland_news_secondary,danske_talemaader_primary,danske_talemaader_secondary,danish_citizen_tests_primary,danish_citizen_tests_secondary,hellaswag_da_primary,hellaswag_da_secondary,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,speed_version
"gpt-4-1106-preview (few-shot, val)",1.18,1.17,,100.0,128000,575.52,True,False,61.62,73.99,66.8,45.69,66.84,82.79,68.83,56.85,66.21,18.02,95.21,96.41,97.19,98.12,78.74,83.91,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.5.3
"gpt-4-0613 (few-shot, val)",1.23,1.16,,100.0,8191,597.21,True,False,59.97,73.06,64.94,45.76,71.56,85.36,68.46,56.43,66.76,18.99,94.93,96.21,93.98,95.94,81.64,86.17,0.0.0,0.0.0,0.0.0,12.9.0,12.6.1,10.0.1,10.0.1,9.1.2,12.5.3
"claude-3-5-sonnet-20241022 (zero-shot, val)",1.27,2.26,,,200000,192.92,True,False,63.61,76.0,65.88,55.11,71.03,85.46,59.56,46.24,64.6,13.66,84.02,88.01,85.34,89.61,23.71,41.45,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
"syvai/danskgpt-chat-llama3-70b (few-shot, val)",1.32,1.53,70554.0,128.0,7937,1282.9,True,False,62.78,75.05,65.4,54.29,57.88,78.5,68.23,62.24,66.78,20.59,86.2,88.64,80.14,85.73,66.22,74.34,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0
KennethEnevoldsen/dfm-sentence-encoder-large-2,1.37,999.0,355.0,50.0,512,6568.66,True,False,55.12,69.99,75.3,70.13,76.34,87.56,50.82,45.15,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"gpt-4o-2024-05-13 (few-shot, val)",1.39,1.12,,200.0,127997,916.47,True,False,49.42,61.74,71.15,52.24,64.59,79.93,67.87,57.35,66.03,17.74,96.41,97.3,97.68,98.44,85.96,89.41,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.0
AI-Sweden-Models/roberta-large-1160k,1.39,999.0,355.0,50.0,512,14014.08,True,False,51.2,66.62,74.16,70.93,73.87,86.61,55.06,49.34,,,,,,,,,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,0.0.0,12.10.0
danish-foundation-models/encoder-large-v1,1.42,999.0,355.0,50.0,512,6670.77,True,False,51.42,67.07,74.6,69.95,76.11,87.41,53.06,47.42,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
KennethEnevoldsen/dfm-sentence-encoder-large-1,1.43,999.0,355.0,50.0,512,6245.47,True,False,53.85,68.94,74.99,70.34,75.71,87.29,50.4,44.85,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
AI-Sweden-Models/Llama-3-8B-instruct (few-shot),1.44,1.38,8030.0,128.0,8192,4314.43,False,False,54.96,68.41,58.6,47.13,70.55,85.14,65.86,60.95,66.99,22.45,80.95,85.57,76.88,84.65,73.73,80.1,12.10.4,13.0.0,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4
