model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-sonnet-20241022 (few-shot, val)</a>",📝,1.05@@1.05,,,200000.0,✓,✗,65.06 ± 2.14 / 76.71 ± 1.42@@65.06218497161129,71.04 ± 1.68 / 67.61 ± 2.30@@71.03779473007704,80.18 ± 3.37 / 89.90 ± 1.74@@80.17802600915267,68.19 ± 1.18 / 58.73 ± 1.34@@68.19372750282821,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"<a href='https://platform.openai.com/docs/models/gpt-4'>gpt-4-0613 (few-shot, val)</a>",📝,1.24@@1.24,,100256.0,8190.0,✓,✗,59.97 ± 2.65 / 73.06 ± 1.77@@59.972827986954016,64.94 ± 1.96 / 45.76 ± 3.31@@64.94298133582711,71.56 ± 2.49 / 85.36 ± 1.29@@71.56430975237045,68.46 ± 1.64 / 56.43 ± 2.98@@68.45614427980146,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,12.9.0@@120900
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.25@@1.25,,,200000.0,✓,✗,58.11 ± 1.88 / 71.17 ± 1.45@@58.110402928128345,71.31 ± 0.83 / 58.68 ± 1.54@@71.31026288723473,74.15 ± 2.76 / 86.62 ± 1.52@@74.15230229992949,64.06 ± 1.12 / 52.16 ± 1.20@@64.0597181619287,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-7-sonnet-20250219@thinking (zero-shot, val)</a>",🤔,1.26@@1.26,,,200000.0,✓,✗,62.54 ± 1.92 / 74.57 ± 1.31@@62.53616225276224,67.41 ± 1.98 / 58.03 ± 1.47@@67.41391748767009,72.61 ± 2.13 / 86.18 ± 1.06@@72.60765241771009,60.53 ± 1.04 / 47.91 ± 1.33@@60.52508269027544,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (few-shot, val)</a>",📝,1.26@@1.26,,256128.0,2097152.0,✓,✗,62.71 ± 4.14 / 74.34 ± 3.00@@62.71122833302668,69.19 ± 1.13 / 62.19 ± 2.42@@69.1859637447022,67.07 ± 2.28 / 83.38 ± 1.17@@67.07242109214914,63.59 ± 1.23 / 52.59 ± 1.61@@63.58913919627521,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (few-shot, val)</a>",📝,1.27@@1.27,,100256.0,128030.0,✓,✗,61.62 ± 2.17 / 73.99 ± 1.48@@61.61567662565071,66.80 ± 3.01 / 45.69 ± 2.85@@66.80345088084063,66.84 ± 3.27 / 82.79 ± 1.86@@66.83561631898827,68.83 ± 1.50 / 56.85 ± 2.62@@68.8277752755694,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000
<a href='https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8 (few-shot)</a>,📝,1.28@@1.28,405868625920.0,128256.0,131072.0,✓,✗,61.26 ± 1.20 / 73.27 ± 0.95@@61.26104363202908,71.94 ± 1.37 / 61.59 ± 1.44@@71.93793131497016,64.94 ± 1.80 / 81.65 ± 1.13@@64.9391351861204,66.00 ± 1.23 / 56.00 ± 2.32@@65.99732304500758,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,1.29@@1.29,,,200000.0,✓,✗,63.61 ± 1.57 / 76.00 ± 1.07@@63.606694144803555,65.88 ± 2.11 / 55.11 ± 1.59@@65.88430253250571,71.03 ± 2.52 / 85.46 ± 1.24@@71.02748663723585,59.56 ± 1.25 / 46.24 ± 1.37@@59.557804071387736,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (few-shot, val)</a>",🤔,1.30@@1.30,,256128.0,1048576.0,✓,✗,61.26 ± 2.43 / 71.73 ± 1.54@@61.26490967608091,64.65 ± 6.42 / 55.57 ± 5.95@@64.64764168374654,74.15 ± 2.76 / 87.01 ± 1.37@@74.14913558210202,64.52 ± 1.29 / 54.30 ± 1.73@@64.51845103751307,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
"syvai/danskgpt-chat-llama3-70b (few-shot, val)</a>",📝,1.32@@1.32,70553706496.0,128258.0,8221.0,✓,✗,62.78 ± 3.01 / 75.05 ± 1.92@@62.78235921911367,65.40 ± 1.90 / 54.29 ± 1.61@@65.40462845026147,57.88 ± 3.35 / 78.50 ± 3.07@@57.88288623025409,68.23 ± 1.77 / 62.24 ± 2.43@@68.22587743498049,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-haiku-20241022 (few-shot, val)</a>",📝,1.34@@1.34,,,200000.0,✓,✗,59.90 ± 1.64 / 73.01 ± 1.03@@59.89955846334149,65.18 ± 2.02 / 56.82 ± 2.65@@65.1784450466707,68.58 ± 3.09 / 84.15 ± 1.63@@68.57982576139915,66.60 ± 1.34 / 54.55 ± 1.93@@66.59557588776227,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (few-shot, val)</a>",📝,1.38@@1.38,,256128.0,1048576.0,✓,✗,60.45 ± 2.64 / 73.13 ± 1.96@@60.45236230183543,65.86 ± 2.44 / 57.34 ± 2.69@@65.8572086362376,65.90 ± 2.89 / 82.42 ± 1.67@@65.90093795626275,63.08 ± 1.51 / 51.32 ± 2.14@@63.079987644733606,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (few-shot, val)</a>",📝,1.39@@1.39,,256128.0,1048576.0,✓,✗,60.81 ± 1.78 / 72.91 ± 1.58@@60.81359098155661,67.91 ± 1.42 / 52.76 ± 3.03@@67.91267564518381,64.84 ± 3.18 / 82.08 ± 1.75@@64.83552183273352,61.03 ± 0.99 / 47.97 ± 1.18@@61.02683359209525,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
