model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,dutch_social_primary,dutch_social_secondary,conll_nl_primary,conll_nl_secondary,scala_nl_primary,scala_nl_secondary,squad_nl_primary,squad_nl_secondary,wiki_lingua_nl_primary,wiki_lingua_nl_secondary,mmlu_nl_primary,mmlu_nl_secondary,hellaswag_nl_primary,hellaswag_nl_secondary,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version,speed_version
intfloat/multilingual-e5-large,1.4,999.0,560.0,250.0,512,6731.95,True,False,32.64,49.9,82.31,86.91,58.51,78.17,57.53,45.32,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
setu4993/LaBSE,1.47,999.0,471.0,501.0,512,25417.61,True,False,33.99,50.69,82.02,84.71,60.77,79.8,51.73,41.55,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
"gpt-4-0613 (few-shot, val)",1.63,1.23,,100.0,8444,597.21,True,False,18.92,40.8,73.35,56.0,76.7,88.16,76.47,55.03,69.97,22.66,70.71,78.12,90.07,92.54,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.5.3
intfloat/multilingual-e5-large-instruct,1.66,999.0,560.0,250.0,514,5947.27,True,False,27.19,45.37,83.68,87.38,51.8,75.02,58.7,46.07,,,,,,,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,0.0.0,0.0.0,13.0.0
DTAI-KULeuven/robbert-2022-dutch-base,1.79,999.0,119.0,43.0,512,11307.47,True,False,24.58,42.93,79.84,84.42,68.76,83.77,36.98,27.63,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
pdelobelle/robbert-v2-dutch-base,1.82,999.0,117.0,40.0,512,15480.92,True,False,26.68,44.41,78.3,83.07,63.83,80.68,37.79,28.34,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
DTAI-KULeuven/robbert-2023-dutch-base,1.85,999.0,124.0,50.0,512,11230.32,True,False,28.2,44.38,82.22,86.32,55.12,76.12,44.34,9.74,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"meta-llama/Meta-Llama-3-70B (few-shot, val)",1.86,1.53,70554.0,128.0,8445,311.65,True,False,19.08,42.04,72.91,68.06,54.33,75.54,77.63,63.99,70.41,25.41,65.33,73.98,71.06,78.16,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
ZurichNLP/unsup-simcse-xlm-roberta-base,1.91,999.0,277.0,250.0,512,34520.24,True,False,22.67,44.07,78.45,83.5,54.92,76.14,40.85,31.82,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
"meta-llama/Meta-Llama-3-70B-Instruct (few-shot, val)",1.99,1.53,70554.0,128.0,8445,1672.52,True,False,18.9,41.93,74.64,71.84,49.54,74.03,71.44,44.77,70.28,22.72,65.8,74.38,76.21,82.15,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
intfloat/multilingual-e5-base,2.0,999.0,278.0,250.0,512,14965.0,True,False,27.67,44.9,79.12,83.05,39.28,67.9,46.63,35.71,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"gpt-4-1106-preview (few-shot, val)",2.01,1.43,,100.0,128000,575.52,True,False,14.22,33.41,66.44,56.97,72.3,85.96,74.51,57.81,67.13,17.61,70.04,77.58,88.29,91.17,12.10.2,12.3.2,12.10.2,12.3.2,12.3.2,12.10.2,12.10.2,12.5.3
DTAI-KULeuven/robbert-2023-dutch-large,2.02,999.0,355.0,50.0,512,5443.65,True,False,16.35,36.89,81.05,85.2,65.18,82.29,52.98,11.44,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"152334H/miqu-1-70b-sf (few-shot, val)",2.04,1.82,68977.0,32.0,33017,2126.22,True,False,15.33,36.14,67.0,56.41,55.48,77.55,76.87,61.02,68.95,21.31,54.36,65.7,70.26,77.62,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
DTAI-KULeuven/robbertje-1-gb-non-shuffled,2.07,999.0,74.0,40.0,512,21006.96,True,False,32.23,50.11,74.5,81.38,54.57,75.82,11.55,6.31,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"claude-3-5-sonnet-20241022 (zero-shot, val)",2.11,3.34,,,200000,192.92,True,False,12.64,33.98,62.41,52.27,74.06,86.59,68.02,35.77,64.25,13.47,27.77,40.51,14.21,33.83,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
"gpt-4o-mini-2024-07-18 (few-shot, val)",2.15,1.95,,200.0,8191,784.26,True,False,20.33,40.68,68.71,53.19,49.52,72.59,61.15,34.06,66.13,15.64,62.12,71.76,65.74,73.59,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.1
"gpt-4o-2024-05-13 (few-shot, val)",2.15,1.33,,200.0,128127,916.47,True,False,10.8,32.52,76.75,61.13,56.26,73.83,76.28,55.55,66.86,16.93,73.11,79.69,92.69,94.53,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.0
DTAI-KULeuven/robbertje-1-gb-merged,2.16,999.0,74.0,40.0,512,21027.25,True,False,32.26,47.44,72.51,80.14,50.0,73.38,11.08,5.97,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
