model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,dbrd,conll_nl,scala_nl,squad_nl,wiki_lingua_nl,mmlu_nl,hellaswag_nl,dbrd_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (few-shot, val)</a>",🤔,1.27@@1.27,,256128.0,1048576.0,✓,✗,93.99 ± 1.53 / 96.98 ± 0.78@@93.9944812885181,81.07 ± 3.67 / 78.51 ± 2.79@@81.06992148780049,71.73 ± 3.84 / 85.32 ± 2.13@@71.73302860263028,79.59 ± 1.31 / 55.97 ± 2.78@@79.59458101261143,66.40 ± 0.27 / 17.15 ± 0.41@@66.39624361647293,83.11 ± 1.98 / 87.30 ± 1.50@@83.10987061604519,75.91 ± 2.56 / 81.91 ± 1.90@@75.90972798190364,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (few-shot, val)</a>",📝,1.32@@1.32,,256128.0,2097152.0,✓,✗,93.81 ± 1.30 / 96.86 ± 0.68@@93.80518905052251,79.12 ± 2.61 / 76.70 ± 2.67@@79.1154867850796,69.32 ± 4.19 / 83.81 ± 2.52@@69.32137674965877,78.05 ± 1.28 / 57.24 ± 1.86@@78.04668402261169,66.84 ± 0.22 / 17.77 ± 0.53@@66.83955786284059,75.31 ± 1.74 / 81.48 ± 1.27@@75.30987619088687,80.76 ± 2.37 / 85.62 ± 1.77@@80.76476343441378,15.7.0.dev0@@150700,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (few-shot, val)</a>",📝,1.32@@1.32,,256128.0,1048576.0,✓,✗,95.30 ± 0.79 / 97.64 ± 0.40@@95.30323620038178,78.33 ± 2.57 / 75.81 ± 2.78@@78.32712421033241,64.07 ± 2.19 / 81.06 ± 1.28@@64.0748289945465,78.45 ± 1.49 / 53.20 ± 3.18@@78.45434440773356,67.25 ± 0.24 / 18.28 ± 0.44@@67.25155686726794,78.65 ± 2.31 / 83.91 ± 1.75@@78.65200257360823,82.23 ± 2.61 / 86.60 ± 1.96@@82.23469487380551,15.7.0.dev0@@150700,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (few-shot, val)</a>",📝,1.38@@1.38,,100256.0,128000.0,✓,✗,94.24 ± 0.45 / 97.10 ± 0.23@@94.23681031322927,66.44 ± 2.18 / 56.97 ± 2.87@@66.44461964916889,72.30 ± 2.26 / 85.96 ± 1.13@@72.2960026664485,80.14 ± 0.78 / 56.68 ± 1.78@@80.1411650665076,67.13 ± 0.50 / 17.61 ± 0.76@@67.13482063729316,70.04 ± 1.91 / 77.58 ± 1.42@@70.03540175926197,88.29 ± 2.26 / 91.17 ± 1.70@@88.28979625369934,15.7.0.dev0@@150700,12.3.2@@120302,12.10.2@@121002,14.2.0.dev0@@140200,12.3.2@@120302,12.10.2@@121002,12.10.2@@121002
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (few-shot, val)</a>",📝,1.38@@1.38,,200019.0,128127.0,✓,✗,93.36 ± 1.46 / 96.66 ± 0.74@@93.35965554322293,76.75 ± 3.44 / 61.13 ± 4.40@@76.75134240298256,56.26 ± 4.51 / 73.83 ± 3.26@@56.2615181794265,79.40 ± 0.90 / 51.78 ± 1.84@@79.39956904699248,66.86 ± 0.46 / 16.93 ± 0.91@@66.8550995469559,73.11 ± 1.87 / 79.69 ± 1.46@@73.11397889781618,92.69 ± 1.46 / 94.53 ± 1.09@@92.68565056145036,15.7.0.dev0@@150700,12.10.0@@121000,12.10.2@@121002,14.2.0.dev0@@140200,12.10.0@@121000,12.10.2@@121002,12.10.2@@121002
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (few-shot, val)</a>",📝,1.39@@1.39,,256128.0,1048576.0,✓,✗,93.94 ± 1.83 / 96.93 ± 0.94@@93.94324189113186,70.92 ± 3.64 / 70.05 ± 4.45@@70.91798893812279,65.98 ± 2.91 / 82.35 ± 1.69@@65.98043641792407,79.50 ± 0.99 / 55.57 ± 1.79@@79.49810346120194,68.26 ± 0.28 / 20.17 ± 0.62@@68.25605293968692,70.04 ± 3.77 / 77.23 ± 2.90@@70.03588379040238,78.55 ± 2.92 / 83.91 ± 2.23@@78.54726552170688,15.7.0.dev0@@150700,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,1.44@@1.44,,256128.0,1048576.0,✓,✗,92.48 ± 0.97 / 96.23 ± 0.49@@92.4784829342762,67.34 ± 3.38 / 52.00 ± 2.89@@67.34425056179887,71.00 ± 2.79 / 85.43 ± 1.37@@71.00362759373506,75.21 ± 1.09 / 41.91 ± 1.94@@75.21290298239988,64.23 ± 0.07 / 12.31 ± 0.14@@64.2342558898963,84.18 ± 2.23 / 88.16 ± 1.64@@84.18465972620093,77.99 ± 2.00 / 83.48 ± 1.51@@77.98618404435474,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.47@@1.47,,,200000.0,✓,✗,93.56 ± 0.94 / 96.75 ± 0.48@@93.56226655059439,67.06 ± 3.19 / 56.12 ± 2.14@@67.06051159462749,68.86 ± 2.85 / 83.25 ± 1.59@@68.85759113857975,72.99 ± 0.77 / 48.30 ± 1.43@@72.99104002573776,65.15 ± 0.08 / 13.31 ± 0.19@@65.14679243089631,84.11 ± 2.00 / 88.09 ± 1.48@@84.10530786825544,73.36 ± 2.14 / 80.12 ± 1.58@@73.3610992143491,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700
<a href='https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (few-shot)</a>,📝,1.50@@1.50,70553706496.0,128256.0,131072.0,✓,✗,92.07 ± 0.47 / 95.99 ± 0.24@@92.07133648219111,70.37 ± 1.97 / 56.00 ± 2.79@@70.3707897558362,62.87 ± 1.48 / 81.12 ± 0.82@@62.865454193117976,72.23 ± 0.75 / 47.75 ± 1.34@@72.23298339825328,69.36 ± 0.65 / 22.77 ± 1.04@@69.35768569470383,68.82 ± 1.12 / 76.61 ± 0.84@@68.81970346469308,74.72 ± 0.75 / 80.76 ± 0.61@@74.72316926589909,15.7.0.dev0@@150700,14.0.3@@140003,14.0.3@@140003,14.3.0@@140300,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct (few-shot)</a>,📝,1.51@@1.51,70553706496.0,128256.0,131072.0,✓,✗,90.75 ± 0.75 / 95.25 ± 0.42@@90.75422478656104,68.82 ± 1.86 / 53.75 ± 2.33@@68.81856976122329,61.66 ± 1.04 / 80.70 ± 0.54@@61.66138217200488,79.03 ± 0.75 / 59.67 ± 1.45@@79.03143569878416,69.51 ± 0.76 / 23.39 ± 1.19@@69.50762890963233,68.61 ± 1.24 / 76.39 ± 0.93@@68.61432042813293,69.72 ± 1.33 / 76.77 ± 1.11@@69.7228958757566,15.7.0.dev0@@150700,14.0.3@@140003,14.0.3@@140003,14.3.0@@140300,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
