model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,sst5_primary,sst5_secondary,conll_en_primary,conll_en_secondary,scala_en_primary,scala_en_secondary,squad_primary,squad_secondary,cnn_dailymail_primary,cnn_dailymail_secondary,mmlu_primary,mmlu_secondary,hellaswag_primary,hellaswag_secondary,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version,speed_version
microsoft/deberta-v3-large,1.12,999.0,435.0,128.0,512,2521.16,True,False,64.04,67.0,91.88,91.67,75.1,87.34,85.54,74.47,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
microsoft/deberta-v3-base,1.29,999.0,184.0,128.0,512,5367.01,True,False,61.66,60.8,91.57,91.2,68.74,83.85,80.29,68.69,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"gpt-4-0613 (few-shot, val)",1.39,1.21,,100.0,8191,597.21,True,False,69.06,76.04,78.06,70.76,55.76,76.34,85.76,67.35,70.54,26.98,72.27,78.75,91.51,93.59,12.1.0,12.2.0,12.2.0,12.2.0,12.5.2,12.5.2,12.5.2,12.5.3
google/electra-base-discriminator,1.4,999.0,109.0,31.0,512,9977.27,True,False,63.55,60.22,89.83,88.64,67.87,83.57,69.68,58.27,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
intfloat/multilingual-e5-large-instruct,1.45,999.0,560.0,250.0,514,5947.27,True,False,66.42,64.56,91.43,91.15,53.05,75.49,74.85,61.34,,,,,,,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,0.0.0,0.0.0,13.0.0
FacebookAI/roberta-large,1.48,999.0,355.0,50.0,512,4542.25,True,False,62.92,62.6,91.53,91.21,48.77,71.46,81.98,71.23,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"gpt-4-1106-preview (few-shot, val)",1.49,1.16,,100.0,128000,575.52,True,False,67.55,74.04,81.79,65.51,51.21,75.11,84.48,66.6,68.8,21.84,81.71,86.29,89.91,92.38,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.5.3
intfloat/multilingual-e5-large,1.51,999.0,560.0,250.0,512,6731.95,True,False,64.37,65.16,91.69,91.29,53.58,74.7,73.0,60.47,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
FacebookAI/roberta-base,1.54,999.0,125.0,50.0,512,13353.56,True,False,59.54,59.76,91.0,90.7,57.29,77.93,73.75,62.75,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
google-bert/bert-large-cased,1.56,999.0,334.0,29.0,512,5051.32,True,False,58.19,58.14,89.84,89.25,63.62,80.92,67.33,55.17,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
