model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sst5,conll_en,scala_en,squad,cnn_dailymail,mmlu,hellaswag,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B (few-shot)</a>,📝,1.41@@1.41,32759790592.0,151665.0,131072.0,✓,✗,69.76 ± 0.47 / 71.68 ± 0.50@@69.76430864998864,79.54 ± 0.97 / 71.92 ± 1.02@@79.53781011709233,53.90 ± 1.32 / 74.18 ± 1.02@@53.89942748992082,87.16 ± 0.37 / 71.26 ± 1.07@@87.1613100590452,68.76 ± 0.09 / 22.06 ± 0.31@@68.76013657776639,83.34 ± 0.79 / 87.52 ± 0.59@@83.34087479212519,90.50 ± 0.61 / 92.85 ± 0.45@@90.49565965547035,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8 (few-shot)</a>,📝,1.43@@1.43,405868625920.0,128256.0,131072.0,✓,✗,70.60 ± 1.14 / 73.47 ± 1.06@@70.59800753301509,82.86 ± 0.87 / 81.12 ± 1.04@@82.8618773570778,53.80 ± 1.81 / 76.34 ± 1.02@@53.80352521068256,82.32 ± 0.61 / 62.69 ± 1.45@@82.31511730491586,69.33 ± 0.08 / 23.72 ± 0.38@@69.33164170768578,80.39 ± 0.78 / 85.32 ± 0.59@@80.39194786908097,88.02 ± 0.99 / 91.00 ± 0.75@@88.01746665605656,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B (few-shot)</a>,📝,1.44@@1.44,70553706496.0,128256.0,131072.0,✓,✗,69.82 ± 0.76 / 72.60 ± 0.64@@69.81881612848714,81.54 ± 1.45 / 76.28 ± 0.90@@81.54046220860933,54.83 ± 2.96 / 75.32 ± 2.17@@54.829370054687146,83.34 ± 0.71 / 62.81 ± 1.87@@83.34001835433921,68.73 ± 0.10 / 22.16 ± 0.26@@68.73307231551735,81.20 ± 0.83 / 85.88 ± 0.62@@81.19998233399487,89.04 ± 0.56 / 91.74 ± 0.42@@89.04071863944573,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.44@@1.44,,,200000.0,✓,✗,68.52 ± 1.91 / 68.53 ± 1.14@@68.51818707238436,86.49 ± 0.97 / 78.67 ± 0.99@@86.48558343250225,51.94 ± 4.06 / 74.20 ± 2.27@@51.9449844550712,81.43 ± 0.52 / 62.39 ± 1.41@@81.42757419870053,67.08 ± 0.13 / 18.16 ± 0.22@@67.08218090934679,95.25 ± 1.03 / 96.45 ± 0.76@@95.2485091652257,81.34 ± 2.26 / 85.82 ± 1.73@@81.34470332012634,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
"<a href='https://platform.openai.com/docs/models/gpt-4'>gpt-4-0613 (few-shot, val)</a>",📝,1.44@@1.44,,100256.0,8191.0,✓,✗,69.06 ± 2.20 / 76.04 ± 1.60@@69.06178894605952,78.06 ± 2.73 / 70.76 ± 3.80@@78.05655761785508,55.76 ± 3.84 / 76.34 ± 1.44@@55.757234355927764,85.76 ± 0.77 / 67.35 ± 1.98@@85.76281644265235,70.54 ± 0.24 / 26.98 ± 0.49@@70.5439775926061,72.27 ± 2.36 / 78.75 ± 1.88@@72.2729344432898,91.51 ± 2.15 / 93.59 ± 1.62@@91.50799037376149,12.1.0@@120100,12.2.0@@120200,12.2.0@@120200,12.2.0@@120200,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (few-shot, val)</a>",📝,1.46@@1.46,,256128.0,2097152.0,✓,✗,68.63 ± 2.30 / 74.76 ± 1.63@@68.63181647815455,83.57 ± 1.43 / 83.62 ± 1.67@@83.56545747143178,52.29 ± 5.36 / 75.41 ± 2.87@@52.29320574558747,85.03 ± 0.59 / 68.21 ± 1.62@@85.0299770015916,68.21 ± 0.18 / 21.47 ± 0.29@@68.2130924332887,77.84 ± 2.22 / 83.44 ± 1.61@@77.83902641916359,88.27 ± 1.38 / 91.09 ± 1.04@@88.268446195637,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (few-shot, val)</a>",📝,1.46@@1.46,,256128.0,1048576.0,✓,✗,71.90 ± 1.62 / 76.30 ± 1.41@@71.9019122180424,84.05 ± 1.25 / 83.83 ± 1.12@@84.04590383164872,49.86 ± 6.40 / 74.47 ± 3.34@@49.859460249892756,80.91 ± 0.94 / 57.08 ± 1.85@@80.9083139887121,68.85 ± 0.17 / 22.57 ± 0.46@@68.84904804406688,80.11 ± 2.04 / 85.12 ± 1.52@@80.11427598287246,87.09 ± 1.31 / 90.23 ± 0.99@@87.08893436357658,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (few-shot, val)</a>",📝,1.47@@1.47,,100256.0,128000.0,✓,✗,67.55 ± 2.34 / 74.04 ± 1.80@@67.55005450982536,81.79 ± 1.39 / 65.51 ± 4.16@@81.79183112469968,51.21 ± 4.96 / 75.11 ± 2.42@@51.208873742675465,84.48 ± 0.76 / 66.60 ± 1.45@@84.48316376481247,68.80 ± 0.43 / 21.84 ± 0.45@@68.80204505287111,81.71 ± 1.12 / 86.29 ± 0.83@@81.70581308181958,89.91 ± 1.81 / 92.38 ± 1.34@@89.90510931903766,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,12.10.2@@121002,12.10.2@@121002
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (few-shot, val)</a>",🤔,1.49@@1.49,,256128.0,1048576.0,✓,✗,60.41 ± 13.12 / 67.88 ± 7.61@@60.41496713108501,90.21 ± 0.99 / 87.24 ± 1.24@@90.20524634000238,45.92 ± 5.25 / 71.59 ± 2.92@@45.919766070051985,83.84 ± 0.99 / 64.98 ± 1.47@@83.83743501601549,68.86 ± 0.11 / 22.69 ± 0.32@@68.8583641499281,86.35 ± 1.52 / 89.69 ± 1.14@@86.34600820314739,88.75 ± 0.70 / 91.45 ± 0.53@@88.74788695624073,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
<a href='https://huggingface.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (few-shot)</a>,📝,1.50@@1.50,72706203648.0,152064.0,32768.0,✓,✗,68.66 ± 1.08 / 74.39 ± 0.68@@68.65841915415533,75.84 ± 1.19 / 69.70 ± 0.91@@75.83726244548234,56.46 ± 2.43 / 76.75 ± 1.60@@56.46363588854779,81.86 ± 0.68 / 58.39 ± 1.84@@81.85542571423227,68.32 ± 0.06 / 20.52 ± 0.14@@68.3228929163306,78.29 ± 1.05 / 83.70 ± 0.78@@78.29453384131686,86.39 ± 0.74 / 89.77 ± 0.56@@86.39152625493682,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
