model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_primary,angry_tweets_secondary,dansk_primary,dansk_secondary,scala_da_primary,scala_da_secondary,scandiqa_da_primary,scandiqa_da_secondary,nordjylland_news_primary,nordjylland_news_secondary,danske_talemaader_primary,danske_talemaader_secondary,danish_citizen_tests_primary,danish_citizen_tests_secondary,hellaswag_da_primary,hellaswag_da_secondary,swerec_primary,swerec_secondary,suc3_primary,suc3_secondary,scala_sv_primary,scala_sv_secondary,scandiqa_sv_primary,scandiqa_sv_secondary,swedn_primary,swedn_secondary,mmlu_sv_primary,mmlu_sv_secondary,hellaswag_sv_primary,hellaswag_sv_secondary,norec_primary,norec_secondary,norne_nb_primary,norne_nb_secondary,norne_nn_primary,norne_nn_secondary,scala_nb_primary,scala_nb_secondary,scala_nn_primary,scala_nn_secondary,norquad_primary,norquad_secondary,no_sammendrag_primary,no_sammendrag_secondary,mmlu_no_primary,mmlu_no_secondary,hellaswag_no_primary,hellaswag_no_secondary,hotter_and_colder_sentiment_primary,hotter_and_colder_sentiment_secondary,mim_gold_ner_primary,mim_gold_ner_secondary,scala_is_primary,scala_is_secondary,nqii_primary,nqii_secondary,rrn_primary,rrn_secondary,arc_is_primary,arc_is_secondary,winogrande_is_primary,winogrande_is_secondary,fosent_primary,fosent_secondary,fone_primary,fone_secondary,scala_fo_primary,scala_fo_secondary,foqa_primary,foqa_secondary,dutch_social_primary,dutch_social_secondary,conll_nl_primary,conll_nl_secondary,scala_nl_primary,scala_nl_secondary,squad_nl_primary,squad_nl_secondary,wiki_lingua_nl_primary,wiki_lingua_nl_secondary,mmlu_nl_primary,mmlu_nl_secondary,hellaswag_nl_primary,hellaswag_nl_secondary,sb10k_primary,sb10k_secondary,germeval_primary,germeval_secondary,scala_de_primary,scala_de_secondary,germanquad_primary,germanquad_secondary,mlsum_primary,mlsum_secondary,mmlu_de_primary,mmlu_de_secondary,hellaswag_de_primary,hellaswag_de_secondary,sst5_primary,sst5_secondary,conll_en_primary,conll_en_secondary,scala_en_primary,scala_en_secondary,squad_primary,squad_secondary,cnn_dailymail_primary,cnn_dailymail_secondary,mmlu_primary,mmlu_secondary,hellaswag_primary,hellaswag_secondary,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,rrn_version,arc_is_version,winogrande_is_version,fosent_version,fone_version,scala_fo_version,foqa_version,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version,sb10k_version,germeval_version,scala_de_version,germanquad_version,mlsum_version,mmlu_de_version,hellaswag_de_version,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version,speed_version
"gpt-4-1106-preview (few-shot, val)",1.43,1.21,,100.0,128000,575.52,True,False,61.62,73.99,66.8,45.69,66.84,82.79,68.83,56.85,66.21,18.02,95.21,96.41,97.19,98.12,78.74,83.91,77.59,78.78,74.45,49.97,71.35,83.98,66.76,56.56,66.08,17.19,71.32,78.48,84.09,88.01,62.55,72.41,77.48,55.87,78.7,57.58,74.45,86.22,56.31,74.04,73.39,44.67,63.6,13.15,70.84,78.12,86.3,89.53,49.59,62.5,86.37,82.25,43.03,71.18,66.04,37.26,69.61,23.98,89.09,91.76,72.03,86.09,38.22,52.33,86.51,85.01,35.09,65.72,81.93,58.65,14.22,33.41,66.44,56.97,72.3,85.96,74.51,57.81,67.13,17.61,70.04,77.58,88.29,91.17,60.47,72.79,68.94,44.89,51.26,74.76,58.77,30.04,63.62,13.08,73.8,80.31,83.93,87.85,67.55,74.04,81.79,65.51,51.21,75.11,84.48,66.6,68.8,21.84,81.71,86.29,89.91,92.38,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,13.2.0,12.5.1,12.10.2,12.5.1,12.5.1,12.10.8,12.10.2,13.3.0,12.5.1,12.5.1,13.0.0,12.10.2,12.3.2,12.10.2,12.3.2,12.3.2,12.10.2,12.10.2,12.10.2,12.6.1,12.10.2,12.6.1,12.6.1,12.10.2,12.10.2,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.5.3
"gpt-4o-2024-05-13 (few-shot, val)",1.67,1.2,,200.0,128000,916.47,True,False,49.42,61.74,71.15,52.24,64.59,79.93,67.87,57.35,66.03,17.74,96.41,97.3,97.68,98.44,85.96,89.41,77.16,79.22,76.66,60.34,68.99,83.37,67.71,57.96,66.0,16.97,70.7,77.97,86.3,89.65,66.66,77.7,79.07,64.17,81.56,64.06,64.53,79.17,54.7,74.94,74.52,43.51,63.25,13.02,73.81,80.39,89.91,92.42,49.86,64.51,81.19,54.02,51.1,73.25,55.46,29.64,68.25,19.22,91.27,93.4,70.85,85.55,27.3,55.31,81.86,67.98,-0.97,33.64,78.76,56.45,10.8,32.52,76.75,61.13,56.26,73.83,76.28,55.55,66.86,16.93,73.11,79.69,92.69,94.53,54.82,68.42,69.99,45.58,43.66,64.64,60.77,30.06,63.8,13.87,74.13,80.59,88.18,91.13,62.74,71.28,83.48,75.51,46.56,71.13,84.78,65.41,67.64,20.9,78.55,83.91,91.34,93.48,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,13.2.0,12.10.0,12.10.2,12.10.0,12.10.0,12.10.8,12.10.2,13.3.0,12.10.0,12.10.0,13.0.0,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.0
"claude-3-5-sonnet-20241022 (zero-shot, val)",1.71,3.1,,,200000,192.92,True,False,63.61,76.0,65.88,55.11,71.03,85.46,59.56,46.24,64.6,13.66,84.02,88.01,85.34,89.61,23.71,41.45,77.7,77.22,70.22,58.75,74.34,87.04,60.05,49.32,65.36,15.31,28.34,38.09,13.68,26.91,50.92,63.0,74.23,70.66,70.5,65.71,76.1,88.02,72.03,85.28,67.69,40.57,62.57,10.84,24.04,37.19,-0.8,23.98,51.24,65.49,61.7,41.44,52.43,73.78,47.06,22.92,66.02,15.54,15.97,23.83,5.31,59.84,8.17,27.16,72.52,60.99,32.38,56.38,69.24,45.34,12.64,33.98,62.41,52.27,74.06,86.59,68.02,35.77,64.25,13.47,27.77,40.51,14.21,33.83,61.59,73.65,61.83,46.4,46.4,69.51,48.7,23.77,62.69,10.95,17.15,27.23,9.7,29.8,67.01,71.49,82.11,79.77,51.09,74.48,77.79,52.41,67.73,18.28,26.14,35.16,13.56,26.48,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
microsoft/mdeberta-v3-base,1.71,999.0,279.0,251.0,512,20637.23,True,False,43.38,60.05,72.9,67.41,67.05,83.18,47.97,42.15,,,,,,,,,75.24,72.06,78.84,72.86,72.3,85.77,50.62,44.74,,,,,,,53.69,63.69,91.9,89.55,86.81,83.46,70.55,84.79,61.21,79.87,63.72,48.82,,,,,,,45.3,62.84,81.12,81.48,54.11,76.46,56.17,30.93,,,,,,,6.7,25.36,88.6,89.37,46.81,72.76,30.59,20.96,5.16,27.85,84.47,87.98,71.23,85.45,57.8,46.43,,,,,,,50.9,66.89,77.42,76.39,59.38,79.12,42.79,20.28,,,,,,,53.75,56.4,91.83,91.4,62.11,80.67,73.26,62.1,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
"gpt-4o-2024-05-13 (zero-shot, val)",1.72,1.6,,200.0,8191,636.59,True,False,53.07,68.64,64.8,45.57,64.18,81.9,63.09,49.02,64.78,13.85,90.74,93.05,95.22,96.8,78.1,83.59,74.85,74.58,75.06,44.92,65.23,80.52,63.85,53.02,65.8,15.36,71.87,78.87,69.98,77.42,36.27,35.73,77.72,57.89,71.7,50.78,71.7,85.59,58.79,76.83,72.82,40.95,62.76,10.95,69.22,76.95,76.4,82.27,53.43,66.07,72.85,33.36,49.26,73.99,48.73,27.36,67.01,15.62,78.98,83.91,9.83,60.62,27.3,30.12,68.0,37.75,28.09,54.91,77.38,58.59,12.36,19.95,69.12,41.51,58.88,79.01,70.93,45.88,64.37,13.15,70.81,78.12,84.34,88.2,50.12,65.79,67.18,35.1,44.98,71.63,55.19,27.01,63.1,11.09,74.22,80.74,69.31,76.76,63.46,69.35,81.23,72.72,46.45,72.89,81.53,57.64,68.71,20.56,80.09,85.12,86.91,90.04,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
intfloat/multilingual-e5-large,1.74,999.0,560.0,250.0,512,6731.95,True,False,55.07,69.43,69.5,65.03,57.67,78.48,52.84,46.71,,,,,,,,,79.65,78.9,80.36,78.57,63.15,81.06,53.49,46.99,,,,,,,61.52,72.72,89.86,90.64,84.32,86.52,62.34,79.94,34.88,66.51,70.46,53.01,,,,,,,48.52,64.38,78.43,79.3,10.78,53.28,54.2,13.79,,,,,,,18.28,39.08,88.39,88.75,2.85,48.43,43.72,31.03,32.64,49.9,82.31,86.91,58.51,78.17,57.53,45.32,,,,,,,64.78,76.3,79.73,78.52,47.24,71.51,54.87,28.11,,,,,,,64.37,65.16,91.69,91.29,53.58,74.7,73.0,60.47,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
setu4993/LaBSE,1.76,999.0,471.0,501.0,512,25417.61,True,False,46.5,64.31,71.24,66.41,52.92,75.11,45.4,40.08,,,,,,,,,73.58,70.43,77.78,72.08,60.36,79.72,47.07,41.71,,,,,,,54.26,67.25,90.58,87.84,85.21,81.57,59.44,78.8,49.3,74.02,61.82,46.42,,,,,,,46.4,63.25,80.45,81.01,36.92,66.07,46.17,11.75,,,,,,,21.57,45.4,89.16,89.62,22.76,60.04,41.85,30.55,33.99,50.69,82.02,84.71,60.77,79.8,51.73,41.55,,,,,,,58.65,72.12,79.44,78.42,52.19,74.17,45.11,23.66,,,,,,,52.93,58.98,90.33,90.31,50.7,74.17,65.07,53.77,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.7.0
google/rembert,1.79,999.0,576.0,250.0,256,11735.9,True,False,50.19,66.32,70.19,66.64,69.72,84.3,44.44,39.85,,,,,,,,,75.99,71.01,78.23,72.58,72.17,85.94,51.05,46.0,,,,,,,54.19,65.18,88.7,84.95,86.11,82.16,69.83,84.72,54.84,75.13,71.29,58.18,,,,,,,36.87,56.59,78.05,78.74,48.29,73.54,52.42,29.38,,,,,,,0.04,17.28,87.35,87.65,14.65,46.36,48.41,36.1,4.79,27.49,75.49,81.37,66.47,83.16,68.38,55.7,,,,,,,60.65,73.52,77.62,76.16,62.6,81.12,60.41,33.62,,,,,,,51.74,58.97,90.17,89.85,55.55,77.55,81.57,69.02,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.7.0
"gpt-4o-mini-2024-07-18 (few-shot, val)",1.8,1.7,,200.0,8191,784.26,True,False,56.91,71.25,59.96,41.55,67.13,83.05,33.63,17.52,65.32,15.39,91.7,93.79,88.38,92.19,71.08,78.12,77.69,78.73,62.45,46.68,68.93,84.15,31.14,12.11,66.04,16.02,55.8,66.48,63.61,71.99,67.45,77.5,72.74,57.58,69.17,56.34,74.27,86.86,54.83,76.91,43.45,3.67,63.0,11.59,59.93,69.69,76.01,81.33,56.18,69.53,64.69,37.89,45.52,71.51,55.19,15.8,67.06,15.92,82.1,86.37,42.82,71.48,39.45,62.38,73.8,63.06,34.78,63.14,19.37,0.87,20.33,40.68,68.71,53.19,49.52,72.59,61.15,34.06,66.13,15.64,62.12,71.76,65.74,73.59,55.16,69.81,65.51,48.61,44.6,67.35,59.67,21.87,63.5,11.55,60.83,70.31,67.98,75.39,66.75,73.93,77.38,66.97,52.43,74.46,67.96,41.03,68.73,20.97,66.63,74.92,79.95,84.69,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.1
intfloat/multilingual-e5-large-instruct,1.83,999.0,560.0,250.0,514,5947.27,True,False,55.45,69.74,69.86,65.3,31.14,63.23,52.75,45.51,,,,,,,,,79.48,77.47,79.5,77.37,53.01,75.97,53.19,45.68,,,,,,,63.35,74.2,89.27,90.42,83.78,86.17,55.71,77.0,12.32,53.74,58.52,38.74,,,,,,,50.1,64.91,78.32,79.7,8.11,50.71,53.59,13.93,,,,,,,23.63,44.37,88.64,89.11,2.05,47.88,37.6,24.09,27.19,45.37,83.68,87.38,51.8,75.02,58.7,46.07,,,,,,,65.72,76.73,79.77,78.93,49.82,73.61,55.35,28.42,,,,,,,66.42,64.56,91.43,91.15,53.05,75.49,74.85,61.34,,,,,,,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,0.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,0.0.0,0.0.0,13.3.0,13.0.0,13.0.0,13.0.0,0.0.0,0.0.0,0.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,0.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,0.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,0.0.0,0.0.0,13.0.0
