model,rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_mcc,angry_tweets_macro_f1,dansk_micro_f1_no_misc,dansk_micro_f1,scala_da_mcc,scala_da_macro_f1,scandiqa_da_f1,scandiqa_da_em,nordjylland_news_bertscore,nordjylland_news_rouge_l,danske_talemaader_mcc,danske_talemaader_accuracy,danish_citizen_tests_mcc,danish_citizen_tests_accuracy,hellaswag_da_mcc,hellaswag_da_accuracy,swerec_mcc,swerec_macro_f1,suc3_micro_f1_no_misc,suc3_micro_f1,scala_sv_mcc,scala_sv_macro_f1,scandiqa_sv_f1,scandiqa_sv_em,swedn_bertscore,swedn_rouge_l,mmlu_sv_mcc,mmlu_sv_accuracy,hellaswag_sv_mcc,hellaswag_sv_accuracy,norec_mcc,norec_macro_f1,norne_nb_micro_f1_no_misc,norne_nb_micro_f1,norne_nn_micro_f1_no_misc,norne_nn_micro_f1,scala_nb_mcc,scala_nb_macro_f1,scala_nn_mcc,scala_nn_macro_f1,norquad_f1,norquad_em,no_sammendrag_bertscore,no_sammendrag_rouge_l,mmlu_no_mcc,mmlu_no_accuracy,hellaswag_no_mcc,hellaswag_no_accuracy,hotter_and_colder_sentiment_mcc,hotter_and_colder_sentiment_macro_f1,mim_gold_ner_micro_f1_no_misc,mim_gold_ner_micro_f1,scala_is_mcc,scala_is_macro_f1,nqii_f1,nqii_em,rrn_bertscore,rrn_rouge_l,arc_is_mcc,arc_is_accuracy,winogrande_is_mcc,winogrande_is_accuracy,fosent_mcc,fosent_macro_f1,fone_micro_f1_no_misc,fone_micro_f1,scala_fo_mcc,scala_fo_macro_f1,foqa_f1,foqa_em,dutch_social_mcc,dutch_social_macro_f1,conll_nl_micro_f1_no_misc,conll_nl_micro_f1,scala_nl_mcc,scala_nl_macro_f1,squad_nl_f1,squad_nl_em,wiki_lingua_nl_bertscore,wiki_lingua_nl_rouge_l,mmlu_nl_mcc,mmlu_nl_accuracy,hellaswag_nl_mcc,hellaswag_nl_accuracy,sb10k_mcc,sb10k_macro_f1,germeval_micro_f1_no_misc,germeval_micro_f1,scala_de_mcc,scala_de_macro_f1,germanquad_f1,germanquad_em,mlsum_bertscore,mlsum_rouge_l,mmlu_de_mcc,mmlu_de_accuracy,hellaswag_de_mcc,hellaswag_de_accuracy,sst5_mcc,sst5_macro_f1,conll_en_micro_f1_no_misc,conll_en_micro_f1,scala_en_mcc,scala_en_macro_f1,squad_f1,squad_em,cnn_dailymail_bertscore,cnn_dailymail_rouge_l,mmlu_mcc,mmlu_accuracy,hellaswag_mcc,hellaswag_accuracy,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,rrn_version,arc_is_version,winogrande_is_version,fosent_version,fone_version,scala_fo_version,foqa_version,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version,sb10k_version,germeval_version,scala_de_version,germanquad_version,mlsum_version,mmlu_de_version,hellaswag_de_version,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version
"gpt-4-1106-preview (few-shot, val)",1.38,,100.0,128000,575.52,True,False,61.62,73.99,66.8,45.69,66.84,82.79,68.83,56.85,66.21,18.02,95.21,96.41,97.19,98.12,78.74,83.91,77.59,78.78,74.45,49.97,71.35,83.98,66.76,56.56,66.08,17.19,71.32,78.48,84.09,88.01,62.55,72.41,77.48,55.87,78.7,57.58,74.45,86.22,56.31,74.04,73.39,44.67,63.6,13.15,70.84,78.12,86.3,89.53,49.59,62.5,86.37,82.25,43.03,71.18,66.04,37.26,69.61,23.98,89.09,91.76,72.03,86.09,38.22,52.33,86.51,85.01,35.09,65.72,81.93,58.65,14.22,33.41,66.44,56.97,72.3,85.96,74.51,57.81,67.13,17.61,70.04,77.58,88.29,91.17,60.47,72.79,68.94,44.89,51.26,74.76,58.77,30.04,63.62,13.08,73.8,80.31,83.93,87.85,67.55,74.04,81.79,65.51,51.21,75.11,84.48,66.6,68.8,21.84,81.71,86.29,89.91,92.38,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,13.2.0,12.5.1,12.10.2,12.5.1,12.5.1,12.10.8,12.10.2,13.3.0,12.5.1,12.5.1,13.0.0,12.10.2,12.3.2,12.10.2,12.3.2,12.3.2,12.10.2,12.10.2,12.10.2,12.6.1,12.10.2,12.6.1,12.6.1,12.10.2,12.10.2,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2
"gpt-4o-2024-05-13 (few-shot, val)",1.58,,200.0,128000,916.47,True,False,49.42,61.74,71.15,52.24,64.59,79.93,67.87,57.35,66.03,17.74,96.41,97.3,97.68,98.44,85.96,89.41,77.16,79.22,76.66,60.34,68.99,83.37,67.71,57.96,66.0,16.97,70.7,77.97,86.3,89.65,66.66,77.7,79.07,64.17,81.56,64.06,64.53,79.17,54.7,74.94,74.52,43.51,63.25,13.02,73.81,80.39,89.91,92.42,49.86,64.51,81.19,54.02,51.1,73.25,55.46,29.64,68.25,19.22,91.27,93.4,70.85,85.55,27.3,55.31,81.86,67.98,-0.97,33.64,78.76,56.45,10.8,32.52,76.75,61.13,56.26,73.83,76.28,55.55,66.86,16.93,73.11,79.69,92.69,94.53,54.82,68.42,69.99,45.58,43.66,64.64,60.77,30.06,63.8,13.87,74.13,80.59,88.18,91.13,62.74,71.28,83.48,75.51,46.56,71.13,84.78,65.41,67.64,20.9,78.55,83.91,91.34,93.48,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,13.2.0,12.10.0,12.10.2,12.10.0,12.10.0,12.10.8,12.10.2,13.3.0,12.10.0,12.10.0,13.0.0,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2
"gpt-4o-2024-05-13 (zero-shot, val)",1.73,,200.0,8191,636.59,True,False,53.07,68.64,64.8,45.57,64.18,81.9,63.09,49.02,64.78,13.85,90.74,93.05,95.22,96.8,78.1,83.59,74.85,74.58,75.06,44.92,65.23,80.52,63.85,53.02,65.8,15.36,71.87,78.87,69.98,77.42,36.27,35.73,77.72,57.89,71.7,50.78,71.7,85.59,58.79,76.83,72.82,40.95,62.76,10.95,69.22,76.95,76.4,82.27,53.43,66.07,72.85,33.36,49.26,73.99,48.73,27.36,67.01,15.62,78.98,83.91,9.83,60.62,27.3,30.12,68.0,37.75,28.09,54.91,77.38,58.59,12.36,19.95,69.12,41.51,58.88,79.01,70.93,45.88,64.37,13.15,70.81,78.12,84.34,88.2,50.12,65.79,67.18,35.1,44.98,71.63,55.19,27.01,63.1,11.09,74.22,80.74,69.31,76.76,63.46,69.35,81.23,72.72,46.45,72.89,81.53,57.64,68.71,20.56,80.09,85.12,86.91,90.04,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
"gpt-4o-mini-2024-07-18 (few-shot, val)",1.83,,200.0,8191,784.26,True,False,56.91,71.25,59.96,41.55,67.13,83.05,33.63,17.52,65.32,15.39,91.7,93.79,88.38,92.19,71.08,78.12,77.69,78.73,62.45,46.68,68.93,84.15,31.14,12.11,66.04,16.02,55.8,66.48,63.61,71.99,67.45,77.5,72.74,57.58,69.17,56.34,74.27,86.86,54.83,76.91,43.45,3.67,63.0,11.59,59.93,69.69,76.01,81.33,56.18,69.53,64.69,37.89,45.52,71.51,55.19,15.8,67.06,15.92,82.1,86.37,42.82,71.48,39.45,62.38,73.8,63.06,34.78,63.14,19.37,0.87,20.33,40.68,68.71,53.19,49.52,72.59,61.15,34.06,66.13,15.64,62.12,71.76,65.74,73.59,55.16,69.81,65.51,48.61,44.6,67.35,59.67,21.87,63.5,11.55,60.83,70.31,67.98,75.39,66.75,73.93,77.38,66.97,52.43,74.46,67.96,41.03,68.73,20.97,66.63,74.92,79.95,84.69,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1
ThatsGroes/gemma-2-27b-it-FP8-Dynamic (few-shot),1.84,28411.0,256.0,4096,3632.83,True,False,58.93,72.7,66.5,45.33,57.27,78.52,64.14,55.02,66.59,19.3,81.37,85.99,83.16,88.81,67.83,75.47,79.51,79.57,62.91,47.13,60.28,79.99,64.81,55.44,65.24,17.65,56.4,67.07,65.89,73.88,40.54,39.96,76.25,60.31,77.91,61.81,59.75,78.91,47.82,73.51,69.77,40.99,64.53,15.13,56.11,66.82,67.72,75.38,50.38,66.21,67.23,45.61,20.01,59.74,49.26,21.18,67.61,19.31,66.74,75.07,33.03,66.8,60.99,72.95,81.3,73.31,12.49,49.82,70.99,48.47,10.56,19.29,68.17,51.61,56.89,78.31,71.82,53.05,64.01,15.23,58.74,68.94,65.18,73.34,58.02,71.81,73.31,59.78,45.12,70.92,55.19,24.67,64.4,15.05,58.7,68.95,68.9,76.26,68.92,72.9,81.06,75.22,49.06,72.52,81.48,61.27,68.0,22.45,67.84,75.85,78.26,83.56,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4
"gpt-4-1106-preview (zero-shot, val)",1.95,,100.0,8191,436.04,True,False,53.69,67.91,35.79,25.86,62.98,81.27,64.87,51.96,64.56,13.61,87.34,90.59,98.11,98.75,67.56,75.47,73.54,68.68,51.31,43.84,66.39,82.1,63.21,52.22,65.32,15.67,69.31,77.07,63.92,72.7,39.62,38.68,60.16,49.38,48.74,40.98,71.38,85.52,42.94,71.26,69.46,36.04,62.75,10.78,68.89,76.76,59.02,67.34,47.47,63.45,30.39,25.88,43.3,71.54,51.48,29.82,63.89,13.99,86.79,90.12,54.76,77.97,13.18,19.41,57.52,36.36,28.03,62.26,76.65,59.06,11.13,18.38,55.72,40.53,67.28,83.06,72.73,54.2,64.09,12.91,67.45,75.66,72.71,79.49,58.67,71.2,57.47,36.29,54.55,75.08,53.97,27.02,62.91,11.7,69.23,77.07,71.17,77.66,65.24,72.51,42.4,34.09,44.59,71.93,82.84,62.94,68.33,20.27,78.8,84.14,82.6,86.6,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
"gpt-4o-mini-2024-07-18 (zero-shot, val)",2.01,,200.0,8191,908.12,True,False,49.73,65.95,57.52,35.79,57.56,77.16,64.34,51.79,64.66,13.62,79.84,84.92,83.21,88.67,63.33,72.15,73.55,71.66,52.47,29.74,52.27,71.55,61.75,48.95,65.59,15.3,54.3,65.47,54.13,64.77,39.82,37.7,60.43,37.82,55.59,32.2,54.84,74.79,33.8,62.11,70.12,36.55,62.77,10.94,56.96,67.11,68.7,75.86,50.02,65.44,31.11,14.28,35.85,66.14,49.25,26.93,66.48,14.96,72.8,79.45,28.63,59.45,35.05,34.41,53.92,28.59,23.12,60.2,76.6,54.99,12.67,18.63,64.15,38.77,62.44,80.58,70.43,45.65,64.26,13.64,56.45,67.46,62.09,71.09,52.66,68.1,59.19,30.16,46.66,72.82,51.63,26.02,63.3,11.78,58.21,68.09,65.19,73.28,61.65,71.46,75.8,52.95,47.74,73.28,79.9,56.98,68.6,20.57,63.18,72.23,77.31,82.54,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.3,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.3,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.3
"claude-3-5-sonnet-20241022 (zero-shot, val)",2.28,,,200000,192.92,True,False,63.61,76.0,65.88,55.11,71.03,85.46,59.56,46.24,64.6,13.66,84.02,88.01,85.34,89.61,23.71,41.45,77.7,77.22,70.22,58.75,74.34,87.04,60.05,49.32,65.36,15.31,28.34,38.09,13.68,26.91,50.92,63.0,74.23,70.66,70.5,65.71,76.1,88.02,72.03,85.28,67.69,40.57,62.57,10.84,24.04,37.19,-0.8,23.98,51.24,65.49,61.7,41.44,52.43,73.78,47.06,22.92,66.02,15.54,15.97,23.83,5.31,59.84,8.17,27.16,72.52,60.99,32.38,56.38,69.24,45.34,12.64,33.98,62.41,52.27,74.06,86.59,68.02,35.77,64.25,13.47,27.77,40.51,14.21,33.83,61.59,73.65,61.83,46.4,46.4,69.51,48.7,23.77,62.69,10.95,17.15,27.23,9.7,29.8,67.01,71.49,82.11,79.77,51.09,74.48,77.79,52.41,67.73,18.28,26.14,35.16,13.56,26.48,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
meta-llama/Llama-3.1-8B-Instruct (few-shot),2.36,8030.0,128.0,131072,1005.15,True,False,54.81,67.88,54.7,38.11,32.11,63.11,59.47,48.87,66.79,19.88,56.14,67.01,63.54,75.61,39.48,54.53,79.23,76.86,55.8,34.65,32.67,63.89,58.66,46.88,66.43,18.43,36.35,51.97,37.89,53.38,35.17,38.11,64.55,56.81,66.44,60.02,27.41,54.94,15.6,46.51,69.74,43.11,66.08,19.8,38.1,52.64,39.3,54.03,39.91,57.39,46.48,24.57,11.72,51.67,53.39,25.91,67.67,18.97,25.83,44.48,6.4,50.66,48.54,49.17,67.67,59.86,3.89,36.33,69.5,47.07,9.09,20.14,69.76,57.66,37.58,66.98,65.63,41.26,68.84,21.41,40.98,55.51,39.98,54.32,58.07,70.76,67.61,60.39,28.25,59.54,55.82,28.79,66.87,21.31,40.0,54.88,45.93,58.95,68.12,72.48,76.95,72.47,34.34,65.84,76.21,47.88,69.57,26.3,56.62,67.29,69.03,76.69,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.1.2,14.1.2,14.1.2,14.1.2,14.1.2,14.1.2,13.0.0,13.0.0,13.0.0,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.2,14.0.2,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.4,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),2.42,8030.0,128.0,8192,1007.12,True,False,48.43,62.09,57.74,40.66,27.12,60.4,59.77,46.76,66.36,19.75,57.87,67.43,50.42,65.43,29.17,44.59,59.93,67.54,69.67,52.94,27.63,60.85,60.85,49.84,66.6,19.13,33.54,49.2,30.32,45.96,34.44,37.94,74.47,65.57,72.93,65.44,27.77,61.75,20.35,57.74,69.9,42.9,63.98,14.75,33.44,48.76,30.91,45.85,38.09,54.51,60.2,40.38,9.14,49.56,58.93,28.66,67.5,18.61,17.93,38.38,5.59,54.19,45.78,47.72,70.61,68.27,4.58,36.78,72.73,50.67,14.67,41.36,68.72,54.89,32.91,64.93,67.5,45.36,67.62,18.19,36.18,51.68,33.91,48.01,58.33,69.31,68.18,57.72,29.12,63.6,56.42,28.68,65.23,16.56,38.44,53.38,37.69,51.24,67.64,71.04,75.02,69.47,32.29,64.85,79.1,54.84,69.28,25.48,53.77,64.91,57.64,67.29,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.4,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.2,14.0.2,14.0.2,14.0.4,14.0.4,14.0.4,14.0.4,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
