model,rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_mcc,angry_tweets_macro_f1,dansk_micro_f1_no_misc,dansk_micro_f1,scala_da_mcc,scala_da_macro_f1,scandiqa_da_f1,scandiqa_da_em,swerec_mcc,swerec_macro_f1,suc3_micro_f1_no_misc,suc3_micro_f1,scala_sv_mcc,scala_sv_macro_f1,scandiqa_sv_f1,scandiqa_sv_em,norec_mcc,norec_macro_f1,norne_nb_micro_f1_no_misc,norne_nb_micro_f1,norne_nn_micro_f1_no_misc,norne_nn_micro_f1,scala_nb_mcc,scala_nb_macro_f1,scala_nn_mcc,scala_nn_macro_f1,norquad_f1,norquad_em,hotter_and_colder_sentiment_mcc,hotter_and_colder_sentiment_macro_f1,mim_gold_ner_micro_f1_no_misc,mim_gold_ner_micro_f1,scala_is_mcc,scala_is_macro_f1,nqii_f1,nqii_em,fosent_mcc,fosent_macro_f1,fone_micro_f1_no_misc,fone_micro_f1,scala_fo_mcc,scala_fo_macro_f1,foqa_f1,foqa_em,dutch_social_mcc,dutch_social_macro_f1,conll_nl_micro_f1_no_misc,conll_nl_micro_f1,scala_nl_mcc,scala_nl_macro_f1,squad_nl_f1,squad_nl_em,sb10k_mcc,sb10k_macro_f1,germeval_micro_f1_no_misc,germeval_micro_f1,scala_de_mcc,scala_de_macro_f1,germanquad_f1,germanquad_em,sst5_mcc,sst5_macro_f1,conll_en_micro_f1_no_misc,conll_en_micro_f1,scala_en_mcc,scala_en_macro_f1,squad_f1,squad_em,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,fosent_version,fone_version,scala_fo_version,foqa_version,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,sb10k_version,germeval_version,scala_de_version,germanquad_version,sst5_version,conll_en_version,scala_en_version,squad_version
"gpt-4-1106-preview (few-shot, val)",1.47,,100.0,128000,575.52,True,False,61.62,73.99,66.8,45.69,66.84,82.79,68.83,56.85,77.59,78.78,74.45,49.97,71.35,83.98,66.76,56.56,62.55,72.41,77.48,55.87,78.7,57.58,74.45,86.22,56.31,74.04,73.39,44.67,49.59,62.5,86.37,82.25,43.03,71.18,66.04,37.26,38.22,52.33,86.51,85.01,35.09,65.72,81.93,58.65,14.22,33.41,66.44,56.97,72.3,85.96,74.51,57.81,60.47,72.79,68.94,44.89,51.26,74.76,58.77,30.04,67.55,74.04,81.79,65.51,51.21,75.11,84.48,66.6,12.10.2,12.10.0,12.10.2,12.10.0,12.10.2,12.10.0,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.0,13.2.0,12.5.1,12.10.2,12.5.1,13.3.0,12.5.1,12.5.1,13.0.0,12.10.2,12.3.2,12.10.2,12.3.2,12.10.2,12.6.1,12.10.2,12.6.1,12.10.2,12.10.0,12.10.2,12.10.0
"gpt-4o-2024-05-13 (few-shot, val)",1.7,,200.0,128000,916.47,True,False,49.42,61.74,71.15,52.24,64.59,79.93,67.87,57.35,77.16,79.22,76.66,60.34,68.99,83.37,67.71,57.96,66.66,77.7,79.07,64.17,81.56,64.06,64.53,79.17,54.7,74.94,74.52,43.51,49.86,64.51,81.19,54.02,51.1,73.25,55.46,29.64,27.3,55.31,81.86,67.98,-0.97,33.64,78.76,56.45,10.8,32.52,76.75,61.13,56.26,73.83,76.28,55.55,54.82,68.42,69.99,45.58,43.66,64.64,60.77,30.06,62.74,71.28,83.48,75.51,46.56,71.13,84.78,65.41,12.10.2,12.10.0,12.10.2,12.10.0,12.10.2,12.10.0,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.0,13.2.0,12.10.0,12.10.2,12.10.0,13.3.0,12.10.0,12.10.0,13.0.0,12.10.2,12.10.0,12.10.2,12.10.0,12.10.2,12.10.0,12.10.2,12.10.0,12.10.2,12.10.0,12.10.2,12.10.0
"claude-3-5-sonnet-20241022 (zero-shot, val)",1.73,,,200000,192.92,True,False,63.61,76.0,65.88,55.11,71.03,85.46,59.56,46.24,77.7,77.22,70.22,58.75,74.34,87.04,60.05,49.32,50.92,63.0,74.23,70.66,70.5,65.71,76.1,88.02,72.03,85.28,67.69,40.57,51.24,65.49,61.7,41.44,52.43,73.78,47.06,22.92,8.17,27.16,72.52,60.99,32.38,56.38,69.24,45.34,12.64,33.98,62.41,52.27,74.06,86.59,68.02,35.77,61.59,73.65,61.83,46.4,46.4,69.51,48.7,23.77,67.01,71.49,82.11,79.77,51.09,74.48,77.79,52.41,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
microsoft/mdeberta-v3-base,1.74,279.0,251.0,512,20637.23,True,False,43.38,60.05,72.9,67.41,67.05,83.18,47.97,42.15,75.24,72.06,78.84,72.86,72.3,85.77,50.62,44.74,53.69,63.69,91.9,89.55,86.81,83.46,70.55,84.79,61.21,79.87,63.72,48.82,45.3,62.84,81.12,81.48,54.11,76.46,56.17,30.93,6.7,25.36,88.6,89.37,46.81,72.76,30.59,20.96,5.16,27.85,84.47,87.98,71.23,85.45,57.8,46.43,50.9,66.89,77.42,76.39,59.38,79.12,42.79,20.28,53.75,56.4,91.83,91.4,62.11,80.67,73.26,62.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0
"gpt-4o-2024-05-13 (zero-shot, val)",1.75,,200.0,8191,636.59,True,False,53.07,68.64,64.8,45.57,64.18,81.9,63.09,49.02,74.85,74.58,75.06,44.92,65.23,80.52,63.85,53.02,36.27,35.73,77.72,57.89,71.7,50.78,71.7,85.59,58.79,76.83,72.82,40.95,53.43,66.07,72.85,33.36,49.26,73.99,48.73,27.36,27.3,30.12,68.0,37.75,28.09,54.91,77.38,58.59,12.36,19.95,69.12,41.51,58.88,79.01,70.93,45.88,50.12,65.79,67.18,35.1,44.98,71.63,55.19,27.01,63.46,69.35,81.23,72.72,46.45,72.89,81.53,57.64,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
intfloat/multilingual-e5-large,1.78,560.0,250.0,512,6731.95,True,False,55.07,69.43,69.5,65.03,57.67,78.48,52.84,46.71,79.65,78.9,80.36,78.57,63.15,81.06,53.49,46.99,61.52,72.72,89.86,90.64,84.32,86.52,62.34,79.94,34.88,66.51,70.46,53.01,48.52,64.38,78.43,79.3,10.78,53.28,54.2,13.79,18.28,39.08,88.39,88.75,2.85,48.43,43.72,31.03,32.64,49.9,82.31,86.91,58.51,78.17,57.53,45.32,64.78,76.3,79.73,78.52,47.24,71.51,54.87,28.11,64.37,65.16,91.69,91.29,53.58,74.7,73.0,60.47,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
setu4993/LaBSE,1.8,471.0,501.0,512,25417.61,True,False,46.5,64.31,71.24,66.41,52.92,75.11,45.4,40.08,73.58,70.43,77.78,72.08,60.36,79.72,47.07,41.71,54.26,67.25,90.58,87.84,85.21,81.57,59.44,78.8,49.3,74.02,61.82,46.42,46.4,63.25,80.45,81.01,36.92,66.07,46.17,11.75,21.57,45.4,89.16,89.62,22.76,60.04,41.85,30.55,33.99,50.69,82.02,84.71,60.77,79.8,51.73,41.55,58.65,72.12,79.44,78.42,52.19,74.17,45.11,23.66,52.93,58.98,90.33,90.31,50.7,74.17,65.07,53.77,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0,12.7.0,12.7.0,12.7.0,12.6.1,12.6.1,12.6.1,12.6.1
google/rembert,1.82,576.0,250.0,256,11735.9,True,False,50.19,66.32,70.19,66.64,69.72,84.3,44.44,39.85,75.99,71.01,78.23,72.58,72.17,85.94,51.05,46.0,54.19,65.18,88.7,84.95,86.11,82.16,69.83,84.72,54.84,75.13,71.29,58.18,36.87,56.59,78.05,78.74,48.29,73.54,52.42,29.38,0.04,17.28,87.35,87.65,14.65,46.36,48.41,36.1,4.79,27.49,75.49,81.37,66.47,83.16,68.38,55.7,60.65,73.52,77.62,76.16,62.6,81.12,60.41,33.62,51.74,58.97,90.17,89.85,55.55,77.55,81.57,69.02,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.7.0,12.7.0,12.7.0,12.7.0,12.6.1,12.6.1,12.6.1,12.6.1
ThatsGroes/gemma-2-27b-it-FP8-Dynamic (few-shot),1.84,28411.0,256.0,4096,3632.83,True,False,58.93,72.7,66.5,45.33,57.27,78.52,64.14,55.02,79.51,79.57,62.91,47.13,60.28,79.99,64.81,55.44,40.54,39.96,76.25,60.31,77.91,61.81,59.75,78.91,47.82,73.51,69.77,40.99,50.38,66.21,67.23,45.61,20.01,59.74,49.26,21.18,60.99,72.95,81.3,73.31,12.49,49.82,70.99,48.47,10.56,19.29,68.17,51.61,56.89,78.31,71.82,53.05,58.02,71.81,73.31,59.78,45.12,70.92,55.19,24.67,68.92,72.9,81.06,75.22,49.06,72.52,81.48,61.27,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4
"gpt-4o-mini-2024-07-18 (few-shot, val)",1.86,,200.0,8191,784.26,True,False,56.91,71.25,59.96,41.55,67.13,83.05,33.63,17.52,77.69,78.73,62.45,46.68,68.93,84.15,31.14,12.11,67.45,77.5,72.74,57.58,69.17,56.34,74.27,86.86,54.83,76.91,43.45,3.67,56.18,69.53,64.69,37.89,45.52,71.51,55.19,15.8,39.45,62.38,73.8,63.06,34.78,63.14,19.37,0.87,20.33,40.68,68.71,53.19,49.52,72.59,61.15,34.06,55.16,69.81,65.51,48.61,44.6,67.35,59.67,21.87,66.75,73.93,77.38,66.97,52.43,74.46,67.96,41.03,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0
