model,nlu_rank,parameters,vocabulary_size,context,speed,commercial,merge,fosent_primary,fosent_secondary,fone_primary,fone_secondary,scala_fo_primary,scala_fo_secondary,foqa_primary,foqa_secondary,fosent_version,fone_version,scala_fo_version,foqa_version,speed_version
"gpt-4-1106-preview (few-shot, val)",1.93,,100.0,128000,575.52,True,False,38.22,52.33,86.51,85.01,35.09,65.72,81.93,58.65,13.3.0,12.5.1,12.5.1,13.0.0,12.5.3
vesteinn/FoBERT,2.2,124.0,50.0,512,15623.28,True,False,10.69,26.65,91.31,91.79,64.39,81.38,36.68,27.09,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
"gpt-4o-2024-05-13 (zero-shot, val)",2.61,,200.0,8191,636.59,True,False,27.3,30.12,68.0,37.75,28.09,54.91,77.38,58.59,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
NbAiLab/nb-roberta-base-scandi-1e4,2.61,278.0,250.0,512,15073.66,True,False,11.53,32.97,90.52,90.83,44.99,71.54,34.64,25.14,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
"gpt-4o-mini-2024-07-18 (zero-shot, val)",2.71,,200.0,8191,908.12,True,False,35.05,34.41,53.92,28.59,23.12,60.2,76.6,54.99,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3
"gpt-4o-mini-2024-07-18 (few-shot, val)",2.72,,200.0,8191,784.26,True,False,39.45,62.38,73.8,63.06,34.78,63.14,19.37,0.87,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),2.74,8030.0,128.0,8192,1007.12,True,False,45.78,47.72,70.61,68.27,4.58,36.78,72.73,50.67,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4
sentence-transformers/use-cmlm-multilingual,2.76,472.0,501.0,512,30230.67,True,False,15.45,40.77,88.81,89.12,30.92,63.05,37.21,25.48,13.3.0,0.0.0,0.0.0,13.0.0,12.7.0
microsoft/mdeberta-v3-base,2.77,279.0,251.0,512,20637.23,True,False,6.7,25.36,88.6,89.37,46.81,72.76,30.59,20.96,13.3.0,0.0.0,0.0.0,13.0.0,12.7.0
meta-llama/Llama-3.1-8B-Instruct (few-shot),2.81,8030.0,128.0,131072,1005.15,True,False,48.54,49.17,67.67,59.86,3.89,36.33,69.5,47.07,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4
meta-llama/Llama-3.1-8B (few-shot),2.84,8030.0,128.0,131072,2609.75,True,False,47.04,62.76,65.65,63.81,3.55,38.16,65.74,45.01,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4
setu4993/LaBSE,2.87,471.0,501.0,512,25417.61,True,False,21.57,45.4,89.16,89.62,22.76,60.04,41.85,30.55,13.3.0,0.0.0,0.0.0,13.0.0,12.7.0
"claude-3-5-sonnet-20241022 (zero-shot, val)",2.91,,,200000,192.92,True,False,8.17,27.16,72.52,60.99,32.38,56.38,69.24,45.34,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
"gpt-4o-2024-05-13 (few-shot, val)",3.04,,200.0,127997,916.47,True,False,27.3,55.31,81.86,67.98,-0.97,33.64,78.76,56.45,13.3.0,12.10.0,12.10.0,13.0.0,12.10.0
"gpt-4-1106-preview (zero-shot, val)",3.09,,100.0,8191,436.04,True,False,13.18,19.41,57.52,36.36,28.03,62.26,76.65,59.06,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
pere/roberta-base-exp-32,3.14,278.0,250.0,512,15080.54,True,False,11.28,28.12,90.6,90.78,22.86,59.92,33.83,24.9,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
vesteinn/ScandiBERT-no-faroese,3.21,124.0,50.0,512,15435.6,True,False,6.88,24.4,88.14,88.89,27.71,61.6,29.37,20.47,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
ibm-granite/granite-3.0-8b-base (few-shot),3.23,8171.0,49.0,4096,5116.13,True,False,31.99,50.94,61.47,58.6,1.44,34.71,58.9,41.54,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),3.23,7242.0,32.0,32768,2370.41,False,False,32.07,51.69,61.28,54.02,1.68,50.06,59.78,39.0,13.3.0,9.2.0,9.3.1,13.0.0,14.0.3
mistralai/Ministral-8B-Instruct-2410 (few-shot),3.35,8020.0,131.0,32768,911.9,True,False,29.49,47.06,65.55,51.57,2.05,35.92,65.78,47.72,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4
intfloat/multilingual-e5-large-instruct,3.37,560.0,250.0,514,5947.27,True,False,23.63,44.37,88.64,89.11,2.05,47.88,37.6,24.09,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0
