model,rank,parameters,vocabulary_size,context,speed,commercial,merge,fosent,fone,scala_fo,foqa,fosent_version,fone_version,scala_fo_version,foqa_version
"gpt-4-1106-preview (few-shot, val)",2.11,,100256.0,128000,575.52,✓,✗,38.22 ± 8.49 / 52.33 ± 6.78@@38.218954052061186,86.51 ± 2.01 / 85.01 ± 2.45@@86.5130142346496,35.09 ± 5.70 / 65.72 ± 3.27@@35.09160444294318,81.93 ± 2.20 / 58.65 ± 3.25@@81.93192507731982,13.3.0@@130300,12.5.1@@120501,12.5.1@@120501,13.0.0@@130000
vesteinn/FoBERT,2.15,124498007.0,50005.0,514,35628.61,✓,✗,10.69 ± 5.70 / 26.65 ± 6.61@@10.691076299209909,91.31 ± 0.69 / 91.79 ± 0.47@@91.30739135961451,64.39 ± 1.55 / 81.38 ± 1.04@@64.39071431415799,36.68 ± 1.88 / 27.09 ± 1.55@@36.679476745917135,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
meta-llama/Meta-Llama-3-70B (few-shot),2.32,70553706496.0,128256.0,8192,1298.94,✓,✗,57.99 ± 3.77 / 71.14 ± 3.12@@57.991581432814186,80.62 ± 1.38 / 77.07 ± 2.93@@80.6238818967518,13.59 ± 1.39 / 44.26 ± 2.93@@13.59206210730322,79.40 ± 1.20 / 61.89 ± 1.34@@79.39591203579899,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
meta-llama/Llama-3.1-405B-Instruct-FP8 (few-shot),2.4,405868625920.0,128256.0,131072,798.95,✓,✗,53.25 ± 1.76 / 50.18 ± 1.09@@53.25435974149326,81.95 ± 1.35 / 81.71 ± 1.81@@81.94550113408405,14.29 ± 2.45 / 40.76 ± 1.85@@14.292950818015582,79.84 ± 0.96 / 60.41 ± 1.26@@79.83653150032353,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
Qwen/Qwen2.5-72B-Instruct (few-shot),2.46,72706203648.0,152064.0,32768,1218.79,✓,✗,46.61 ± 1.58 / 47.25 ± 1.29@@46.607141337659584,76.56 ± 1.09 / 58.59 ± 3.63@@76.56015316176013,23.45 ± 2.41 / 59.84 ± 1.99@@23.446047867016922,77.14 ± 1.37 / 55.28 ± 2.18@@77.13938878658031,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
meta-llama/Llama-3.1-70B-Instruct (few-shot),2.47,70553706496.0,128256.0,131072,1408.67,✓,✗,52.33 ± 2.11 / 49.69 ± 1.21@@52.33167851400991,79.04 ± 1.57 / 69.20 ± 3.32@@79.04379000323716,15.72 ± 2.73 / 53.70 ± 3.15@@15.720251109939037,79.21 ± 1.19 / 59.08 ± 1.71@@79.20815123216286,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
ThatsGroes/gemma-2-27b-it-FP8-Dynamic (few-shot),2.49,28410968576.0,256000.0,4096,3632.83,✓,✗,60.99 ± 2.59 / 72.95 ± 1.68@@60.98836797904248,81.30 ± 1.24 / 73.31 ± 3.51@@81.2952837760563,12.49 ± 3.30 / 49.82 ± 2.65@@12.49083870240727,70.99 ± 1.42 / 48.47 ± 1.72@@70.99255966458256,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
meta-llama/Llama-3.3-70B-Instruct (few-shot),2.53,70553706496.0,128256.0,131072,1353.36,✓,✗,51.60 ± 1.99 / 49.29 ± 1.20@@51.600081709323874,78.46 ± 1.42 / 66.11 ± 4.28@@78.45722114433025,17.25 ± 3.90 / 53.45 ± 4.72@@17.25253480827619,72.58 ± 1.07 / 50.98 ± 1.67@@72.58088623646535,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
NbAiLab/nb-roberta-base-scandi-1e4,2.59,278295700.0,250002.0,514,13658.85,✓,✗,11.53 ± 8.77 / 32.97 ± 9.54@@11.529391865585419,90.52 ± 0.47 / 90.83 ± 0.40@@90.51573249252294,44.99 ± 11.76 / 71.54 ± 5.83@@44.99120693458498,34.64 ± 1.98 / 25.14 ± 1.72@@34.63937098683215,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
meta-llama/Meta-Llama-3-70B-instruct (few-shot),2.6,70553706496.0,128256.0,8192,1194.24,✓,✗,49.86 ± 1.68 / 49.37 ± 0.98@@49.86121014336399,79.18 ± 1.07 / 68.96 ± 2.51@@79.178545874567,12.88 ± 2.43 / 50.74 ± 3.48@@12.880820292604348,79.98 ± 0.65 / 60.24 ± 1.33@@79.98175907554511,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
Qwen/QwQ-32B-Preview (few-shot),2.67,32763876352.0,152064.0,32768,2258.16,✓,✗,45.55 ± 2.05 / 46.59 ± 1.05@@45.551746962206714,77.19 ± 1.09 / 72.79 ± 2.09@@77.18574263385858,16.92 ± 1.77 / 55.66 ± 2.98@@16.916429651983204,69.45 ± 2.43 / 47.51 ± 2.79@@69.45085485085589,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
nvidia/Llama-3.1-Nemotron-70B-Instruct-HF (few-shot),2.69,70553706496.0,128256.0,131072,1207.76,✓,✗,52.56 ± 2.14 / 49.94 ± 1.21@@52.56202832674015,64.88 ± 1.71 / 37.91 ± 1.50@@64.88346742783261,14.28 ± 1.04 / 45.93 ± 2.64@@14.28249190087961,74.50 ± 0.82 / 50.11 ± 1.82@@74.49976191240853,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
"gpt-4o-2024-05-13 (zero-shot, val)",2.73,,200019.0,8191,882.4,✓,✗,27.30 ± 4.69 / 30.12 ± 3.11@@27.301719487359506,68.00 ± 1.08 / 37.75 ± 1.09@@68.00464651750026,28.09 ± 3.31 / 54.91 ± 2.24@@28.092396981741068,77.38 ± 1.63 / 58.59 ± 1.88@@77.3785510195543,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
CohereForAI/c4ai-command-r-08-2024 (few-shot),2.74,32296476672.0,256000.0,131072,1909.17,✗,✗,47.71 ± 2.52 / 64.44 ± 1.96@@47.70709275658246,73.26 ± 1.78 / 63.41 ± 3.03@@73.2589021923984,10.41 ± 2.22 / 54.04 ± 1.47@@10.410158987607128,73.87 ± 1.31 / 57.08 ± 1.61@@73.86865816657772,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
