model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,scandisent_fi,turku_ner_fi,scala_fi,tydiqa_fi,xlsum_fi,hellaswag_fi,scandisent_fi_version,turku_ner_fi_version,scala_fi_version,tydiqa_fi_version,xlsum_fi_version,hellaswag_fi_version
<a href='https://huggingface.co/LumiOpen/Llama-Poro-2-70B-SFT'>LumiOpen/Llama-Poro-2-70B-SFT (few-shot)</a>,📝,1.34@@1.34,70553706496.0,128256.0,8192.0,✓,✗,93.25 ± 0.65 / 96.60 ± 0.34@@93.24824938448961,68.97 ± 1.83 / 44.41 ± 3.35@@68.96736993124001,45.60 ± 2.20 / 71.84 ± 1.60@@45.60114133583741,65.60 ± 1.53 / 46.24 ± 2.04@@65.59712821030492,66.51 ± 0.18 / 15.80 ± 0.34@@66.5110888655181,61.13 ± 0.97 / 70.54 ± 0.77@@61.131862448340925,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/LumiOpen/Llama-Poro-2-70B-base'>LumiOpen/Llama-Poro-2-70B-base (few-shot)</a>,🧠,1.36@@1.36,70553706496.0,128256.0,8192.0,✓,✗,93.18 ± 0.68 / 96.56 ± 0.36@@93.17709345008097,74.27 ± 1.37 / 58.78 ± 4.26@@74.27066373402766,44.16 ± 2.15 / 71.59 ± 1.27@@44.16006328447723,76.52 ± 1.76 / 59.75 ± 2.10@@76.52082427682292,66.14 ± 0.72 / 15.92 ± 1.08@@66.14449282671558,40.67 ± 1.82 / 53.10 ± 1.53@@40.67172864370207,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt (few-shot)</a>,🧠,1.40@@1.40,27432406640.0,262144.0,,✓,✗,93.82 ± 0.65 / 96.90 ± 0.33@@93.82085067497134,65.25 ± 1.02 / 47.69 ± 2.19@@65.24580066827357,41.87 ± 2.98 / 68.13 ± 2.50@@41.873550071739565,75.66 ± 1.52 / 58.64 ± 2.77@@75.66387011451408,66.02 ± 1.33 / 16.00 ± 1.43@@66.01991957766586,54.13 ± 2.53 / 65.29 ± 1.92@@54.1320665618249,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503 (few-shot)</a>,📝,1.41@@1.41,24011361280.0,131072.0,,✓,✗,92.17 ± 0.76 / 96.04 ± 0.40@@92.16811209498108,70.37 ± 1.35 / 55.35 ± 1.80@@70.37441794251353,38.28 ± 1.44 / 68.88 ± 0.84@@38.2785634694187,74.86 ± 1.78 / 55.80 ± 3.95@@74.85629237475537,65.01 ± 0.53 / 12.69 ± 0.82@@65.00869421608513,63.40 ± 1.13 / 72.35 ± 0.86@@63.39862409437489,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,1.48@@1.48,,256128.0,1048576.0,✓,✗,88.36 ± 1.32 / 93.96 ± 0.69@@88.36333994164842,66.07 ± 2.13 / 47.38 ± 2.27@@66.06573811114613,47.25 ± 2.39 / 73.16 ± 1.16@@47.25168102809992,66.05 ± 0.96 / 51.12 ± 1.36@@66.04618004388047,63.03 ± 0.14 / 7.78 ± 0.23@@63.025321669410914,76.11 ± 1.97 / 82.23 ± 1.45@@76.11157913153693,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.50@@1.50,,,200000.0,✓,✗,90.25 ± 1.13 / 94.98 ± 0.58@@90.24637051917776,69.71 ± 1.99 / 55.54 ± 2.08@@69.70905719728225,46.79 ± 2.99 / 73.20 ± 1.54@@46.793013554676754,59.83 ± 0.60 / 41.87 ± 1.27@@59.82710383568667,63.38 ± 0.15 / 8.37 ± 0.25@@63.3829352632165,72.77 ± 1.57 / 79.65 ± 1.12@@72.77087167878047,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B (few-shot)</a>,🧠,1.51@@1.51,70553706496.0,128256.0,8192.0,✓,✗,92.39 ± 0.85 / 96.16 ± 0.44@@92.39422829523191,72.14 ± 1.02 / 51.90 ± 4.23@@72.14496458868693,36.33 ± 2.08 / 67.59 ± 1.17@@36.329770980953896,77.11 ± 1.27 / 59.23 ± 2.62@@77.10528477025564,65.17 ± 0.76 / 13.92 ± 0.77@@65.17134688270744,40.45 ± 2.48 / 53.70 ± 1.84@@40.453760971947325,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/LumiOpen/Llama-Poro-2-70B-Instruct'>LumiOpen/Llama-Poro-2-70B-Instruct (few-shot)</a>,📝,1.53@@1.53,70553706496.0,128256.0,8192.0,✓,✗,93.10 ± 0.51 / 96.52 ± 0.26@@93.10316461796167,60.03 ± 1.15 / 34.72 ± 2.25@@60.033134399438694,46.71 ± 1.94 / 72.57 ± 1.35@@46.71013663274628,59.91 ± 1.24 / 39.57 ± 1.01@@59.910275935691516,65.85 ± 0.21 / 13.84 ± 0.47@@65.85357074072817,59.34 ± 0.69 / 68.95 ± 0.58@@59.33508845026532,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B (few-shot)</a>,🧠,1.54@@1.54,70553706496.0,128256.0,131072.0,✓,✗,92.67 ± 0.60 / 96.30 ± 0.32@@92.66684539341435,73.64 ± 0.79 / 56.68 ± 3.59@@73.63740018017145,35.59 ± 2.09 / 67.21 ± 1.13@@35.59291447716415,76.96 ± 1.26 / 59.60 ± 2.49@@76.96367213120125,65.10 ± 0.70 / 13.59 ± 1.05@@65.10035916908237,40.62 ± 2.06 / 53.54 ± 1.53@@40.622582081029904,15.7.2@@150702,15.7.2@@150702,15.7.2.dev0@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (few-shot)</a>,📝,1.57@@1.57,70553706496.0,128256.0,131072.0,✓,✗,92.37 ± 0.65 / 96.15 ± 0.34@@92.37376003806868,69.08 ± 1.52 / 46.31 ± 2.82@@69.07865429353325,35.90 ± 2.62 / 64.12 ± 2.65@@35.89543327346088,53.60 ± 1.94 / 28.80 ± 2.26@@53.60371790892098,66.32 ± 0.25 / 15.21 ± 0.52@@66.31722062287736,59.07 ± 1.30 / 68.93 ± 1.03@@59.06765507523852,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
