model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,orange_sum,mmlu_fr,hellaswag_fr,allocine_version,eltec_version,scala_fr_version,fquad_version,orange_sum_version,mmlu_fr_version,hellaswag_fr_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (few-shot, val)</a>",📝,1.30@@1.30,,256128.0,1048576.0,✓,✗,95.68 ± 1.71 / 97.83 ± 0.86@@95.67872875734234,79.48 ± 2.57 / 74.61 ± 2.77@@79.48498807716453,45.95 ± 6.81 / 70.14 ± 4.47@@45.95432887369139,71.20 ± 1.44 / 38.34 ± 1.88@@71.20172717248607,67.14 ± 0.21 / 18.23 ± 0.42@@67.1422269125469,76.81 ± 2.18 / 82.81 ± 1.67@@76.81438847441916,76.44 ± 2.41 / 82.19 ± 1.81@@76.4428544444223,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (few-shot, val)</a>",📝,1.32@@1.32,,256128.0,2097152.0,✓,✗,95.02 ± 1.22 / 97.47 ± 0.62@@95.01641232748092,78.93 ± 1.69 / 76.10 ± 2.33@@78.93286829715592,46.07 ± 4.01 / 68.33 ± 2.90@@46.0718222899754,70.43 ± 0.93 / 36.39 ± 1.73@@70.42743298037304,67.38 ± 0.23 / 19.42 ± 0.31@@67.38351627485827,71.63 ± 1.66 / 78.83 ± 1.29@@71.62714108108861,78.63 ± 2.50 / 83.87 ± 1.90@@78.62525005274425,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (few-shot, val)</a>",📝,1.36@@1.36,,256128.0,1048576.0,✓,✗,95.09 ± 1.30 / 97.51 ± 0.66@@95.09012240435706,72.07 ± 2.05 / 70.01 ± 2.31@@72.06810446058836,49.41 ± 4.57 / 71.43 ± 3.10@@49.40697869993563,72.65 ± 1.53 / 37.29 ± 1.56@@72.65145508320339,67.32 ± 0.20 / 19.34 ± 0.51@@67.32176733668894,73.39 ± 2.41 / 80.20 ± 1.91@@73.38787823437973,75.06 ± 3.66 / 81.17 ± 2.81@@75.06429851255095,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (few-shot, val)</a>",🤔,1.36@@1.36,,256128.0,1048576.0,✓,✗,94.95 ± 1.42 / 97.44 ± 0.72@@94.94635718337818,74.03 ± 3.10 / 67.83 ± 2.87@@74.02656069426324,43.06 ± 4.54 / 66.83 ± 2.84@@43.062998200962056,70.97 ± 0.83 / 37.10 ± 1.44@@70.97059006216796,66.53 ± 1.21 / 17.12 ± 1.39@@66.52769332518801,84.23 ± 1.78 / 88.32 ± 1.38@@84.2332309477292,80.66 ± 4.53 / 85.39 ± 3.36@@80.65983099449599,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (few-shot, val)</a>",📝,1.41@@1.41,,100256.0,128000.0,✓,✗,95.68 ± 1.38 / 97.82 ± 0.69@@95.68384432198663,75.02 ± 2.41 / 65.24 ± 2.34@@75.01527726544721,42.17 ± 3.64 / 66.35 ± 1.90@@42.17472963097308,69.15 ± 1.21 / 35.06 ± 1.84@@69.14911747426089,66.68 ± 0.14 / 15.79 ± 0.26@@66.67728800093755,67.35 ± 1.90 / 75.66 ± 1.41@@67.34963187931253,80.87 ± 2.27 / 85.43 ± 1.79@@80.86618313656197,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (few-shot, val)</a>",📝,1.42@@1.42,,200019.0,128000.0,✓,✗,95.64 ± 1.44 / 97.79 ± 0.74@@95.6393035894765,69.67 ± 4.44 / 60.14 ± 4.38@@69.66583101183464,42.76 ± 3.62 / 65.94 ± 2.04@@42.757852087433534,70.88 ± 1.03 / 36.03 ± 1.55@@70.88057505579887,66.93 ± 0.18 / 16.84 ± 0.40@@66.92979243816808,72.03 ± 1.74 / 79.34 ± 1.23@@72.02788074074058,82.30 ± 2.26 / 86.60 ± 1.72@@82.30463464563174,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (few-shot)</a>,📝,1.46@@1.46,72706203648.0,152064.0,32768.0,✓,✗,94.67 ± 0.61 / 97.31 ± 0.32@@94.67098236185223,62.77 ± 2.68 / 54.80 ± 3.20@@62.76781462104617,46.11 ± 1.30 / 67.89 ± 0.85@@46.10943521470335,70.99 ± 0.67 / 38.28 ± 0.99@@70.98690321651625,66.28 ± 0.09 / 16.13 ± 0.20@@66.27879943378503,73.75 ± 0.62 / 80.24 ± 0.48@@73.74993666627701,77.80 ± 1.40 / 83.23 ± 1.07@@77.80240171806673,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (few-shot, val)</a>",📝,1.49@@1.49,,256128.0,1048576.0,✓,✗,97.72 ± 0.90 / 98.86 ± 0.45@@97.71750643385799,74.44 ± 1.72 / 70.06 ± 2.01@@74.43784579820682,41.49 ± 3.45 / 64.92 ± 1.81@@41.491945451281595,68.12 ± 0.94 / 33.33 ± 1.87@@68.11885812077895,66.85 ± 0.17 / 18.17 ± 0.32@@66.84836575528607,62.47 ± 2.43 / 72.03 ± 1.77@@62.468169319064955,71.08 ± 1.42 / 78.09 ± 1.14@@71.08095695518783,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,1.51@@1.51,,200019.0,8191.0,✓,✗,93.73 ± 1.52 / 96.80 ± 0.78@@93.72906818377155,67.03 ± 2.75 / 51.31 ± 3.47@@67.03442480301506,45.51 ± 2.97 / 68.41 ± 1.52@@45.50621073397135,67.96 ± 0.79 / 34.76 ± 1.21@@67.95571208193444,66.69 ± 0.14 / 15.90 ± 0.29@@66.69429493835196,68.78 ± 2.11 / 76.88 ± 1.52@@68.77657601414062,70.77 ± 1.58 / 77.54 ± 1.18@@70.77149009754268,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.4.0@@140400,14.4.0@@140400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,1.52@@1.52,,256128.0,1048576.0,✓,✗,93.69 ± 1.20 / 96.80 ± 0.61@@93.69384534148824,69.85 ± 2.61 / 63.75 ± 2.86@@69.85272747776061,38.99 ± 3.61 / 64.75 ± 1.93@@38.9894200550504,67.21 ± 0.96 / 36.78 ± 1.43@@67.21221645116323,66.25 ± 0.11 / 14.41 ± 0.18@@66.24799803132191,80.80 ± 1.78 / 85.59 ± 1.31@@80.80493146519787,66.05 ± 1.63 / 74.30 ± 1.17@@66.05245852113413,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
