model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,sb10k,germeval,scala-de,germanquad,mlsum,mmlu-de,hellaswag-de
deepset/gbert-large,1.13,999.0,337,31,512,19109.06,True,False,65.12,80.3,75.12,56.61,,,
FacebookAI/xlm-roberta-large,1.35,999.0,561,250,512,17896.69,True,False,63.02,80.64,54.83,55.68,,,
google/rembert,1.38,999.0,576,250,512,11735.9,True,False,60.65,77.62,62.6,60.41,,,
intfloat/multilingual-e5-large,1.47,999.0,560,250,512,6731.95,True,False,64.78,79.73,47.24,54.87,,,
"gpt-4-0613 (few-shot, val)",1.47,4.71,N/A,100,8191,597.21,True,False,64.91,69.48,50.23,65.14,66.35,71.92,82.85
intfloat/multilingual-e5-large-instruct,1.47,999.0,560,250,514,5947.27,True,False,65.72,79.77,49.82,55.35,,,
sentence-transformers/use-cmlm-multilingual,1.48,999.0,472,501,512,30230.67,True,False,59.5,77.03,59.3,50.81,,,
gwlms/deberta-base-dewiki-v1,1.52,999.0,112,32,512,18084.37,True,False,50.9,79.67,75.16,41.99,,,
"meta-llama/Meta-Llama-3-70B (few-shot, val)",1.61,4.71,70554,128,8192,311.65,True,False,63.51,69.04,37.41,69.69,70.0,64.93,66.54
"gpt-4-1106-preview (few-shot, val)",1.62,4.71,N/A,100,128000,575.52,True,False,60.47,68.94,51.26,58.77,63.62,73.8,83.93
gwlms/teams-base-dewiki-v1-discriminator,1.66,999.0,111,32,512,30607.57,True,False,47.85,79.59,68.48,41.74,,,
setu4993/LaBSE,1.67,999.0,471,501,512,25417.61,True,False,58.65,79.44,52.19,45.11,,,
"152334H/miqu-1-70b-sf (few-shot, val)",1.71,1.09,68977,32,32762,2126.22,True,False,59.8,65.19,41.86,63.19,66.8,55.18,61.68
microsoft/mdeberta-v3-base,1.71,999.0,279,251,512,20637.23,True,False,50.9,77.42,59.38,42.79,,,
upstage/SOLAR-10.7B-v1.0 (few-shot),1.71,4.71,10732,32,4096,3780.42,True,False,59.79,68.11,35.45,68.54,69.31,41.2,72.65
"gpt-4o-2024-05-13 (few-shot, val)",1.74,4.71,N/A,200,127997,916.47,True,False,54.82,69.99,43.66,60.77,63.8,74.13,88.18
google/gemma-2-27b-it (few-shot),1.75,4.71,27227,256,8193,1516.14,True,False,60.28,64.13,46.69,59.38,67.87,59.43,71.59
dbmdz/bert-base-german-uncased,1.76,999.0,111,31,512,36020.48,True,False,56.48,77.55,63.49,30.22,,,
dbmdz/bert-base-german-cased,1.76,999.0,111,31,512,37149.95,True,False,53.91,78.54,59.23,32.14,,,
mistralai/Mistral-Nemo-Instruct-2407 (few-shot),1.77,4.71,12248,131,1024001,7094.98,True,False,57.7,66.27,35.54,66.9,68.65,47.05,52.68
gwlms/bert-base-dewiki-v1,1.78,999.0,111,32,512,30649.71,True,False,45.61,80.53,67.09,35.77,,,
"meta-llama/Llama-2-70b-hf (few-shot, val)",1.8,4.71,68977,32,4094,1891.65,True,False,58.17,63.71,36.33,69.62,69.82,46.44,48.89
deepset/gbert-base,1.81,999.0,111,31,512,37267.99,True,False,59.8,80.09,47.48,32.78,,,
"gpt-4o-mini-2024-07-18 (few-shot, val)",1.82,4.71,N/A,200,8191,784.26,True,False,55.16,65.51,44.6,59.67,63.5,60.83,67.98
"meta-llama/Meta-Llama-3-70B-Instruct (few-shot, val)",1.83,4.71,70554,128,8190,1672.52,True,False,54.38,75.2,36.59,58.28,68.63,62.69,69.18
"VAGOsolutions/SauerkrautLM-7b-HerO (few-shot, val)",1.84,4.42,7242,32,32768,2476.59,False,True,60.22,59.7,35.99,65.65,66.73,30.53,45.02
mistralai/Ministral-8B-Instruct-2410 (few-shot),1.86,4.71,8020,131,32768,929.75,True,False,54.76,66.0,33.55,64.23,69.65,43.46,68.11
intfloat/multilingual-e5-base,1.87,999.0,278,250,512,14965.0,True,False,63.29,74.79,45.32,34.46,,,
VAGOsolutions/SauerkrautLM-7b-LaserChat (few-shot),1.88,4.42,7242,32,8192,2387.04,False,False,51.08,64.73,36.46,67.32,66.3,38.13,58.71
