model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,hotter_and_colder_sentiment,mim_gold_ner,scala_is,nqii,rrn,arc_is,winogrande_is,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,rrn_version,arc_is_version,winogrande_is_version,speed_version
"gpt-4-1106-preview (few-shot, val)",1.34,1.03,N/A,100,128000,575.52,True,False,49.59,86.37,43.03,66.04,69.61,89.09,72.03,13.2.0,12.5.1,12.10.2,12.5.1,12.5.1,12.10.8,12.10.2,12.5.3
mideind/IceBERT-large,1.36,999.0,355,50,512,5676.95,True,False,49.4,85.14,59.31,49.01,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"gpt-4o-2024-05-13 (few-shot, val)",1.41,1.05,N/A,200,128000,916.47,True,False,49.86,81.19,51.1,55.46,68.25,91.27,70.85,13.2.0,12.10.0,12.10.2,12.10.0,12.10.0,12.10.8,12.10.2,12.10.0
mideind/IceBERT,1.42,999.0,124,50,512,16697.4,True,False,47.49,85.32,60.44,49.21,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
vesteinn/ScandiBERT-no-faroese,1.43,999.0,124,50,512,15435.6,True,False,48.51,83.94,58.64,48.61,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
microsoft/mdeberta-v3-base,1.45,999.0,279,251,512,20637.23,True,False,45.3,81.12,54.11,56.17,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
mideind/IceBERT-xlmr-ic3,1.47,999.0,278,250,512,11004.24,True,False,48.85,84.35,59.12,44.02,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
vesteinn/IceBERT,1.49,999.0,124,50,512,12360.45,True,False,47.37,85.34,55.88,49.21,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
vesteinn/XLMR-ENIS,1.51,999.0,124,50,512,10711.0,True,False,49.16,82.2,48.51,51.37,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"gpt-4o-2024-05-13 (zero-shot, val)",1.53,2.75,N/A,200,8191,636.59,True,False,53.43,72.85,49.26,48.73,67.01,78.98,9.83,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
"gpt-4o-mini-2024-07-18 (few-shot, val)",1.56,1.94,N/A,200,8191,784.26,True,False,56.18,64.69,45.52,55.19,67.06,82.1,42.82,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.1
mideind/IceBERT-igc,1.65,999.0,124,50,512,12551.45,True,False,46.25,79.85,54.38,42.34,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
mideind/IceBERT-ic3,1.66,999.0,124,50,512,12118.55,True,False,49.34,85.03,45.06,42.82,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/use-cmlm-multilingual,1.7,999.0,472,501,512,30230.67,True,False,45.46,80.91,41.91,52.73,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
vesteinn/FoBERT,1.7,999.0,124,50,512,15623.28,True,False,48.45,85.04,50.78,36.98,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
