model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sentipolc16,multinerd_it,scala_it,squad_it,ilpost_sum,mmlu_it,hellaswag_it,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version,ilpost_sum_version,mmlu_it_version,hellaswag_it_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (few-shot, val)</a>",📝,1.26@@1.26,,256128.0,1048576.0,✓,✗,66.95 ± 2.14 / 76.34 ± 1.38@@66.9525185035481,82.32 ± 2.08 / 65.76 ± 1.76@@82.32451145420306,37.23 ± 4.28 / 63.31 ± 4.55@@37.22547611295644,77.01 ± 1.53 / 54.45 ± 3.73@@77.005280722052,66.48 ± 0.21 / 20.31 ± 0.53@@66.47512611933053,74.41 ± 2.49 / 80.78 ± 1.93@@74.40897870544225,76.56 ± 1.47 / 82.30 ± 1.16@@76.55822144746114,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (few-shot, val)</a>",📝,1.26@@1.26,,256128.0,1048576.0,✓,✗,68.83 ± 1.52 / 78.49 ± 0.63@@68.83137429657783,78.31 ± 2.96 / 65.32 ± 2.20@@78.30658299821577,38.79 ± 5.15 / 65.38 ± 3.66@@38.78829078855991,74.73 ± 1.18 / 52.57 ± 1.97@@74.72634758403993,66.33 ± 0.17 / 19.24 ± 0.33@@66.33076367434114,77.41 ± 1.99 / 83.05 ± 1.56@@77.41485406549577,77.18 ± 2.81 / 82.77 ± 2.14@@77.17922264854036,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (few-shot, val)</a>",📝,1.28@@1.28,,256128.0,2097152.0,✓,✗,67.92 ± 2.30 / 77.32 ± 1.60@@67.92018907807693,79.48 ± 3.36 / 67.28 ± 3.49@@79.47888616324028,38.81 ± 5.32 / 63.02 ± 5.16@@38.81215190223089,74.20 ± 1.51 / 53.48 ± 1.86@@74.20181504432097,66.06 ± 0.17 / 19.29 ± 0.31@@66.06202140566893,80.87 ± 1.58 / 85.55 ± 1.23@@80.87385347385997,76.39 ± 1.53 / 82.11 ± 1.21@@76.38552937315286,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503 (few-shot)</a>,🧠,1.29@@1.29,24011361280.0,131072.0,,✓,✗,67.02 ± 1.11 / 76.70 ± 1.34@@67.02291914252152,80.03 ± 1.90 / 67.16 ± 2.37@@80.02823974708757,34.67 ± 3.50 / 61.01 ± 4.17@@34.66925067056199,74.76 ± 1.50 / 53.11 ± 3.87@@74.75810001709883,68.21 ± 0.59 / 25.21 ± 1.27@@68.21344902666169,68.04 ± 0.97 / 76.04 ± 0.73@@68.03935654711006,84.87 ± 0.89 / 88.64 ± 0.68@@84.8655789892297,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B (few-shot)</a>,📝,1.36@@1.36,32759790592.0,151665.0,131072.0,✓,✗,67.72 ± 1.59 / 76.13 ± 1.34@@67.71974676869922,84.91 ± 0.80 / 58.73 ± 2.34@@84.91246019980122,31.09 ± 2.28 / 55.22 ± 2.85@@31.09258718676332,73.47 ± 0.62 / 51.98 ± 1.73@@73.47120820869185,66.09 ± 0.20 / 19.50 ± 0.54@@66.09139150459669,78.02 ± 0.91 / 83.52 ± 0.68@@78.02125032200618,82.10 ± 0.97 / 86.55 ± 0.73@@82.1035552904017,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B (few-shot)</a>,📝,1.38@@1.38,70553706496.0,128256.0,131072.0,✓,✗,68.71 ± 0.87 / 78.30 ± 0.86@@68.70564954785765,83.18 ± 0.90 / 60.15 ± 2.05@@83.17694061975693,29.83 ± 2.93 / 58.94 ± 2.79@@29.83116478628174,70.47 ± 1.03 / 44.14 ± 2.42@@70.47297206365769,66.72 ± 0.31 / 21.02 ± 0.94@@66.71844689088175,77.90 ± 0.79 / 83.39 ± 0.59@@77.90007441420518,79.61 ± 1.41 / 84.59 ± 1.06@@79.60621923382509,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
<a href='https://huggingface.co/NovaSky-AI/Sky-T1-32B-Preview'>NovaSky-AI/Sky-T1-32B-Preview (few-shot)</a>,📝,1.38@@1.38,32763876352.0,152064.0,32768.0,✓,✗,65.61 ± 1.38 / 75.69 ± 1.19@@65.60546922643333,80.32 ± 1.18 / 55.07 ± 1.40@@80.31827151311887,37.90 ± 3.92 / 62.34 ± 4.35@@37.89718888002105,69.69 ± 0.81 / 44.61 ± 1.50@@69.68905920540965,65.22 ± 0.14 / 16.34 ± 0.31@@65.21948210676783,70.42 ± 1.16 / 77.78 ± 0.85@@70.4202272722209,77.80 ± 0.75 / 83.24 ± 0.56@@77.80457212613399,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B (few-shot)</a>,🧠,1.47@@1.47,70553706496.0,128256.0,8192.0,✓,✗,66.35 ± 1.15 / 76.83 ± 0.96@@66.35358585514545,84.06 ± 0.78 / 69.26 ± 1.96@@84.06321170484449,29.93 ± 5.12 / 61.63 ± 3.98@@29.933501498107297,74.61 ± 2.23 / 54.81 ± 3.74@@74.61056447123885,67.82 ± 0.64 / 24.64 ± 1.47@@67.82118327813805,62.60 ± 0.90 / 71.86 ± 0.65@@62.59509573909241,61.03 ± 2.65 / 70.18 ± 2.14@@61.0308024089188,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (few-shot, val)</a>",📝,1.49@@1.49,,256128.0,1048576.0,✓,✗,65.71 ± 1.51 / 74.31 ± 1.36@@65.70534440444898,77.82 ± 1.80 / 60.51 ± 2.74@@77.8159850548289,34.30 ± 7.22 / 58.81 ± 6.47@@34.297149251573614,72.55 ± 0.92 / 48.31 ± 1.97@@72.54983854808995,65.86 ± 0.26 / 18.91 ± 0.35@@65.85824667126872,66.98 ± 2.80 / 75.00 ± 2.19@@66.9757678217151,68.62 ± 1.40 / 76.21 ± 1.07@@68.6212163413488,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B (few-shot)</a>,🧠,1.50@@1.50,70553706496.0,128256.0,131072.0,✓,✗,65.63 ± 1.17 / 74.85 ± 1.21@@65.63097079862328,82.88 ± 0.98 / 70.41 ± 1.11@@82.88242178448213,28.35 ± 5.14 / 60.91 ± 3.67@@28.349100943646654,74.66 ± 2.05 / 55.24 ± 3.71@@74.66317066364859,67.81 ± 0.64 / 24.88 ± 1.49@@67.8053879419167,63.10 ± 0.74 / 72.10 ± 0.55@@63.09580508090307,55.71 ± 2.02 / 64.99 ± 1.86@@55.70723164918707,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
<a href='https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503 (few-shot)</a>,🧠,1.51@@1.51,24011361280.0,131072.0,,✓,✗,62.97 ± 2.32 / 74.79 ± 1.75@@62.96661768493536,80.89 ± 1.50 / 67.98 ± 1.67@@80.89026427665506,29.63 ± 4.31 / 59.10 ± 4.26@@29.626272859221874,74.25 ± 3.06 / 54.69 ± 3.45@@74.24624064999757,67.58 ± 0.81 / 24.33 ± 1.78@@67.57724908144155,67.29 ± 0.90 / 75.46 ± 0.66@@67.29456015574686,60.62 ± 2.16 / 70.20 ± 1.69@@60.62187454425718,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B (few-shot)</a>,📝,1.53@@1.53,14765947904.0,151665.0,131072.0,✓,✗,64.56 ± 1.19 / 75.33 ± 0.97@@64.56286681796713,76.97 ± 1.62 / 54.77 ± 1.78@@76.96578030414678,31.31 ± 3.17 / 56.32 ± 2.89@@31.306711463758713,70.25 ± 0.74 / 47.73 ± 1.57@@70.24874026804669,66.08 ± 0.18 / 19.53 ± 0.48@@66.07552034649416,70.62 ± 1.14 / 77.99 ± 0.85@@70.62374759567372,73.75 ± 1.02 / 80.26 ± 0.76@@73.74905447010876,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
"<a href='https://ollama.com/library/phi4:14b-q4_K_M'>ollama_chat/phi4:14b-q4_K_M (few-shot, val)</a>",📝,1.54@@1.54,14700000000.0,100352.0,16384.0,✓,✗,62.91 ± 1.86 / 73.91 ± 1.36@@62.90803490562665,73.54 ± 2.42 / 62.83 ± 3.27@@73.53694274924753,40.57 ± 3.38 / 67.59 ± 2.86@@40.56578312456104,73.52 ± 0.95 / 47.84 ± 2.05@@73.51512529470291,65.02 ± 0.16 / 15.32 ± 0.22@@65.02190903062001,60.83 ± 2.16 / 70.55 ± 1.70@@60.82958878971486,66.99 ± 2.58 / 74.80 ± 1.85@@66.98954469284133,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
<a href='https://huggingface.co/Qwen/QwQ-32B'>Qwen/QwQ-32B (few-shot)</a>,🤔,1.57@@1.57,32763876352.0,152064.0,40960.0,✓,✗,64.66 ± 1.70 / 73.15 ± 1.57@@64.66016180501867,82.70 ± 0.64 / 65.92 ± 1.30@@82.69887972076141,26.68 ± 0.95 / 50.27 ± 0.63@@26.684947617165527,71.20 ± 0.77 / 53.20 ± 0.84@@71.19857181426546,63.91 ± 0.16 / 13.47 ± 0.32@@63.9115609775763,80.61 ± 1.08 / 85.46 ± 0.81@@80.60927805782534,72.17 ± 0.81 / 79.05 ± 0.60@@72.17442130914435,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (few-shot, val)</a>",📝,1.57@@1.57,,200019.0,128000.0,✓,✗,49.40 ± 2.25 / 49.24 ± 1.13@@49.40118733234822,72.14 ± 4.27 / 50.10 ± 3.17@@72.13645681042979,31.04 ± 2.03 / 52.20 ± 1.56@@31.04412551199202,75.80 ± 1.26 / 52.67 ± 2.55@@75.80031690085467,65.63 ± 0.21 / 17.06 ± 0.32@@65.63376262318343,81.10 ± 2.64 / 85.82 ± 2.05@@81.10288330428767,80.19 ± 3.38 / 84.92 ± 2.63@@80.18962603831596,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402
