model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,nordjylland_news,danske_talemaader,danish_citizen_tests,hellaswag_da,swerec,suc3,scala_sv,scandiqa_sv,swedn,mmlu_sv,hellaswag_sv,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,no_sammendrag,mmlu_no,hellaswag_no,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,speed_version
KennethEnevoldsen/dfm-sentence-encoder-large-2,1.76,999.0,355,50,512,6568.66,True,False,55.12,75.3,76.34,50.82,,,,,74.67,71.86,62.77,50.58,,,,58.73,86.78,83.28,70.73,59.58,71.02,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"gpt-4-0613 (few-shot, val)",1.84,5.24,N/A,100,8192,597.21,True,False,59.97,64.94,71.56,68.46,66.76,94.93,93.98,81.64,79.19,76.86,80.93,65.15,67.83,72.53,85.67,72.72,81.16,75.75,77.3,57.18,75.24,65.92,68.77,88.3,0.0.0,0.0.0,0.0.0,12.9.0,12.6.1,10.0.1,10.0.1,9.1.2,0.0.0,0.0.0,0.0.0,12.9.0,9.3.2,9.3.2,9.3.2,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.9.0,9.3.2,9.3.2,9.3.2,12.5.3
AI-Sweden-Models/roberta-large-1160k,1.88,999.0,355,50,512,14014.08,True,False,51.2,74.16,73.87,55.06,,,,,77.25,82.65,77.9,55.64,,,,60.11,92.01,87.17,72.85,65.56,75.42,,,,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,0.0.0,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,12.10.0
ltg/norbert3-large,1.9,999.0,354,50,508,5048.17,True,False,48.29,73.62,71.55,53.54,,,,,75.32,79.01,69.11,54.15,,,,64.62,93.12,89.39,77.97,76.3,79.64,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
AI-Sweden-Models/roberta-large-1350k,1.91,999.0,355,50,512,5743.56,True,False,49.94,75.22,72.59,54.79,,,,,77.37,82.97,73.81,55.34,,,,58.77,92.49,87.22,76.3,64.11,75.73,,,,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,0.0.0,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,10.0.1
KennethEnevoldsen/dfm-sentence-encoder-large-1,2.04,999.0,355,50,512,6245.47,True,False,53.85,74.99,75.71,50.4,,,,,74.92,71.65,63.43,51.94,,,,59.61,86.39,83.22,67.88,62.44,70.77,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
NbAiLab/nb-roberta-base-scandi,2.07,999.0,278,250,512,15078.99,True,False,52.08,73.28,67.99,37.27,,,,,76.21,80.02,71.92,38.58,,,,59.98,92.24,87.58,70.18,70.81,58.3,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
NbAiLab/nb-roberta-base-scandi-1e4,2.08,999.0,278,250,512,15073.66,True,False,51.7,72.16,62.03,35.36,,,,,76.2,79.9,73.62,37.12,,,,59.84,92.09,86.85,73.33,71.06,57.42,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
KennethEnevoldsen/dfm-sentence-encoder-medium-3,2.15,999.0,178,120,512,14050.48,True,False,47.55,71.21,68.72,43.9,,,,,71.16,81.35,63.89,42.09,,,,59.1,91.17,87.3,74.32,72.94,45.46,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
NbAiLab/nb-bert-base,2.15,999.0,178,120,512,14050.04,True,False,46.32,70.36,66.41,41.53,,,,,71.21,80.38,64.03,39.61,,,,60.84,93.01,88.43,73.89,72.1,45.28,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
