model,generative_type,rank,danish,norwegian,swedish,parameters,vocabulary_size,context,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,nordjylland_news,danske_talemaader,danish_citizen_tests,hellaswag_da,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,no_sammendrag,nrk_quiz_qa,nor_common_sense_qa,swerec,suc3,scala_sv,scandiqa_sv,swedn,mmlu_sv,hellaswag_sv,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,nrk_quiz_qa_version,nor_common_sense_qa_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (few-shot, val)</a>",📝,1.30@@1.30,1.24@@1.24,1.34@@1.34,1.31@@1.31,,256128.0,2097152.0,✓,✗,62.71 ± 4.14 / 74.34 ± 3.00@@62.71122833302668,69.19 ± 1.13 / 62.19 ± 2.42@@69.1859637447022,67.07 ± 2.28 / 83.38 ± 1.17@@67.07242109214914,63.59 ± 1.23 / 52.59 ± 1.61@@63.58913919627521,66.29 ± 0.30 / 18.30 ± 0.63@@66.28902065334842,87.72 ± 3.74 / 90.78 ± 2.90@@87.7207039321901,95.57 ± 1.96 / 97.00 ± 1.34@@95.56654163240373,79.71 ± 3.11 / 84.69 ± 2.42@@79.71388678336686,66.81 ± 2.66 / 76.44 ± 1.76@@66.80918133013188,81.17 ± 1.02 / 77.42 ± 1.98@@81.17035293377765,84.00 ± 2.73 / 79.81 ± 2.79@@84.00463189209057,71.60 ± 4.02 / 85.49 ± 2.15@@71.59858463340554,65.21 ± 4.30 / 82.44 ± 2.24@@65.21372881684879,72.17 ± 2.63 / 44.91 ± 3.85@@72.16765164437271,63.93 ± 0.26 / 14.35 ± 0.26@@63.931614109314985,71.90 ± 2.10 / 79.30 ± 1.54@@71.90420603331673,82.28 ± 3.09 / 85.62 ± 2.57@@82.27614710257511,77.17 ± 1.93 / 76.41 ± 2.06@@77.16739521622446,79.65 ± 2.44 / 75.31 ± 2.31@@79.64746750279049,73.91 ± 3.16 / 86.84 ± 1.57@@73.91324233552794,59.38 ± 1.62 / 50.19 ± 1.70@@59.38107659365985,66.23 ± 0.22 / 18.11 ± 0.37@@66.23246484436095,74.23 ± 2.24 / 80.62 ± 1.67@@74.23200623995756,76.45 ± 1.95 / 82.11 ± 1.50@@76.44593073954594,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (few-shot, val)</a>",📝,1.33@@1.33,1.35@@1.35,1.39@@1.39,1.26@@1.26,,256128.0,1048576.0,✓,✗,61.01 ± 1.46 / 73.70 ± 1.00@@61.01440651849407,66.89 ± 1.90 / 61.03 ± 2.81@@66.89455664679173,63.01 ± 4.02 / 81.20 ± 2.01@@63.00839601605038,59.58 ± 1.06 / 48.19 ± 1.11@@59.58270164661265,66.22 ± 0.26 / 17.62 ± 0.65@@66.22118783416227,90.10 ± 1.96 / 92.66 ± 1.45@@90.09916019652358,98.51 ± 1.01 / 99.00 ± 0.68@@98.50817312117914,81.36 ± 2.87 / 85.98 ± 2.23@@81.35845655780676,67.95 ± 1.68 / 77.96 ± 1.26@@67.9455705706326,80.12 ± 1.36 / 72.08 ± 2.81@@80.11914394288523,78.71 ± 3.42 / 73.24 ± 3.28@@78.70520838765664,71.40 ± 2.40 / 85.21 ± 1.29@@71.40342207500161,60.17 ± 3.90 / 79.71 ± 2.16@@60.16539721065058,72.16 ± 1.18 / 40.46 ± 2.49@@72.16430413349201,63.52 ± 0.26 / 13.53 ± 0.43@@63.52479899534955,69.54 ± 2.05 / 77.34 ± 1.49@@69.54088489186616,84.47 ± 3.25 / 87.34 ± 2.83@@84.47041892570172,78.15 ± 2.35 / 78.32 ± 1.65@@78.1542915216851,80.96 ± 2.46 / 68.32 ± 1.94@@80.96484427287758,74.28 ± 3.11 / 87.05 ± 1.62@@74.28387994050054,58.33 ± 1.47 / 47.07 ± 2.70@@58.32758974003049,66.28 ± 0.18 / 17.72 ± 0.27@@66.28179903374985,78.25 ± 2.22 / 83.71 ± 1.62@@78.25498393128979,82.47 ± 2.03 / 86.76 ± 1.56@@82.46724089452408,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (few-shot, val)</a>",📝,1.33@@1.33,1.23@@1.23,1.49@@1.49,1.27@@1.27,,100256.0,128000.0,✓,✗,61.62 ± 2.17 / 73.99 ± 1.48@@61.61567662565071,66.80 ± 3.01 / 45.69 ± 2.85@@66.80345088084063,66.84 ± 3.27 / 82.79 ± 1.86@@66.83561631898827,68.83 ± 1.50 / 56.85 ± 2.62@@68.8277752755694,66.21 ± 0.44 / 18.02 ± 0.61@@66.21485084760934,90.51 ± 3.71 / 93.12 ± 2.67@@90.5085628611778,98.34 ± 1.25 / 98.89 ± 0.86@@98.34192099914777,78.74 ± 3.12 / 83.91 ± 2.42@@78.74277773844204,62.55 ± 2.82 / 72.41 ± 2.42@@62.54978546382319,77.48 ± 2.32 / 55.87 ± 2.83@@77.48333790567503,78.70 ± 2.78 / 57.58 ± 4.23@@78.69695727674406,74.45 ± 4.27 / 86.22 ± 2.49@@74.45442159680051,56.31 ± 5.81 / 74.04 ± 4.03@@56.308869546145424,73.39 ± 1.83 / 44.67 ± 3.23@@73.39006572276543,63.60 ± 0.15 / 13.15 ± 0.35@@63.599125747568905,68.70 ± 2.21 / 76.95 ± 1.58@@68.70031295231537,79.90 ± 4.86 / 83.59 ± 4.01@@79.90216744903115,77.59 ± 1.38 / 78.78 ± 1.69@@77.59451964195583,74.45 ± 3.09 / 49.97 ± 4.23@@74.44684938971369,71.35 ± 3.10 / 83.98 ± 2.23@@71.34765117363143,66.76 ± 1.10 / 56.56 ± 1.39@@66.76310846777446,66.08 ± 0.14 / 17.19 ± 0.38@@66.08380530262366,71.32 ± 1.56 / 78.48 ± 1.15@@71.31572965015377,84.09 ± 2.99 / 88.01 ± 2.26@@84.0929503211824,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,14.1.2.dev0@@140102,15.2.0.dev0@@150200,12.10.2@@121002,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,12.10.2@@121002,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,15.2.0.dev0@@150200,15.2.0.dev0@@150200,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,12.10.2@@121002,12.10.2@@121002
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (few-shot, val)</a>",📝,1.35@@1.35,1.33@@1.33,1.44@@1.44,1.27@@1.27,,200019.0,128000.0,✓,✗,49.42 ± 3.29 / 61.74 ± 2.59@@49.42372610071974,71.15 ± 2.89 / 52.24 ± 3.76@@71.14680772858678,64.59 ± 2.97 / 79.93 ± 1.88@@64.58662260096766,67.87 ± 1.75 / 57.35 ± 2.51@@67.87199794952302,66.03 ± 0.24 / 17.74 ± 0.71@@66.03485581465065,93.03 ± 1.46 / 94.84 ± 1.12@@93.032851965098,95.67 ± 1.80 / 97.11 ± 1.22@@95.6738547094876,85.96 ± 1.48 / 89.41 ± 1.15@@85.95951722633959,66.66 ± 1.91 / 77.70 ± 1.29@@66.65884715864749,79.07 ± 3.01 / 64.17 ± 3.51@@79.0749940006508,81.56 ± 2.45 / 64.06 ± 4.11@@81.55539720192658,64.53 ± 6.09 / 79.17 ± 4.89@@64.52725494276652,54.70 ± 4.36 / 74.94 ± 3.26@@54.69845251324422,74.52 ± 1.79 / 43.51 ± 3.40@@74.5166114590354,63.25 ± 0.26 / 13.02 ± 0.33@@63.250405958388,79.16 ± 1.98 / 84.73 ± 1.40@@79.16455182765863,73.95 ± 5.78 / 78.28 ± 5.29@@73.95313563571901,77.16 ± 2.65 / 79.22 ± 2.36@@77.15716651688709,76.66 ± 2.11 / 60.34 ± 4.71@@76.65628919038222,68.99 ± 4.33 / 83.37 ± 2.61@@68.98664221678186,67.71 ± 0.96 / 57.96 ± 1.35@@67.70637587047779,66.00 ± 0.29 / 16.97 ± 0.45@@66.00427771685645,70.70 ± 1.32 / 77.97 ± 0.99@@70.69649891228202,86.30 ± 2.23 / 89.65 ± 1.68@@86.29714471092299,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,14.1.2.dev0@@140102,15.2.0.dev0@@150200,12.10.2@@121002,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,12.10.2@@121002,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,15.2.0.dev0@@150200,15.2.0.dev0@@150200,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,12.10.2@@121002,12.10.2@@121002
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (few-shot, val)</a>",📝,1.36@@1.36,1.31@@1.31,1.38@@1.38,1.40@@1.40,,256128.0,1048576.0,✓,✗,60.45 ± 2.64 / 73.13 ± 1.96@@60.45236230183543,65.86 ± 2.44 / 57.34 ± 2.69@@65.8572086362376,65.90 ± 2.89 / 82.42 ± 1.67@@65.90093795626275,63.08 ± 1.51 / 51.32 ± 2.14@@63.079987644733606,66.58 ± 0.28 / 18.33 ± 0.70@@66.57907240325585,89.52 ± 3.52 / 92.03 ± 2.76@@89.52425731393589,97.34 ± 1.95 / 98.22 ± 1.31@@97.33992384019524,77.39 ± 2.34 / 82.93 ± 1.78@@77.38828757379653,69.96 ± 2.11 / 79.80 ± 1.60@@69.95551579107662,80.02 ± 1.40 / 72.79 ± 2.28@@80.02193810469646,80.37 ± 1.33 / 71.04 ± 3.63@@80.37413273942668,73.97 ± 2.94 / 86.73 ± 1.51@@73.97401924482386,62.99 ± 2.73 / 81.36 ± 1.34@@62.99271228778751,73.04 ± 1.06 / 43.14 ± 2.25@@73.03788422393907,63.93 ± 0.33 / 14.57 ± 0.60@@63.92648320645093,63.50 ± 2.63 / 72.97 ± 1.94@@63.49831019739054,85.91 ± 3.26 / 88.75 ± 2.69@@85.90841811210225,76.63 ± 2.29 / 76.39 ± 2.01@@76.62740867744965,74.70 ± 2.92 / 67.36 ± 2.90@@74.69642638927915,70.93 ± 2.89 / 85.15 ± 1.54@@70.92945262029633,59.96 ± 1.41 / 50.61 ± 1.49@@59.95680815095265,66.78 ± 0.22 / 19.10 ± 0.49@@66.78326610475779,70.19 ± 1.93 / 77.62 ± 1.45@@70.1870404759063,75.36 ± 2.17 / 81.33 ± 1.66@@75.35644782233888,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.37@@1.37,1.32@@1.32,1.42@@1.42,1.36@@1.36,,,200000.0,✓,✗,58.11 ± 1.88 / 71.17 ± 1.45@@58.110402928128345,71.31 ± 0.83 / 58.68 ± 1.54@@71.31026288723473,74.15 ± 2.76 / 86.62 ± 1.52@@74.15230229992949,64.06 ± 1.12 / 52.16 ± 1.20@@64.0597181619287,64.57 ± 0.15 / 14.12 ± 0.34@@64.56571702146903,93.43 ± 1.50 / 95.16 ± 1.16@@93.4348089698515,100.00 ± 0.00 / 100.00 ± 0.00@@100.0,69.95 ± 2.09 / 77.23 ± 1.63@@69.95238961863886,57.36 ± 2.89 / 70.01 ± 2.16@@57.35653093124063,71.17 ± 2.20 / 57.87 ± 2.55@@71.1709867043611,73.62 ± 3.26 / 61.36 ± 3.36@@73.62287758189157,77.07 ± 2.41 / 88.15 ± 1.25@@77.06980419752529,67.42 ± 3.18 / 83.35 ± 1.66@@67.41826163240849,72.23 ± 0.64 / 47.03 ± 1.11@@72.23341192681062,62.29 ± 0.16 / 10.05 ± 0.15@@62.29212001664563,83.33 ± 1.76 / 87.77 ± 1.30@@83.33115468514164,90.51 ± 1.99 / 92.34 ± 1.61@@90.51257614521468,74.47 ± 3.34 / 69.20 ± 3.06@@74.47281199197174,71.54 ± 1.97 / 54.33 ± 2.06@@71.54041239661294,71.99 ± 3.53 / 85.69 ± 1.86@@71.99230832292065,64.35 ± 0.88 / 54.61 ± 1.24@@64.34796603751502,64.84 ± 0.14 / 12.97 ± 0.21@@64.84016150003299,85.53 ± 1.88 / 89.14 ± 1.39@@85.52709313173754,67.38 ± 2.46 / 75.23 ± 1.90@@67.38027809690799,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.1@@150801,15.8.0@@150800
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (few-shot, val)</a>",🤔,1.45@@1.45,1.36@@1.36,1.44@@1.44,1.54@@1.54,,256128.0,1048576.0,✓,✗,61.26 ± 2.43 / 71.73 ± 1.54@@61.26490967608091,64.65 ± 6.42 / 55.57 ± 5.95@@64.64764168374654,74.15 ± 2.76 / 87.01 ± 1.37@@74.14913558210202,64.52 ± 1.29 / 54.30 ± 1.73@@64.51845103751307,61.42 ± 2.47 / 11.77 ± 2.91@@61.41828005434945,89.16 ± 4.39 / 92.19 ± 3.10@@89.15713060411875,89.69 ± 20.21 / 93.11 ± 13.50@@89.68674235872899,83.73 ± 1.68 / 87.77 ± 1.26@@83.72588092336706,62.75 ± 2.54 / 72.96 ± 1.96@@62.7543260447454,63.11 ± 19.82 / 55.90 ± 17.19@@63.11415570716819,80.15 ± 6.66 / 69.01 ± 5.23@@80.15233592970816,78.91 ± 3.78 / 89.38 ± 1.92@@78.90954276607127,69.42 ± 4.03 / 84.34 ± 2.06@@69.41645066249879,50.81 ± 19.58 / 29.56 ± 11.93@@50.809032531085464,62.89 ± 0.37 / 12.08 ± 0.62@@62.885499016847454,86.78 ± 1.94 / 90.31 ± 1.40@@86.78415267171428,90.45 ± 2.97 / 92.19 ± 2.54@@90.45347096830119,35.98 ± 23.26 / 52.15 ± 12.87@@35.98133393423977,69.59 ± 14.62 / 57.45 ± 11.56@@69.5946519114116,78.69 ± 2.94 / 89.12 ± 1.58@@78.68935627646529,63.41 ± 1.52 / 54.07 ± 1.71@@63.40666141015132,65.19 ± 1.01 / 15.27 ± 1.20@@65.191531451419,77.10 ± 11.82 / 82.89 ± 8.77@@77.1042928093676,79.04 ± 12.85 / 84.18 ± 9.65@@79.04218431017355,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,1.45@@1.45,1.35@@1.35,1.57@@1.57,1.44@@1.44,,,200000.0,✓,✗,63.61 ± 1.57 / 76.00 ± 1.07@@63.606694144803555,65.88 ± 2.11 / 55.11 ± 1.59@@65.88430253250571,71.03 ± 2.52 / 85.46 ± 1.24@@71.02748663723585,59.56 ± 1.25 / 46.24 ± 1.37@@59.557804071387736,64.60 ± 0.17 / 13.66 ± 0.33@@64.60322466911748,86.46 ± 2.08 / 90.16 ± 1.58@@86.46269534398863,100.00 ± 0.00 / 100.00 ± 0.00@@100.0,71.83 ± 1.23 / 78.71 ± 0.99@@71.82980793755208,50.92 ± 2.29 / 63.00 ± 1.71@@50.923110962728856,74.23 ± 1.86 / 70.66 ± 2.97@@74.23458485154674,70.50 ± 2.19 / 65.71 ± 2.34@@70.50152898187869,76.10 ± 3.28 / 88.02 ± 1.64@@76.10336836974055,72.03 ± 2.05 / 85.28 ± 1.07@@72.02975225746646,67.69 ± 0.75 / 40.57 ± 1.42@@67.68992020281635,62.57 ± 0.14 / 10.84 ± 0.13@@62.56731778848916,76.25 ± 2.47 / 82.46 ± 1.80@@76.24585752599937,81.12 ± 4.01 / 84.69 ± 3.29@@81.12251326921331,77.70 ± 2.39 / 77.22 ± 2.00@@77.70031549261454,70.22 ± 2.34 / 58.75 ± 1.43@@70.21587675818077,74.34 ± 2.79 / 87.04 ± 1.39@@74.33691610591404,60.05 ± 0.93 / 49.32 ± 1.33@@60.05228919384334,65.36 ± 0.14 / 15.31 ± 0.16@@65.36374145420268,72.57 ± 1.90 / 79.26 ± 1.44@@72.5670167169417,69.19 ± 1.63 / 76.72 ± 1.27@@69.19457616340112,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,15.2.0.dev0@@150200,15.2.0.dev0@@150200,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.4.0@@140400,14.4.0@@140400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,1.47@@1.47,1.46@@1.46,1.51@@1.51,1.42@@1.42,,256128.0,1048576.0,✓,✗,56.12 ± 1.91 / 68.88 ± 1.47@@56.12197999321911,63.48 ± 2.06 / 44.17 ± 1.83@@63.47803491481714,68.32 ± 2.81 / 83.71 ± 1.50@@68.32397100294705,56.43 ± 0.88 / 42.35 ± 1.19@@56.427705689648974,63.69 ± 0.31 / 12.90 ± 0.29@@63.69056356837973,92.52 ± 1.58 / 94.53 ± 1.14@@92.5234419411229,100.00 ± 0.00 / 100.00 ± 0.00@@100.0,78.02 ± 1.62 / 83.44 ± 1.28@@78.02260305339415,56.26 ± 2.63 / 67.75 ± 2.00@@56.263726338873354,66.90 ± 2.26 / 50.19 ± 1.90@@66.8967100722134,67.30 ± 3.65 / 51.49 ± 2.96@@67.29960484470418,76.24 ± 2.61 / 87.94 ± 1.34@@76.2442127427407,60.74 ± 1.95 / 79.55 ± 0.97@@60.73509121527002,71.29 ± 0.64 / 43.00 ± 1.33@@71.28822759048958,61.82 ± 0.21 / 9.50 ± 0.19@@61.81792400311679,82.90 ± 1.35 / 87.46 ± 1.02@@82.89763974665311,85.62 ± 1.68 / 88.28 ± 1.39@@85.6170689757349,76.83 ± 2.76 / 73.83 ± 2.94@@76.83398239226416,67.68 ± 1.73 / 44.00 ± 1.49@@67.68366639150335,72.68 ± 2.57 / 85.05 ± 1.41@@72.68319011916617,55.61 ± 1.10 / 42.29 ± 1.17@@55.608897080157156,64.75 ± 0.14 / 12.56 ± 0.20@@64.7523914789781,83.44 ± 1.42 / 87.54 ± 1.08@@83.4424433361909,71.74 ± 2.17 / 78.24 ± 1.65@@71.73921800861595,15.8.0.dev0@@150800,15.8.0.dev0@@150800,15.8.0.dev0@@150800,15.8.0.dev0@@150800,15.8.0.dev0@@150800,15.8.0.dev0@@150800,15.8.0.dev0@@150800,15.8.0.dev0@@150800,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.47@@1.47,1.40@@1.40,1.54@@1.54,1.46@@1.46,,,1047576.0,✓,✗,56.86 ± 1.97 / 70.38 ± 1.40@@56.86186566667442,64.35 ± 1.69 / 43.33 ± 2.20@@64.35491830780869,65.91 ± 1.73 / 82.90 ± 0.87@@65.91141001001877,64.75 ± 1.01 / 50.13 ± 1.23@@64.75313275210739,65.09 ± 0.17 / 14.78 ± 0.30@@65.08651850512251,91.43 ± 1.73 / 93.75 ± 1.37@@91.42701040417685,96.69 ± 1.35 / 97.78 ± 0.92@@96.6929427336083,74.83 ± 2.04 / 81.05 ± 1.57@@74.83222527234349,51.49 ± 3.39 / 66.60 ± 2.38@@51.491221673350715,71.34 ± 2.36 / 52.59 ± 3.22@@71.33891473661753,64.63 ± 3.07 / 40.68 ± 2.64@@64.62950961068128,78.88 ± 1.70 / 89.09 ± 0.93@@78.87769323797485,59.57 ± 2.03 / 76.98 ± 1.22@@59.56701788201535,71.09 ± 1.00 / 38.22 ± 1.59@@71.08885645977087,62.86 ± 0.17 / 10.99 ± 0.13@@62.85774084506557,82.50 ± 1.17 / 87.15 ± 0.79@@82.49721872613655,84.76 ± 1.93 / 87.66 ± 1.61@@84.75587823493152,76.94 ± 3.01 / 75.09 ± 2.85@@76.94218090467312,65.07 ± 2.05 / 36.41 ± 1.37@@65.06548570346509,66.06 ± 2.18 / 80.99 ± 1.23@@66.06122127623341,64.02 ± 1.14 / 49.39 ± 1.35@@64.02276836261733,65.64 ± 0.14 / 15.26 ± 0.21@@65.6389910262078,74.79 ± 2.58 / 81.09 ± 1.94@@74.7928293144123,72.47 ± 1.86 / 79.22 ± 1.42@@72.47470197712033,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
