generative_type,model,rank,danish,norwegian,swedish,parameters,vocabulary_size,context,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,swerec,suc3,scala_sv,scandiqa_sv,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version
📝,"<a href='https://platform.openai.com/docs/models/gpt-4'>gpt-4-0613 (few-shot, val)</a>",1.22@@1.22,1.26@@1.26,1.26@@1.26,1.16@@1.16,,100256.0,8192.0,✓,✗,59.97 ± 2.65 / 73.06 ± 1.77@@59.972827986954016,64.94 ± 1.96 / 45.76 ± 3.31@@64.94298133582711,71.56 ± 2.49 / 85.36 ± 1.29@@71.56430975237045,68.46 ± 1.64 / 56.43 ± 2.98@@68.45614427980146,72.72 ± 3.20 / 81.35 ± 2.22@@72.71974465751492,81.16 ± 2.46 / 63.39 ± 4.07@@81.1615462362485,75.75 ± 4.49 / 60.44 ± 5.46@@75.74830419214818,77.30 ± 2.97 / 88.39 ± 1.60@@77.30281583818022,57.18 ± 3.91 / 76.40 ± 2.66@@57.17734250639488,75.24 ± 1.32 / 47.50 ± 2.86@@75.24157322387391,79.19 ± 1.87 / 80.56 ± 1.82@@79.19133225040193,76.86 ± 1.89 / 54.97 ± 4.44@@76.86485242492223,80.93 ± 1.67 / 89.90 ± 0.93@@80.92650096408921,65.15 ± 1.11 / 53.81 ± 1.28@@65.14797502455619,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,12.9.0@@120900,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,12.9.0@@120900,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,12.9.0@@120900
📝,"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro'>gemini/gemini-1.5-pro (few-shot, val)</a>",1.29@@1.29,1.27@@1.27,1.30@@1.30,1.29@@1.29,,256128.0,2097152.0,✓,✗,62.71 ± 4.14 / 74.34 ± 3.00@@62.71122833302668,69.19 ± 1.13 / 62.19 ± 2.42@@69.1859637447022,67.07 ± 2.28 / 83.38 ± 1.17@@67.07242109214914,63.59 ± 1.23 / 52.59 ± 1.61@@63.58913919627521,66.81 ± 2.66 / 76.44 ± 1.76@@66.80918133013188,81.17 ± 1.02 / 77.42 ± 1.98@@81.17035293377765,84.00 ± 2.73 / 79.81 ± 2.79@@84.00463189209057,71.60 ± 4.02 / 85.49 ± 2.15@@71.59858463340554,65.21 ± 4.30 / 82.44 ± 2.24@@65.21372881684879,72.17 ± 2.63 / 44.91 ± 3.85@@72.16765164437271,77.17 ± 1.93 / 76.41 ± 2.06@@77.16739521622446,79.65 ± 2.44 / 75.31 ± 2.31@@79.64746750279049,73.91 ± 3.16 / 86.84 ± 1.57@@73.91324233552794,59.38 ± 1.62 / 50.19 ± 1.70@@59.38107659365985,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402
📝,"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite'>gemini/gemini-2.0-flash-lite (few-shot, val)</a>",1.34@@1.34,1.37@@1.37,1.23@@1.23,1.41@@1.41,,256128.0,1048576.0,✓,✗,60.45 ± 2.64 / 73.13 ± 1.96@@60.45236230183543,65.86 ± 2.44 / 57.34 ± 2.69@@65.8572086362376,65.90 ± 2.89 / 82.42 ± 1.67@@65.90093795626275,63.08 ± 1.51 / 51.32 ± 2.14@@63.079987644733606,69.96 ± 2.11 / 79.80 ± 1.60@@69.95551579107662,80.02 ± 1.40 / 72.79 ± 2.28@@80.02193810469646,80.37 ± 1.33 / 71.04 ± 3.63@@80.37413273942668,73.97 ± 2.94 / 86.73 ± 1.51@@73.97401924482386,62.99 ± 2.73 / 81.36 ± 1.34@@62.99271228778751,73.04 ± 1.06 / 43.14 ± 2.25@@73.03788422393907,76.63 ± 2.29 / 76.39 ± 2.01@@76.62740867744965,74.70 ± 2.92 / 67.36 ± 2.90@@74.69642638927915,70.93 ± 2.89 / 85.15 ± 1.54@@70.92945262029633,59.96 ± 1.41 / 50.61 ± 1.49@@59.95680815095265,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402
🔍,<a href='https://huggingface.co/AI-Sweden-Models/roberta-large-1160k'>AI-Sweden-Models/roberta-large-1160k</a>,1.34@@1.34,1.49@@1.49,1.25@@1.25,1.27@@1.27,355362819.0,50265.0,512.0,✓,✗,51.20 ± 1.67 / 66.62 ± 1.58@@51.20102245410696,74.16 ± 1.73 / 70.93 ± 1.67@@74.15665267341342,73.87 ± 2.13 / 86.61 ± 1.17@@73.86506217251011,55.06 ± 1.21 / 49.34 ± 1.14@@55.06070407262193,60.11 ± 2.96 / 70.55 ± 3.99@@60.110285370368445,92.01 ± 0.98 / 92.36 ± 0.70@@92.0094109435887,87.17 ± 1.24 / 88.75 ± 0.89@@87.17443226375458,72.85 ± 5.60 / 85.73 ± 3.14@@72.84782092759633,65.56 ± 1.91 / 82.23 ± 0.97@@65.56243147105072,75.42 ± 1.16 / 60.38 ± 0.95@@75.4249232800748,77.25 ± 1.20 / 73.96 ± 2.59@@77.25436057450797,82.65 ± 1.04 / 80.43 ± 0.93@@82.65119664613684,77.90 ± 1.45 / 88.63 ± 0.76@@77.90074490028118,55.64 ± 1.07 / 49.64 ± 1.11@@55.641794988546145,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001
📝,"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (few-shot, val)</a>",1.34@@1.34,1.29@@1.29,1.43@@1.43,1.30@@1.30,,100256.0,128000.0,✓,✗,61.62 ± 2.17 / 73.99 ± 1.48@@61.61567662565071,66.80 ± 3.01 / 45.69 ± 2.85@@66.80345088084063,66.84 ± 3.27 / 82.79 ± 1.86@@66.83561631898827,68.83 ± 1.50 / 56.85 ± 2.62@@68.8277752755694,62.55 ± 2.82 / 72.41 ± 2.42@@62.54978546382319,77.48 ± 2.32 / 55.87 ± 2.83@@77.48333790567503,78.70 ± 2.78 / 57.58 ± 4.23@@78.69695727674406,74.45 ± 4.27 / 86.22 ± 2.49@@74.45442159680051,56.31 ± 5.81 / 74.04 ± 4.03@@56.308869546145424,73.39 ± 1.83 / 44.67 ± 3.23@@73.39006572276543,77.59 ± 1.38 / 78.78 ± 1.69@@77.59451964195583,74.45 ± 3.09 / 49.97 ± 4.23@@74.44684938971369,71.35 ± 3.10 / 83.98 ± 2.23@@71.34765117363143,66.76 ± 1.10 / 56.56 ± 1.39@@66.76310846777446,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,12.10.2@@121002,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000
📝,"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash'>gemini/gemini-2.0-flash (few-shot, val)</a>",1.39@@1.39,1.49@@1.49,1.37@@1.37,1.30@@1.30,,256128.0,1048576.0,✓,✗,61.01 ± 1.46 / 73.70 ± 1.00@@61.01440651849407,66.89 ± 1.90 / 61.03 ± 2.81@@66.89455664679173,63.01 ± 4.02 / 81.20 ± 2.01@@63.00839601605038,59.58 ± 1.06 / 48.19 ± 1.11@@59.58270164661265,67.95 ± 1.68 / 77.96 ± 1.26@@67.9455705706326,80.12 ± 1.36 / 72.08 ± 2.81@@80.11914394288523,78.71 ± 3.42 / 73.24 ± 3.28@@78.70520838765664,71.40 ± 2.40 / 85.21 ± 1.29@@71.40342207500161,60.17 ± 3.90 / 79.71 ± 2.16@@60.16539721065058,72.16 ± 1.18 / 40.46 ± 2.49@@72.16430413349201,78.15 ± 2.35 / 78.32 ± 1.65@@78.1542915216851,80.96 ± 2.46 / 68.32 ± 1.94@@80.96484427287758,74.28 ± 3.11 / 87.05 ± 1.62@@74.28387994050054,58.33 ± 1.47 / 47.07 ± 2.70@@58.32758974003049,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402
📝,"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (few-shot, val)</a>",1.39@@1.39,1.49@@1.49,1.43@@1.43,1.27@@1.27,,200019.0,128000.0,✓,✗,49.42 ± 3.29 / 61.74 ± 2.59@@49.42372610071974,71.15 ± 2.89 / 52.24 ± 3.76@@71.14680772858678,64.59 ± 2.97 / 79.93 ± 1.88@@64.58662260096766,67.87 ± 1.75 / 57.35 ± 2.51@@67.87199794952302,66.66 ± 1.91 / 77.70 ± 1.29@@66.65884715864749,79.07 ± 3.01 / 64.17 ± 3.51@@79.0749940006508,81.56 ± 2.45 / 64.06 ± 4.11@@81.55539720192658,64.53 ± 6.09 / 79.17 ± 4.89@@64.52725494276652,54.70 ± 4.36 / 74.94 ± 3.26@@54.69845251324422,74.52 ± 1.79 / 43.51 ± 3.40@@74.5166114590354,77.16 ± 2.65 / 79.22 ± 2.36@@77.15716651688709,76.66 ± 2.11 / 60.34 ± 4.71@@76.65628919038222,68.99 ± 4.33 / 83.37 ± 2.61@@68.98664221678186,67.71 ± 0.96 / 57.96 ± 1.35@@67.70637587047779,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,12.10.2@@121002,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000
🤔,"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-exp-03-25'>gemini/gemini-2.5-pro-exp-03-25 (zero-shot, val)</a>",1.45@@1.45,1.56@@1.56,1.39@@1.39,1.39@@1.39,,256128.0,1048576.0,✓,✗,61.33 ± 1.90 / 73.25 ± 1.24@@61.3312481994959,62.62 ± 1.35 / 45.46 ± 1.57@@62.62498806341167,61.96 ± 2.29 / 80.88 ± 1.11@@61.96013200349222,58.81 ± 0.80 / 43.70 ± 1.28@@58.80900630265661,66.49 ± 2.57 / 75.79 ± 2.11@@66.49329726929845,72.68 ± 1.82 / 51.84 ± 2.38@@72.68255673794579,72.15 ± 2.75 / 56.53 ± 2.81@@72.1474510950329,77.25 ± 2.30 / 88.56 ± 1.17@@77.24670541077641,64.03 ± 2.59 / 81.87 ± 1.31@@64.03179963201683,72.41 ± 0.72 / 42.25 ± 1.46@@72.41261530411151,75.55 ± 3.22 / 71.54 ± 2.65@@75.54694204018506,73.36 ± 2.00 / 49.49 ± 1.37@@73.35933974064781,77.87 ± 2.79 / 88.74 ± 1.44@@77.8730091528799,56.87 ± 0.91 / 41.81 ± 1.09@@56.874366616413774,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402
📝,"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",1.46@@1.46,1.31@@1.31,1.67@@1.67,1.40@@1.40,,,200000.0,✓,✗,63.61 ± 1.57 / 76.00 ± 1.07@@63.606694144803555,65.88 ± 2.11 / 55.11 ± 1.59@@65.88430253250571,71.03 ± 2.52 / 85.46 ± 1.24@@71.02748663723585,59.56 ± 1.25 / 46.24 ± 1.37@@59.557804071387736,50.92 ± 2.29 / 63.00 ± 1.71@@50.923110962728856,74.23 ± 1.86 / 70.66 ± 2.97@@74.23458485154674,70.50 ± 2.19 / 65.71 ± 2.34@@70.50152898187869,76.10 ± 3.28 / 88.02 ± 1.64@@76.10336836974055,72.03 ± 2.05 / 85.28 ± 1.07@@72.02975225746646,67.69 ± 0.75 / 40.57 ± 1.42@@67.68992020281635,77.70 ± 2.39 / 77.22 ± 2.00@@77.70031549261454,70.22 ± 2.34 / 58.75 ± 1.43@@70.21587675818077,74.34 ± 2.79 / 87.04 ± 1.39@@74.33691610591404,60.05 ± 0.93 / 49.32 ± 1.33@@60.05228919384334,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
📝,<a href='https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8 (few-shot)</a>,1.49@@1.49,1.31@@1.31,1.89@@1.89,1.26@@1.26,405868625920.0,128256.0,131072.0,✓,✗,61.26 ± 1.20 / 73.27 ± 0.95@@61.26104363202908,71.94 ± 1.37 / 61.59 ± 1.44@@71.93793131497016,64.94 ± 1.80 / 81.65 ± 1.13@@64.9391351861204,66.00 ± 1.23 / 56.00 ± 2.32@@65.99732304500758,40.55 ± 0.50 / 40.35 ± 0.39@@40.55146163126498,82.44 ± 1.19 / 81.86 ± 1.20@@82.441170394747,82.17 ± 0.89 / 82.07 ± 1.38@@82.17073675205769,63.91 ± 1.57 / 79.76 ± 1.13@@63.90959041621066,45.93 ± 1.97 / 67.09 ± 1.85@@45.9274339498503,73.27 ± 1.24 / 45.33 ± 1.59@@73.26582616095848,80.70 ± 0.46 / 79.67 ± 0.67@@80.69588988165437,76.27 ± 1.55 / 73.77 ± 1.72@@76.26688277527919,68.85 ± 1.48 / 83.10 ± 0.95@@68.8534836572833,66.31 ± 1.05 / 56.41 ± 2.22@@66.30596002545573,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
