model,rank,parameters,vocabulary_size,context,speed,generative_type,commercial,merge,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version
ltg/norbert3-large,1.27,354404352.0,50000.0,512,3730.11,🔍,✓,✗,60.11 ± 4.76 / 71.17 ± 5.72@@60.11382314371474,87.27 ± 1.06 / 88.14 ± 0.90@@87.27367407815076,82.61 ± 1.96 / 84.47 ± 1.67@@82.60651485225466,69.49 ± 6.81 / 83.06 ± 4.61@@69.48537009586525,75.05 ± 2.08 / 87.26 ± 1.00@@75.04962944818074,78.89 ± 0.89 / 63.80 ± 1.11@@78.88535875505355,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
"gpt-4-0613 (few-shot, val)",1.28,,100256.0,8191,597.21,📝,✓,✗,72.72 ± 3.20 / 81.35 ± 2.22@@72.71974465751492,81.16 ± 2.46 / 63.39 ± 4.07@@81.1615462362485,75.75 ± 4.49 / 60.44 ± 5.46@@75.74830419214818,77.30 ± 2.97 / 88.39 ± 1.60@@77.30281583818022,57.18 ± 3.91 / 76.40 ± 2.66@@57.17734250639488,75.24 ± 1.32 / 47.50 ± 2.86@@75.24157322387391,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,12.9.0@@120900
AI-Sweden-Models/roberta-large-1160k,1.29,355412057.0,50265.0,512,14014.08,🔍,✓,✗,60.11 ± 2.96 / 70.55 ± 3.99@@60.110285370368445,92.01 ± 0.98 / 92.36 ± 0.70@@92.0094109435887,87.17 ± 1.24 / 88.75 ± 0.89@@87.17443226375458,72.85 ± 5.60 / 85.73 ± 3.14@@72.84782092759633,65.56 ± 1.91 / 82.23 ± 0.97@@65.56243147105072,75.42 ± 1.16 / 60.38 ± 0.95@@75.4249232800748,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001
AI-Sweden-Models/roberta-large-1350k,1.34,355359744.0,50265.0,512,5743.56,🔍,✓,✗,58.77 ± 3.69 / 69.56 ± 4.55@@58.77100783067972,92.49 ± 0.81 / 92.58 ± 0.61@@92.48982328004607,87.22 ± 1.19 / 88.71 ± 1.02@@87.21912217736045,76.30 ± 2.09 / 87.19 ± 1.40@@76.29547930652457,64.11 ± 5.18 / 80.68 ± 3.72@@64.10830735125155,75.73 ± 1.06 / 60.69 ± 1.15@@75.73346552179945,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001
"gpt-4o-2024-05-13 (few-shot, val)",1.45,,200019.0,127997,916.47,📝,✓,✗,66.66 ± 1.91 / 77.70 ± 1.29@@66.65884715864749,79.07 ± 3.01 / 64.17 ± 3.51@@79.0749940006508,81.56 ± 2.45 / 64.06 ± 4.11@@81.55539720192658,64.53 ± 6.09 / 79.17 ± 4.89@@64.52725494276652,54.70 ± 4.36 / 74.94 ± 3.26@@54.69845251324422,74.52 ± 1.79 / 43.51 ± 3.40@@74.5166114590354,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,12.10.2@@121002,12.10.2@@121002,12.10.0@@121000
"gpt-4-1106-preview (few-shot, val)",1.47,,100256.0,128000,575.52,📝,✓,✗,62.55 ± 2.82 / 72.41 ± 2.42@@62.54978546382319,77.48 ± 2.32 / 55.87 ± 2.83@@77.48333790567503,78.70 ± 2.78 / 57.58 ± 4.23@@78.69695727674406,74.45 ± 4.27 / 86.22 ± 2.49@@74.45442159680051,56.31 ± 5.81 / 74.04 ± 4.03@@56.308869546145424,73.39 ± 1.83 / 44.67 ± 3.23@@73.39006572276543,12.10.2@@121002,12.10.0@@121000,12.10.0@@121000,12.10.2@@121002,12.10.2@@121002,12.10.0@@121000
KennethEnevoldsen/dfm-sentence-encoder-large-2,1.5,355087360.0,50000.0,512,6568.66,🔍,✓,✗,58.73 ± 2.31 / 70.10 ± 2.66@@58.73299560112575,86.78 ± 0.95 / 85.37 ± 0.78@@86.77834770335308,83.28 ± 1.29 / 82.22 ± 1.30@@83.27649246409791,70.73 ± 3.19 / 84.71 ± 1.82@@70.72949207458497,59.58 ± 7.22 / 78.86 ± 3.51@@59.58462059012083,71.02 ± 1.42 / 56.04 ± 1.56@@71.02124673211159,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
KennethEnevoldsen/dfm-sentence-encoder-medium-3,1.56,177853440.0,119547.0,512,14050.48,🔍,✓,✗,59.10 ± 1.47 / 70.50 ± 2.06@@59.098244633644256,91.17 ± 0.52 / 91.04 ± 0.58@@91.17499559695871,87.30 ± 1.07 / 88.83 ± 0.84@@87.29997138570693,74.32 ± 1.76 / 86.47 ± 1.18@@74.3200176248775,72.94 ± 1.63 / 86.07 ± 0.99@@72.94320029943837,45.46 ± 2.65 / 34.06 ± 2.05@@45.45997983340257,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
NbAiLab/nb-sbert-base,1.62,177853440.0,119547.0,512,17756.84,🔍,✓,✗,60.57 ± 1.22 / 72.70 ± 0.75@@60.56976587243133,90.96 ± 0.66 / 90.87 ± 0.65@@90.96346058330018,87.34 ± 1.74 / 88.75 ± 1.38@@87.33607649737016,72.11 ± 1.85 / 85.08 ± 1.24@@72.11274376621427,70.20 ± 2.24 / 84.26 ± 1.48@@70.19879633845763,40.55 ± 4.21 / 29.94 ± 3.33@@40.554525025394874,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
google/gemma-2-27b-it (few-shot),1.64,27227128320.0,256000.0,8193,1516.14,📝,✓,✗,67.14 ± 1.22 / 78.63 ± 0.96@@67.13713960361439,67.35 ± 2.33 / 56.75 ± 3.04@@67.35290289411395,66.61 ± 1.81 / 57.24 ± 4.35@@66.61453218777315,64.66 ± 1.38 / 81.94 ± 0.79@@64.65580698673871,52.49 ± 2.01 / 75.95 ± 1.15@@52.4885760410722,73.41 ± 1.61 / 44.85 ± 2.17@@73.41348148858289,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
"claude-3-5-sonnet-20241022 (zero-shot, val)",1.7,,,200000,168.2,📝,✓,✗,50.92 ± 2.29 / 63.00 ± 1.71@@50.923110962728856,74.23 ± 1.86 / 70.66 ± 2.97@@74.23458485154674,70.50 ± 2.19 / 65.71 ± 2.34@@70.50152898187869,76.10 ± 3.28 / 88.02 ± 1.64@@76.10336836974055,72.03 ± 2.05 / 85.28 ± 1.07@@72.02975225746646,67.69 ± 0.75 / 40.57 ± 1.42@@67.68992020281635,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
NbAiLab/nb-roberta-base-scandi,1.72,278295700.0,250002.0,514,13723.77,🔍,✓,✗,54.67 ± 2.61 / 66.04 ± 3.71@@54.67491610457307,90.95 ± 0.85 / 90.67 ± 0.92@@90.9548364321228,85.75 ± 1.34 / 87.07 ± 1.21@@85.75002782673928,66.37 ± 4.13 / 81.29 ± 2.91@@66.37311153162398,66.79 ± 2.65 / 81.95 ± 1.94@@66.79164724258877,46.09 ± 10.26 / 34.02 ± 7.61@@46.089040279113775,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
NbAiLab/nb-roberta-base-scandi-1e4,1.75,278295700.0,250002.0,514,13658.85,🔍,✓,✗,55.95 ± 1.73 / 68.68 ± 2.08@@55.95027312495262,89.98 ± 0.41 / 89.70 ± 0.55@@89.97644337377677,84.45 ± 0.98 / 85.51 ± 0.73@@84.45273215729017,64.74 ± 4.25 / 80.15 ± 2.98@@64.74182079661401,65.96 ± 2.31 / 81.19 ± 1.67@@65.95849639690255,45.85 ± 3.76 / 32.88 ± 3.08@@45.85253960234945,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
abhishek/autotrain-llama3-oh-sft-v0-2 (few-shot),1.75,70553837568.0,128264.0,8190,2668.37,📝,✗,✗,63.91 ± 1.74 / 75.51 ± 1.63@@63.90836506831562,80.97 ± 1.73 / 74.56 ± 3.82@@80.97083246741342,79.69 ± 0.64 / 75.12 ± 2.70@@79.6945621836462,39.82 ± 3.91 / 60.91 ± 4.26@@39.82357064711949,26.86 ± 2.91 / 53.05 ± 3.88@@26.857483766439476,75.80 ± 2.01 / 47.06 ± 3.13@@75.79783039696417,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901
