model,generative_type,rank,french,italian,spanish,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,orange_sum,mmlu_fr,hellaswag_fr,sentipolc16,multinerd_it,scala_it,squad_it,ilpost_sum,mmlu_it,hellaswag_it,sentiment_headlines_es,conll_es,scala_es,mlqa_es,mlsum_es,mmlu_es,hellaswag_es,allocine_version,eltec_version,scala_fr_version,fquad_version,orange_sum_version,mmlu_fr_version,hellaswag_fr_version,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version,ilpost_sum_version,mmlu_it_version,hellaswag_it_version,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version,mlsum_es_version,mmlu_es_version,hellaswag_es_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (few-shot, val)</a>",📝,1.21@@1.21,1.28@@1.28,1.22@@1.22,1.14@@1.14,,256128.0,1048576.0,✓,✗,95.68 ± 1.71 / 97.83 ± 0.86@@95.67872875734234,79.48 ± 2.57 / 74.61 ± 2.77@@79.48498807716453,45.95 ± 6.81 / 70.14 ± 4.47@@45.95432887369139,71.20 ± 1.44 / 38.34 ± 1.88@@71.20172717248607,67.14 ± 0.21 / 18.23 ± 0.42@@67.1422269125469,76.81 ± 2.18 / 82.81 ± 1.67@@76.81438847441916,76.44 ± 2.41 / 82.19 ± 1.81@@76.4428544444223,68.83 ± 1.52 / 78.49 ± 0.63@@68.83137429657783,78.31 ± 2.96 / 65.32 ± 2.20@@78.30658299821577,38.79 ± 5.15 / 65.38 ± 3.66@@38.78829078855991,74.73 ± 1.18 / 52.57 ± 1.97@@74.72634758403993,66.33 ± 0.17 / 19.24 ± 0.33@@66.33076367434114,77.41 ± 1.99 / 83.05 ± 1.56@@77.41485406549577,77.18 ± 2.81 / 82.77 ± 2.14@@77.17922264854036,53.14 ± 1.96 / 65.53 ± 2.02@@53.137384897510856,76.67 ± 1.88 / 74.96 ± 1.54@@76.67008963113446,40.76 ± 4.53 / 68.65 ± 2.76@@40.763862943676166,63.23 ± 1.35 / 29.60 ± 1.70@@63.226602872416585,63.22 ± 0.13 / 13.64 ± 0.37@@63.22110861772672,79.32 ± 1.95 / 84.41 ± 1.47@@79.31504605862034,84.56 ± 2.35 / 88.36 ± 1.81@@84.56355422243247,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (few-shot, val)</a>",📝,1.22@@1.22,1.30@@1.30,1.24@@1.24,1.13@@1.13,,256128.0,2097152.0,✓,✗,95.02 ± 1.22 / 97.47 ± 0.62@@95.01641232748092,78.93 ± 1.69 / 76.10 ± 2.33@@78.93286829715592,46.07 ± 4.01 / 68.33 ± 2.90@@46.0718222899754,70.43 ± 0.93 / 36.39 ± 1.73@@70.42743298037304,67.38 ± 0.23 / 19.42 ± 0.31@@67.38351627485827,71.63 ± 1.66 / 78.83 ± 1.29@@71.62714108108861,78.63 ± 2.50 / 83.87 ± 1.90@@78.62525005274425,67.92 ± 2.30 / 77.32 ± 1.60@@67.92018907807693,79.48 ± 3.36 / 67.28 ± 3.49@@79.47888616324028,38.81 ± 5.32 / 63.02 ± 5.16@@38.81215190223089,74.20 ± 1.51 / 53.48 ± 1.86@@74.20181504432097,66.06 ± 0.17 / 19.29 ± 0.31@@66.06202140566893,80.87 ± 1.58 / 85.55 ± 1.23@@80.87385347385997,76.39 ± 1.53 / 82.11 ± 1.21@@76.38552937315286,52.00 ± 2.78 / 65.06 ± 2.38@@51.99731354306339,76.85 ± 1.15 / 74.50 ± 1.46@@76.8535740521617,37.67 ± 6.76 / 66.87 ± 4.21@@37.66626849895691,68.94 ± 1.51 / 38.79 ± 1.81@@68.93706457903372,62.99 ± 0.09 / 13.66 ± 0.23@@62.990256547927856,74.81 ± 1.45 / 81.05 ± 1.07@@74.8110103788904,82.67 ± 2.80 / 86.99 ± 2.11@@82.67259654883225,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (few-shot, val)</a>",📝,1.26@@1.26,1.34@@1.34,1.22@@1.22,1.21@@1.21,,256128.0,1048576.0,✓,✗,95.09 ± 1.30 / 97.51 ± 0.66@@95.09012240435706,72.07 ± 2.05 / 70.01 ± 2.31@@72.06810446058836,49.41 ± 4.57 / 71.43 ± 3.10@@49.40697869993563,72.65 ± 1.53 / 37.29 ± 1.56@@72.65145508320339,67.32 ± 0.20 / 19.34 ± 0.51@@67.32176733668894,73.39 ± 2.41 / 80.20 ± 1.91@@73.38787823437973,75.06 ± 3.66 / 81.17 ± 2.81@@75.06429851255095,66.95 ± 2.14 / 76.34 ± 1.38@@66.9525185035481,82.32 ± 2.08 / 65.76 ± 1.76@@82.32451145420306,37.23 ± 4.28 / 63.31 ± 4.55@@37.22547611295644,77.01 ± 1.53 / 54.45 ± 3.73@@77.005280722052,66.48 ± 0.21 / 20.31 ± 0.53@@66.47512611933053,74.41 ± 2.49 / 80.78 ± 1.93@@74.40897870544225,76.56 ± 1.47 / 82.30 ± 1.16@@76.55822144746114,53.57 ± 2.21 / 66.27 ± 2.43@@53.570959407472195,72.02 ± 2.71 / 70.61 ± 1.97@@72.02342134316882,43.89 ± 6.98 / 70.43 ± 3.93@@43.888940212615054,63.83 ± 1.46 / 28.25 ± 3.00@@63.831163788139484,63.25 ± 0.16 / 14.62 ± 0.30@@63.246397068724036,72.24 ± 2.21 / 78.95 ± 1.71@@72.23829166164516,82.84 ± 2.30 / 87.07 ± 1.73@@82.83922558306061,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (few-shot, val)</a>",📝,1.38@@1.38,1.40@@1.40,1.53@@1.53,1.22@@1.22,,200019.0,128000.0,✓,✗,95.64 ± 1.44 / 97.79 ± 0.74@@95.6393035894765,69.67 ± 4.44 / 60.14 ± 4.38@@69.66583101183464,42.76 ± 3.62 / 65.94 ± 2.04@@42.757852087433534,70.88 ± 1.03 / 36.03 ± 1.55@@70.88057505579887,66.93 ± 0.18 / 16.84 ± 0.40@@66.92979243816808,72.03 ± 1.74 / 79.34 ± 1.23@@72.02788074074058,82.30 ± 2.26 / 86.60 ± 1.72@@82.30463464563174,49.40 ± 2.25 / 49.24 ± 1.13@@49.40118733234822,72.14 ± 4.27 / 50.10 ± 3.17@@72.13645681042979,31.04 ± 2.03 / 52.20 ± 1.56@@31.04412551199202,75.80 ± 1.26 / 52.67 ± 2.55@@75.80031690085467,65.63 ± 0.21 / 17.06 ± 0.32@@65.63376262318343,81.10 ± 2.64 / 85.82 ± 2.05@@81.10288330428767,80.19 ± 3.38 / 84.92 ± 2.63@@80.18962603831596,47.00 ± 2.93 / 59.76 ± 2.44@@47.00137354381398,81.06 ± 1.36 / 71.31 ± 2.10@@81.0614227662296,33.51 ± 3.96 / 61.10 ± 2.74@@33.51211594081603,67.36 ± 0.87 / 31.59 ± 1.65@@67.36484403889696,62.97 ± 0.15 / 12.13 ± 0.31@@62.97166960663162,79.21 ± 2.42 / 84.34 ± 1.82@@79.2142623092315,85.27 ± 1.58 / 88.91 ± 1.21@@85.26893953618459,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.6.1.dev0@@150601,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (few-shot, val)</a>",📝,1.43@@1.43,1.47@@1.47,1.45@@1.45,1.38@@1.38,,256128.0,1048576.0,✓,✗,97.72 ± 0.90 / 98.86 ± 0.45@@97.71750643385799,74.44 ± 1.72 / 70.06 ± 2.01@@74.43784579820682,41.49 ± 3.45 / 64.92 ± 1.81@@41.491945451281595,68.12 ± 0.94 / 33.33 ± 1.87@@68.11885812077895,66.85 ± 0.17 / 18.17 ± 0.32@@66.84836575528607,62.47 ± 2.43 / 72.03 ± 1.77@@62.468169319064955,71.08 ± 1.42 / 78.09 ± 1.14@@71.08095695518783,65.71 ± 1.51 / 74.31 ± 1.36@@65.70534440444898,77.82 ± 1.80 / 60.51 ± 2.74@@77.8159850548289,34.30 ± 7.22 / 58.81 ± 6.47@@34.297149251573614,72.55 ± 0.92 / 48.31 ± 1.97@@72.54983854808995,65.86 ± 0.26 / 18.91 ± 0.35@@65.85824667126872,66.98 ± 2.80 / 75.00 ± 2.19@@66.9757678217151,68.62 ± 1.40 / 76.21 ± 1.07@@68.6212163413488,53.40 ± 2.25 / 66.13 ± 2.22@@53.401643634197406,73.55 ± 1.21 / 60.42 ± 1.48@@73.55443208107971,30.57 ± 4.62 / 60.59 ± 3.03@@30.567053916404564,64.10 ± 1.15 / 32.03 ± 1.63@@64.1040894475511,62.64 ± 0.12 / 12.64 ± 0.26@@62.64039587229491,69.61 ± 2.75 / 77.07 ± 2.05@@69.60982292877739,73.47 ± 2.49 / 79.88 ± 1.93@@73.47039528133922,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.6.1.dev0@@150601,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B (few-shot)</a>,🧠,1.44@@1.44,1.54@@1.54,1.44@@1.44,1.33@@1.33,70553706496.0,128256.0,8192.0,✓,✗,94.44 ± 0.62 / 97.19 ± 0.32@@94.43603414781207,68.67 ± 1.61 / 65.40 ± 1.45@@68.66564322037323,42.85 ± 3.39 / 67.28 ± 2.99@@42.846424359691696,76.09 ± 1.41 / 47.07 ± 1.27@@76.08890405054747,67.30 ± 0.68 / 22.57 ± 1.00@@67.2976761960308,63.43 ± 0.85 / 72.46 ± 0.64@@63.42934881008937,57.57 ± 3.13 / 66.98 ± 2.65@@57.57183702488074,66.35 ± 1.15 / 76.83 ± 0.96@@66.35358585514545,84.06 ± 0.78 / 69.26 ± 1.96@@84.06321170484449,29.93 ± 5.12 / 61.63 ± 3.98@@29.933501498107297,74.61 ± 2.23 / 54.81 ± 3.74@@74.61056447123885,67.82 ± 0.64 / 24.64 ± 1.47@@67.82118327813805,62.60 ± 0.90 / 71.86 ± 0.65@@62.59509573909241,61.03 ± 2.65 / 70.18 ± 2.14@@61.0308024089188,49.01 ± 2.59 / 65.24 ± 1.53@@49.01214125033869,74.96 ± 0.84 / 71.34 ± 0.95@@74.95765194161505,37.17 ± 3.97 / 68.18 ± 2.04@@37.17212949023734,68.93 ± 2.01 / 41.87 ± 3.44@@68.93367502561566,63.10 ± 0.43 / 18.89 ± 0.86@@63.0979784016381,63.69 ± 1.42 / 72.72 ± 1.07@@63.69234784396179,61.25 ± 4.86 / 70.12 ± 3.84@@61.245347232657934,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (few-shot)</a>,📝,1.45@@1.45,1.44@@1.44,1.60@@1.60,1.31@@1.31,72706203648.0,152064.0,32768.0,✓,✗,94.67 ± 0.61 / 97.31 ± 0.32@@94.67098236185223,62.77 ± 2.68 / 54.80 ± 3.20@@62.76781462104617,46.11 ± 1.30 / 67.89 ± 0.85@@46.10943521470335,70.99 ± 0.67 / 38.28 ± 0.99@@70.98690321651625,66.28 ± 0.09 / 16.13 ± 0.20@@66.27879943378503,73.75 ± 0.62 / 80.24 ± 0.48@@73.74993666627701,77.80 ± 1.40 / 83.23 ± 1.07@@77.80240171806673,48.59 ± 1.01 / 49.20 ± 0.59@@48.59207935428056,71.95 ± 2.88 / 50.19 ± 2.22@@71.95009476198602,35.42 ± 3.09 / 63.44 ± 2.93@@35.423640073226565,71.24 ± 1.02 / 46.90 ± 2.32@@71.23975131793017,64.84 ± 0.15 / 15.30 ± 0.34@@64.84144428381114,74.60 ± 0.85 / 80.90 ± 0.64@@74.60323135881046,77.63 ± 0.88 / 83.16 ± 0.68@@77.6259100688803,51.13 ± 1.78 / 66.36 ± 1.26@@51.12504543848814,69.79 ± 1.24 / 62.83 ± 0.95@@69.79426218760301,39.36 ± 3.09 / 68.02 ± 1.89@@39.3585212591112,62.91 ± 0.76 / 32.74 ± 2.00@@62.91078690496727,62.86 ± 0.09 / 11.83 ± 0.18@@62.855004790326355,73.64 ± 0.65 / 80.20 ± 0.49@@73.64004304488836,76.31 ± 1.21 / 82.07 ± 0.92@@76.30968669612174,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,1.49@@1.49,1.49@@1.49,1.58@@1.58,1.40@@1.40,,256128.0,1048576.0,✓,✗,94.12 ± 1.21 / 97.00 ± 0.62@@94.11967283266381,65.70 ± 2.36 / 55.99 ± 2.43@@65.7025548332156,42.21 ± 3.76 / 66.68 ± 1.88@@42.208958417946334,68.56 ± 0.85 / 33.46 ± 1.27@@68.55562916406362,65.90 ± 0.17 / 14.52 ± 0.18@@65.89627027045935,76.28 ± 1.71 / 82.15 ± 1.33@@76.28487335276895,72.83 ± 1.54 / 79.61 ± 1.18@@72.83127817127489,68.17 ± 2.21 / 75.33 ± 1.68@@68.17453821213505,63.38 ± 1.92 / 39.77 ± 1.40@@63.37806531423493,25.12 ± 2.96 / 51.57 ± 1.70@@25.123074995184346,72.88 ± 0.81 / 44.23 ± 0.97@@72.87965692175644,64.35 ± 0.17 / 14.35 ± 0.24@@64.3509177560918,84.31 ± 1.69 / 88.20 ± 1.29@@84.30820745215487,69.85 ± 2.14 / 77.27 ± 1.63@@69.85256247054905,39.31 ± 2.26 / 52.14 ± 2.21@@39.31412308236143,77.24 ± 1.48 / 61.61 ± 2.20@@77.24092171042976,30.79 ± 2.96 / 58.55 ± 2.08@@30.790408165000628,62.13 ± 1.14 / 27.71 ± 1.20@@62.12732686479868,61.60 ± 0.26 / 9.26 ± 0.15@@61.60098798689433,88.24 ± 1.16 / 91.17 ± 0.86@@88.24334921661645,78.77 ± 1.29 / 83.98 ± 0.99@@78.7681647081194,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501 (few-shot)</a>,📝,1.50@@1.50,1.54@@1.54,1.54@@1.54,1.43@@1.43,23572403200.0,131072.0,32768.0,✓,✗,93.83 ± 0.59 / 96.91 ± 0.29@@93.83439200145904,70.22 ± 1.96 / 63.83 ± 2.81@@70.22108776521281,32.02 ± 1.93 / 53.55 ± 1.72@@32.02179154156769,72.43 ± 1.36 / 42.12 ± 1.13@@72.43162058606498,66.38 ± 0.08 / 16.63 ± 0.16@@66.38407493068371,63.54 ± 0.84 / 72.60 ± 0.65@@63.542842927064605,83.43 ± 1.25 / 87.56 ± 0.94@@83.43494866423896,66.52 ± 1.60 / 77.52 ± 1.11@@66.52125959319693,75.92 ± 0.91 / 50.73 ± 2.42@@75.92450827705596,27.13 ± 1.42 / 50.81 ± 1.04@@27.132228016631654,72.70 ± 0.66 / 52.15 ± 1.04@@72.69819624366424,65.44 ± 0.10 / 16.83 ± 0.22@@65.4380798706552,63.49 ± 1.45 / 72.55 ± 1.07@@63.49182236072062,82.73 ± 0.81 / 87.00 ± 0.62@@82.72719216543616,51.95 ± 2.04 / 64.99 ± 1.92@@51.94849855755106,71.31 ± 0.91 / 60.69 ± 1.60@@71.30955738796733,33.10 ± 0.66 / 55.84 ± 0.94@@33.102345484177356,59.94 ± 1.20 / 35.64 ± 0.98@@59.943963126547956,62.95 ± 0.08 / 12.08 ± 0.17@@62.95315410767216,63.71 ± 0.61 / 72.81 ± 0.46@@63.70955762963044,81.70 ± 0.97 / 86.20 ± 0.75@@81.69586593314595,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct (few-shot)</a>,📝,1.52@@1.52,1.50@@1.50,1.63@@1.63,1.42@@1.42,70553706496.0,128256.0,131072.0,✓,✗,94.72 ± 0.33 / 97.35 ± 0.17@@94.71689455923702,67.60 ± 2.27 / 61.48 ± 2.54@@67.59533980026144,40.31 ± 1.41 / 62.94 ± 1.47@@40.307186140955515,70.78 ± 1.15 / 40.93 ± 1.07@@70.78358081823457,67.81 ± 0.13 / 22.33 ± 0.31@@67.80969211453339,69.42 ± 0.53 / 76.98 ± 0.42@@69.42342618528924,70.59 ± 1.72 / 77.51 ± 1.35@@70.59367768572487,49.89 ± 0.76 / 49.81 ± 0.37@@49.89217238517968,83.94 ± 1.12 / 59.95 ± 2.72@@83.93775450315178,21.42 ± 2.82 / 55.72 ± 2.29@@21.421355324544137,71.93 ± 1.17 / 47.78 ± 2.75@@71.92524660644034,67.76 ± 0.26 / 23.86 ± 0.76@@67.76240793653415,69.71 ± 0.74 / 77.23 ± 0.54@@69.70925967798739,69.30 ± 1.19 / 76.34 ± 1.01@@69.3018454024006,53.79 ± 1.71 / 68.07 ± 1.33@@53.79452653505474,77.93 ± 0.79 / 70.48 ± 1.29@@77.93042428968812,28.31 ± 1.59 / 60.68 ± 1.01@@28.31372309751365,63.12 ± 0.55 / 34.71 ± 1.12@@63.121585892284074,63.74 ± 0.06 / 15.97 ± 0.67@@63.74162969746976,69.41 ± 0.89 / 77.02 ± 0.66@@69.41494027524631,74.37 ± 1.26 / 80.69 ± 0.94@@74.37202143157798,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
