model,generative_type,rank,french,italian,spanish,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,sentipolc16,multinerd_it,scala_it,squad_it,sentiment_headlines_es,conll_es,scala_es,mlqa_es,allocine_version,eltec_version,scala_fr_version,fquad_version,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (few-shot, val)</a>",📝,1.23@@1.23,1.39@@1.39,1.20@@1.20,1.09@@1.09,,256128.0,2097152.0,✓,✗,95.02 ± 1.22 / 97.47 ± 0.62@@95.01641232748092,78.93 ± 1.69 / 76.10 ± 2.33@@78.93286829715592,46.07 ± 4.01 / 68.33 ± 2.90@@46.0718222899754,70.43 ± 0.93 / 36.39 ± 1.73@@70.42743298037304,67.92 ± 2.30 / 77.32 ± 1.60@@67.92018907807693,79.48 ± 3.36 / 67.28 ± 3.49@@79.47888616324028,38.81 ± 5.32 / 63.02 ± 5.16@@38.81215190223089,74.20 ± 1.51 / 53.48 ± 1.86@@74.20181504432097,52.00 ± 2.78 / 65.06 ± 2.38@@51.99731354306339,76.85 ± 1.15 / 74.50 ± 1.46@@76.8535740521617,37.67 ± 6.76 / 66.87 ± 4.21@@37.66626849895691,68.94 ± 1.51 / 38.79 ± 1.81@@68.93706457903372,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (few-shot, val)</a>",📝,1.23@@1.23,1.36@@1.36,1.16@@1.16,1.17@@1.17,,256128.0,1048576.0,✓,✗,95.68 ± 1.71 / 97.83 ± 0.86@@95.67872875734234,79.48 ± 2.57 / 74.61 ± 2.77@@79.48498807716453,45.95 ± 6.81 / 70.14 ± 4.47@@45.95432887369139,71.20 ± 1.44 / 38.34 ± 1.88@@71.20172717248607,68.83 ± 1.52 / 78.49 ± 0.63@@68.83137429657783,78.31 ± 2.96 / 65.32 ± 2.20@@78.30658299821577,38.79 ± 5.15 / 65.38 ± 3.66@@38.78829078855991,74.73 ± 1.18 / 52.57 ± 1.97@@74.72634758403993,53.14 ± 1.96 / 65.53 ± 2.02@@53.137384897510856,76.67 ± 1.88 / 74.96 ± 1.54@@76.67008963113446,40.76 ± 4.53 / 68.65 ± 2.76@@40.763862943676166,63.23 ± 1.35 / 29.60 ± 1.70@@63.226602872416585,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (few-shot, val)</a>",📝,1.27@@1.27,1.43@@1.43,1.14@@1.14,1.24@@1.24,,256128.0,1048576.0,✓,✗,95.09 ± 1.30 / 97.51 ± 0.66@@95.09012240435706,72.07 ± 2.05 / 70.01 ± 2.31@@72.06810446058836,49.41 ± 4.57 / 71.43 ± 3.10@@49.40697869993563,72.65 ± 1.53 / 37.29 ± 1.56@@72.65145508320339,66.95 ± 2.14 / 76.34 ± 1.38@@66.9525185035481,82.32 ± 2.08 / 65.76 ± 1.76@@82.32451145420306,37.23 ± 4.28 / 63.31 ± 4.55@@37.22547611295644,77.01 ± 1.53 / 54.45 ± 3.73@@77.005280722052,53.57 ± 2.21 / 66.27 ± 2.43@@53.570959407472195,72.02 ± 2.71 / 70.61 ± 1.97@@72.02342134316882,43.89 ± 6.98 / 70.43 ± 3.93@@43.888940212615054,63.83 ± 1.46 / 28.25 ± 3.00@@63.831163788139484,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B (few-shot)</a>,📝,1.37@@1.37,1.58@@1.58,1.38@@1.38,1.14@@1.14,32759790592.0,151665.0,131072.0,✓,✗,95.42 ± 0.53 / 97.71 ± 0.26@@95.41994849501414,71.74 ± 1.69 / 65.08 ± 1.92@@71.73890706620686,40.38 ± 1.69 / 61.68 ± 1.46@@40.3754559519657,73.88 ± 0.55 / 43.02 ± 0.58@@73.87836727600036,67.72 ± 1.59 / 76.13 ± 1.34@@67.71974676869922,84.91 ± 0.80 / 58.73 ± 2.34@@84.91246019980122,31.09 ± 2.28 / 55.22 ± 2.85@@31.09258718676332,73.47 ± 0.62 / 51.98 ± 1.73@@73.47120820869185,53.21 ± 1.43 / 67.24 ± 1.22@@53.20891018083761,75.82 ± 0.70 / 67.41 ± 1.73@@75.82204228751638,40.33 ± 2.27 / 64.75 ± 2.04@@40.33036757575026,67.52 ± 0.54 / 41.11 ± 0.91@@67.52012270113786,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B (few-shot)</a>,🧠,1.38@@1.38,1.54@@1.54,1.38@@1.38,1.21@@1.21,70553706496.0,128256.0,8192.0,✓,✗,94.44 ± 0.62 / 97.19 ± 0.32@@94.43603414781207,68.67 ± 1.61 / 65.40 ± 1.45@@68.66564322037323,42.85 ± 3.39 / 67.28 ± 2.99@@42.846424359691696,76.09 ± 1.41 / 47.07 ± 1.27@@76.08890405054747,66.35 ± 1.15 / 76.83 ± 0.96@@66.35358585514545,84.06 ± 0.78 / 69.26 ± 1.96@@84.06321170484449,29.93 ± 5.12 / 61.63 ± 3.98@@29.933501498107297,74.61 ± 2.23 / 54.81 ± 3.74@@74.61056447123885,49.01 ± 2.59 / 65.24 ± 1.53@@49.01214125033869,74.96 ± 0.84 / 71.34 ± 0.95@@74.95765194161505,37.17 ± 3.97 / 68.18 ± 2.04@@37.17212949023734,68.93 ± 2.01 / 41.87 ± 3.44@@68.93367502561566,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B (few-shot)</a>,🧠,1.41@@1.41,1.50@@1.50,1.39@@1.39,1.34@@1.34,70553706496.0,128256.0,131072.0,✓,✗,94.57 ± 0.52 / 97.26 ± 0.26@@94.57282534437083,69.69 ± 1.62 / 67.86 ± 1.53@@69.69336775723679,43.94 ± 2.30 / 69.51 ± 1.28@@43.93531993101627,76.72 ± 1.46 / 47.78 ± 1.33@@76.71758484827859,65.88 ± 1.24 / 74.91 ± 1.29@@65.88330474629875,82.91 ± 0.97 / 70.39 ± 1.11@@82.91042799924973,28.28 ± 5.33 / 60.93 ± 3.75@@28.27825440634404,74.71 ± 2.06 / 55.22 ± 3.80@@74.70985312466391,49.23 ± 2.22 / 65.00 ± 1.33@@49.22875145298022,75.27 ± 1.28 / 72.24 ± 1.51@@75.27178163837893,33.26 ± 3.89 / 61.59 ± 4.62@@33.25587286299615,68.51 ± 1.81 / 41.56 ± 3.24@@68.50651968437194,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (few-shot, val)</a>",📝,1.45@@1.45,1.51@@1.51,1.38@@1.38,1.47@@1.47,,256128.0,1048576.0,✓,✗,97.72 ± 0.90 / 98.86 ± 0.45@@97.71750643385799,74.44 ± 1.72 / 70.06 ± 2.01@@74.43784579820682,41.49 ± 3.45 / 64.92 ± 1.81@@41.491945451281595,68.12 ± 0.94 / 33.33 ± 1.87@@68.11885812077895,65.71 ± 1.51 / 74.31 ± 1.36@@65.70534440444898,77.82 ± 1.80 / 60.51 ± 2.74@@77.8159850548289,34.30 ± 7.22 / 58.81 ± 6.47@@34.297149251573614,72.55 ± 0.92 / 48.31 ± 1.97@@72.54983854808995,53.40 ± 2.25 / 66.13 ± 2.22@@53.401643634197406,73.55 ± 1.21 / 60.42 ± 1.48@@73.55443208107971,30.57 ± 4.62 / 60.59 ± 3.03@@30.567053916404564,64.10 ± 1.15 / 32.03 ± 1.63@@64.1040894475511,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.6.1.dev0@@150601,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B (few-shot)</a>,📝,1.50@@1.50,1.73@@1.73,1.53@@1.53,1.25@@1.25,14765947904.0,151665.0,131072.0,✓,✗,94.09 ± 0.65 / 97.03 ± 0.33@@94.08585130987983,61.65 ± 2.09 / 57.00 ± 1.55@@61.64928833316692,41.63 ± 1.60 / 64.44 ± 1.19@@41.6322813238736,69.48 ± 0.89 / 39.10 ± 0.67@@69.48036173583372,64.56 ± 1.19 / 75.33 ± 0.97@@64.56286681796713,76.97 ± 1.62 / 54.77 ± 1.78@@76.96578030414678,31.31 ± 3.17 / 56.32 ± 2.89@@31.306711463758713,70.25 ± 0.74 / 47.73 ± 1.57@@70.24874026804669,53.82 ± 1.35 / 68.53 ± 1.02@@53.82113408301065,72.39 ± 0.95 / 66.52 ± 0.98@@72.3879402903356,40.27 ± 3.10 / 66.67 ± 2.74@@40.26831120379537,62.47 ± 0.80 / 35.44 ± 1.23@@62.473092822219805,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (few-shot)</a>,📝,1.53@@1.53,1.60@@1.60,1.69@@1.69,1.31@@1.31,72706203648.0,152064.0,32768.0,✓,✗,94.67 ± 0.61 / 97.31 ± 0.32@@94.67098236185223,62.77 ± 2.68 / 54.80 ± 3.20@@62.76781462104617,46.11 ± 1.30 / 67.89 ± 0.85@@46.10943521470335,70.99 ± 0.67 / 38.28 ± 0.99@@70.98690321651625,48.59 ± 1.01 / 49.20 ± 0.59@@48.59207935428056,71.95 ± 2.88 / 50.19 ± 2.22@@71.95009476198602,35.42 ± 3.09 / 63.44 ± 2.93@@35.423640073226565,71.24 ± 1.02 / 46.90 ± 2.32@@71.23975131793017,51.13 ± 1.78 / 66.36 ± 1.26@@51.12504543848814,69.79 ± 1.24 / 62.83 ± 0.95@@69.79426218760301,39.36 ± 3.09 / 68.02 ± 1.89@@39.3585212591112,62.91 ± 0.76 / 32.74 ± 2.00@@62.91078690496727,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (few-shot, val)</a>",📝,1.54@@1.54,1.56@@1.56,1.73@@1.73,1.32@@1.32,,200019.0,128000.0,✓,✗,95.64 ± 1.44 / 97.79 ± 0.74@@95.6393035894765,69.67 ± 4.44 / 60.14 ± 4.38@@69.66583101183464,42.76 ± 3.62 / 65.94 ± 2.04@@42.757852087433534,70.88 ± 1.03 / 36.03 ± 1.55@@70.88057505579887,49.40 ± 2.25 / 49.24 ± 1.13@@49.40118733234822,72.14 ± 4.27 / 50.10 ± 3.17@@72.13645681042979,31.04 ± 2.03 / 52.20 ± 1.56@@31.04412551199202,75.80 ± 1.26 / 52.67 ± 2.55@@75.80031690085467,47.00 ± 2.93 / 59.76 ± 2.44@@47.00137354381398,81.06 ± 1.36 / 71.31 ± 2.10@@81.0614227662296,33.51 ± 3.96 / 61.10 ± 2.74@@33.51211594081603,67.36 ± 0.87 / 31.59 ± 1.65@@67.36484403889696,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.6.1.dev0@@150601,15.4.2@@150402,15.4.2@@150402
<a href='https://huggingface.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B (few-shot)</a>,🤔,1.56@@1.56,1.68@@1.68,1.56@@1.56,1.45@@1.45,14768307200.0,151936.0,40960.0,✓,✗,93.68 ± 0.57 / 96.84 ± 0.28@@93.68066958303736,69.21 ± 1.87 / 66.13 ± 1.86@@69.21346155813774,36.63 ± 1.57 / 59.16 ± 1.21@@36.62560722469205,72.25 ± 0.60 / 42.84 ± 0.64@@72.25414352042904,65.64 ± 1.52 / 75.66 ± 1.23@@65.64018157529273,76.86 ± 0.51 / 53.05 ± 0.94@@76.85575623373946,28.75 ± 1.29 / 53.38 ± 0.69@@28.7475567106294,64.06 ± 13.38 / 47.47 ± 10.37@@64.06161546137933,47.37 ± 1.77 / 62.19 ± 1.41@@47.37216687562714,78.03 ± 0.70 / 67.96 ± 1.65@@78.0319581267141,32.33 ± 0.76 / 58.27 ± 0.81@@32.32720177235034,64.85 ± 0.49 / 39.00 ± 0.90@@64.85297696101036,15.7.2.dev0@@150702,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
<a href='https://huggingface.co/Qwen/QwQ-32B'>Qwen/QwQ-32B (few-shot)</a>,🤔,1.57@@1.57,1.73@@1.73,1.55@@1.55,1.44@@1.44,32763876352.0,152064.0,40960.0,✓,✗,94.34 ± 0.69 / 97.16 ± 0.35@@94.33796088355825,71.24 ± 2.09 / 68.18 ± 1.83@@71.24310195777322,34.96 ± 1.45 / 57.28 ± 1.19@@34.961862996528254,67.76 ± 0.78 / 39.10 ± 0.87@@67.75833674127287,64.66 ± 1.70 / 73.15 ± 1.57@@64.66016180501867,82.70 ± 0.64 / 65.92 ± 1.30@@82.69887972076141,26.68 ± 0.95 / 50.27 ± 0.63@@26.684947617165527,71.20 ± 0.77 / 53.20 ± 0.84@@71.19857181426546,48.55 ± 2.49 / 64.60 ± 1.86@@48.55025676759109,77.69 ± 0.71 / 70.68 ± 2.02@@77.69262281003303,33.89 ± 1.23 / 56.99 ± 0.77@@33.886159047909445,62.55 ± 0.53 / 38.00 ± 0.93@@62.54912014264706,15.7.1.dev0@@150701,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B (few-shot)</a>,🤔,1.57@@1.57,1.68@@1.68,1.53@@1.53,1.50@@1.50,30532122624.0,151936.0,40960.0,✓,✗,92.96 ± 0.60 / 96.48 ± 0.30@@92.96245458005063,70.71 ± 1.94 / 67.56 ± 1.71@@70.70666020640077,37.00 ± 1.25 / 60.45 ± 0.81@@36.99567962182553,71.08 ± 0.49 / 42.00 ± 0.60@@71.08210501480146,63.98 ± 1.59 / 75.29 ± 0.98@@63.97940316164073,84.97 ± 0.66 / 61.90 ± 1.81@@84.97417692361653,27.28 ± 0.99 / 52.48 ± 0.74@@27.27617877914455,70.09 ± 0.50 / 50.41 ± 1.12@@70.08677352709346,46.95 ± 2.20 / 61.93 ± 1.78@@46.94784212119674,77.85 ± 1.16 / 71.71 ± 1.33@@77.84628321312117,30.87 ± 0.67 / 57.13 ± 0.67@@30.87287364913832,63.19 ± 0.52 / 37.16 ± 1.01@@63.18891381783512,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501 (few-shot)</a>,📝,1.59@@1.59,1.73@@1.73,1.57@@1.57,1.46@@1.46,23572403200.0,131072.0,32768.0,✓,✗,93.83 ± 0.59 / 96.91 ± 0.29@@93.83439200145904,70.22 ± 1.96 / 63.83 ± 2.81@@70.22108776521281,32.02 ± 1.93 / 53.55 ± 1.72@@32.02179154156769,72.43 ± 1.36 / 42.12 ± 1.13@@72.43162058606498,66.52 ± 1.60 / 77.52 ± 1.11@@66.52125959319693,75.92 ± 0.91 / 50.73 ± 2.42@@75.92450827705596,27.13 ± 1.42 / 50.81 ± 1.04@@27.132228016631654,72.70 ± 0.66 / 52.15 ± 1.04@@72.69819624366424,51.95 ± 2.04 / 64.99 ± 1.92@@51.94849855755106,71.31 ± 0.91 / 60.69 ± 1.60@@71.30955738796733,33.10 ± 0.66 / 55.84 ± 0.94@@33.102345484177356,59.94 ± 1.20 / 35.64 ± 0.98@@59.943963126547956,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (few-shot)</a>,📝,1.60@@1.60,1.70@@1.70,1.63@@1.63,1.46@@1.46,27432406640.0,262144.0,,✓,✗,95.00 ± 0.43 / 97.50 ± 0.22@@95.00464563929289,62.81 ± 1.89 / 58.35 ± 2.41@@62.8056551043548,44.39 ± 2.70 / 69.69 ± 1.90@@44.394849362399555,68.46 ± 0.79 / 35.92 ± 1.19@@68.45535204874268,66.68 ± 1.09 / 77.02 ± 1.10@@66.68174065766064,75.58 ± 1.06 / 54.84 ± 2.26@@75.5801036061839,23.61 ± 3.29 / 57.25 ± 2.94@@23.60998032695973,71.39 ± 0.54 / 50.30 ± 1.27@@71.38507252600328,52.65 ± 1.71 / 67.15 ± 1.50@@52.64842415275872,70.92 ± 1.02 / 61.26 ± 2.19@@70.91529110673261,32.89 ± 3.60 / 64.43 ± 2.48@@32.89085815016941,62.29 ± 0.77 / 34.14 ± 1.73@@62.28898599621486,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/google/gemma-3-12b-it'>google/gemma-3-12b-it (few-shot)</a>,📝,1.63@@1.63,1.73@@1.73,1.59@@1.59,1.57@@1.57,12187325040.0,262144.0,,✓,✗,93.18 ± 0.52 / 96.58 ± 0.26@@93.18170522018609,65.14 ± 1.48 / 59.29 ± 2.18@@65.13519279731726,39.65 ± 2.12 / 65.71 ± 1.19@@39.654429171900915,67.76 ± 1.21 / 37.42 ± 0.58@@67.76150078161638,66.38 ± 1.11 / 77.08 ± 0.89@@66.38060583295398,75.55 ± 1.42 / 54.23 ± 1.66@@75.55016416786468,25.77 ± 3.06 / 57.00 ± 3.09@@25.769062011287204,70.95 ± 0.76 / 48.52 ± 1.44@@70.95324215135864,47.12 ± 2.19 / 61.63 ± 1.96@@47.118615926852044,68.47 ± 1.54 / 60.01 ± 1.97@@68.46854895814609,33.05 ± 2.27 / 63.45 ± 1.61@@33.05336026078539,62.21 ± 0.48 / 34.65 ± 1.46@@62.20531678483754,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (few-shot, val)</a>",📝,1.63@@1.63,1.63@@1.63,1.53@@1.53,1.72@@1.72,8000000000.0,256128.0,1048576.0,✓,✗,95.45 ± 1.60 / 97.72 ± 0.80@@95.45201127628357,69.98 ± 1.98 / 61.77 ± 2.65@@69.98136489118401,40.97 ± 4.87 / 66.47 ± 2.40@@40.96783208391598,68.95 ± 1.19 / 32.47 ± 2.56@@68.95361936650728,62.53 ± 2.78 / 73.84 ± 1.75@@62.52813468600853,68.44 ± 2.31 / 55.31 ± 2.71@@68.44094104896588,32.86 ± 4.46 / 59.04 ± 3.19@@32.85954080394596,73.22 ± 0.87 / 48.53 ± 1.86@@73.22118025992427,46.84 ± 2.34 / 59.65 ± 2.03@@46.84407041615009,62.69 ± 2.50 / 56.54 ± 1.99@@62.69447145252238,28.73 ± 5.66 / 60.70 ± 3.61@@28.726229422643485,62.89 ± 1.11 / 28.70 ± 1.45@@62.891700388468735,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.6.1.dev0@@150601,15.5.0.dev0@@150500,15.5.0.dev0@@150500
