model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sentiment_headlines_es,conll_es,scala_es,mlqa_es,mlsum_es,mmlu_es,hellaswag_es,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version,mlsum_es_version,mmlu_es_version,hellaswag_es_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (few-shot, val)</a>",📝,1.14@@1.14,,256128.0,2097152.0,✓,✗,52.00 ± 2.78 / 65.06 ± 2.38@@51.99731354306339,76.85 ± 1.15 / 74.50 ± 1.46@@76.8535740521617,37.67 ± 6.76 / 66.87 ± 4.21@@37.66626849895691,68.94 ± 1.51 / 38.79 ± 1.81@@68.93706457903372,62.99 ± 0.09 / 13.66 ± 0.23@@62.990256547927856,74.81 ± 1.45 / 81.05 ± 1.07@@74.8110103788904,82.67 ± 2.80 / 86.99 ± 2.11@@82.67259654883225,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B (few-shot)</a>,📝,1.14@@1.14,32759790592.0,151665.0,131072.0,✓,✗,53.21 ± 1.43 / 67.24 ± 1.22@@53.20891018083761,75.82 ± 0.70 / 67.41 ± 1.73@@75.82204228751638,40.33 ± 2.27 / 64.75 ± 2.04@@40.33036757575026,67.52 ± 0.54 / 41.11 ± 0.91@@67.52012270113786,63.19 ± 0.11 / 13.68 ± 0.37@@63.18652283895062,78.85 ± 0.93 / 84.17 ± 0.70@@78.85400183882497,83.00 ± 0.56 / 87.20 ± 0.43@@82.99874729723712,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (few-shot, val)</a>",📝,1.14@@1.14,,256128.0,1048576.0,✓,✗,53.14 ± 1.96 / 65.53 ± 2.02@@53.137384897510856,76.67 ± 1.88 / 74.96 ± 1.54@@76.67008963113446,40.76 ± 4.53 / 68.65 ± 2.76@@40.763862943676166,63.23 ± 1.35 / 29.60 ± 1.70@@63.226602872416585,63.22 ± 0.13 / 13.64 ± 0.37@@63.22110861772672,79.32 ± 1.95 / 84.41 ± 1.47@@79.31504605862034,84.56 ± 2.35 / 88.36 ± 1.81@@84.56355422243247,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (few-shot, val)</a>",📝,1.23@@1.23,,256128.0,1048576.0,✓,✗,53.57 ± 2.21 / 66.27 ± 2.43@@53.570959407472195,72.02 ± 2.71 / 70.61 ± 1.97@@72.02342134316882,43.89 ± 6.98 / 70.43 ± 3.93@@43.888940212615054,63.83 ± 1.46 / 28.25 ± 3.00@@63.831163788139484,63.25 ± 0.16 / 14.62 ± 0.30@@63.246397068724036,72.24 ± 2.21 / 78.95 ± 1.71@@72.23829166164516,82.84 ± 2.30 / 87.07 ± 1.73@@82.83922558306061,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (few-shot, val)</a>",📝,1.23@@1.23,,200019.0,128000.0,✓,✗,47.00 ± 2.93 / 59.76 ± 2.44@@47.00137354381398,81.06 ± 1.36 / 71.31 ± 2.10@@81.0614227662296,33.51 ± 3.96 / 61.10 ± 2.74@@33.51211594081603,67.36 ± 0.87 / 31.59 ± 1.65@@67.36484403889696,62.97 ± 0.15 / 12.13 ± 0.31@@62.97166960663162,79.21 ± 2.42 / 84.34 ± 1.82@@79.2142623092315,85.27 ± 1.58 / 88.91 ± 1.21@@85.26893953618459,15.4.2@@150402,15.6.1.dev0@@150601,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B (few-shot)</a>,📝,1.25@@1.25,14765947904.0,151665.0,131072.0,✓,✗,53.82 ± 1.35 / 68.53 ± 1.02@@53.82113408301065,72.39 ± 0.95 / 66.52 ± 0.98@@72.3879402903356,40.27 ± 3.10 / 66.67 ± 2.74@@40.26831120379537,62.47 ± 0.80 / 35.44 ± 1.23@@62.473092822219805,62.89 ± 0.12 / 13.03 ± 0.42@@62.885822545358685,74.16 ± 0.69 / 80.64 ± 0.51@@74.15763859335098,77.66 ± 0.42 / 83.19 ± 0.32@@77.65524391604292,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (few-shot)</a>,📝,1.30@@1.30,72706203648.0,152064.0,32768.0,✓,✗,51.13 ± 1.78 / 66.36 ± 1.26@@51.12504543848814,69.79 ± 1.24 / 62.83 ± 0.95@@69.79426218760301,39.36 ± 3.09 / 68.02 ± 1.89@@39.3585212591112,62.91 ± 0.76 / 32.74 ± 2.00@@62.91078690496727,62.86 ± 0.09 / 11.83 ± 0.18@@62.855004790326355,73.64 ± 0.65 / 80.20 ± 0.49@@73.64004304488836,76.31 ± 1.21 / 82.07 ± 0.92@@76.30968669612174,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.31@@1.31,,,200000.0,✓,✗,49.03 ± 1.64 / 61.87 ± 1.51@@49.02808788402869,79.28 ± 1.36 / 64.86 ± 1.60@@79.28339834354283,33.48 ± 3.78 / 60.54 ± 2.58@@33.47813186929899,61.26 ± 0.90 / 27.53 ± 1.17@@61.26370314435934,61.94 ± 0.15 / 9.74 ± 0.14@@61.93588576512411,87.96 ± 1.21 / 90.98 ± 0.91@@87.96305009700231,74.86 ± 2.29 / 80.94 ± 1.77@@74.86149503431368,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.1@@150801,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B (few-shot)</a>,🧠,1.35@@1.35,70553706496.0,128256.0,8192.0,✓,✗,49.01 ± 2.59 / 65.24 ± 1.53@@49.01214125033869,74.96 ± 0.84 / 71.34 ± 0.95@@74.95765194161505,37.17 ± 3.97 / 68.18 ± 2.04@@37.17212949023734,68.93 ± 2.01 / 41.87 ± 3.44@@68.93367502561566,63.10 ± 0.43 / 18.89 ± 0.86@@63.0979784016381,63.69 ± 1.42 / 72.72 ± 1.07@@63.69234784396179,61.25 ± 4.86 / 70.12 ± 3.84@@61.245347232657934,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/Qwen/QwQ-32B'>Qwen/QwQ-32B (few-shot)</a>,🤔,1.40@@1.40,32763876352.0,152064.0,40960.0,✓,✗,48.55 ± 2.49 / 64.60 ± 1.86@@48.55025676759109,77.69 ± 0.71 / 70.68 ± 2.02@@77.69262281003303,33.89 ± 1.23 / 56.99 ± 0.77@@33.886159047909445,62.55 ± 0.53 / 38.00 ± 0.93@@62.54912014264706,61.76 ± 0.09 / 8.34 ± 0.12@@61.75836497408454,72.58 ± 15.82 / 79.29 ± 12.17@@72.57530502358628,74.02 ± 1.05 / 80.40 ± 0.79@@74.01761495072384,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
