model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,swerec,suc3,scala_sv,scandiqa_sv,swedn,mmlu_sv,hellaswag_sv,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version
<a href='https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8 (few-shot)</a>,📝,1.22@@1.22,405868625920.0,128256.0,131072.0,✓,✗,80.70 ± 0.46 / 79.67 ± 0.67@@80.69588988165437,76.27 ± 1.55 / 73.77 ± 1.72@@76.26688277527919,68.85 ± 1.48 / 83.10 ± 0.95@@68.8534836572833,66.31 ± 1.05 / 56.41 ± 2.22@@66.30596002545573,67.18 ± 0.12 / 20.05 ± 0.26@@67.18029100447893,75.85 ± 0.70 / 81.89 ± 0.53@@75.84639447201538,81.49 ± 0.52 / 86.08 ± 0.40@@81.48642166690354,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B (few-shot)</a>,📝,1.31@@1.31,70553706496.0,128256.0,131072.0,✓,✗,78.88 ± 0.94 / 77.93 ± 0.69@@78.87546038414072,71.29 ± 1.89 / 51.06 ± 3.91@@71.28677619202615,67.10 ± 1.08 / 83.26 ± 0.65@@67.09589847108478,66.28 ± 0.72 / 57.33 ± 0.88@@66.28086926857664,66.17 ± 0.09 / 17.78 ± 0.24@@66.1662689151126,76.16 ± 0.41 / 82.05 ± 0.32@@76.15529880766081,79.76 ± 1.67 / 84.74 ± 1.27@@79.75888444765557,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-7-sonnet-20250219@thinking (zero-shot, val)</a>",🤔,1.34@@1.34,,,200000.0,✓,✗,77.05 ± 3.17 / 73.89 ± 3.14@@77.05250388644143,75.41 ± 2.48 / 68.17 ± 1.76@@75.40660241667142,80.86 ± 1.73 / 90.40 ± 0.87@@80.85735110705832,60.67 ± 0.98 / 51.98 ± 1.17@@60.67206337159239,65.14 ± 0.13 / 14.54 ± 0.17@@65.13674879213795,75.57 ± 1.48 / 81.29 ± 1.21@@75.56822178432039,66.86 ± 2.25 / 74.88 ± 1.77@@66.86379501435783,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.36@@1.36,,,200000.0,✓,✗,74.47 ± 3.34 / 69.20 ± 3.06@@74.47281199197174,71.54 ± 1.97 / 54.33 ± 2.06@@71.54041239661294,71.99 ± 3.53 / 85.69 ± 1.86@@71.99230832292065,64.35 ± 0.88 / 54.61 ± 1.24@@64.34796603751502,64.84 ± 0.14 / 12.97 ± 0.21@@64.84016150003299,85.53 ± 1.88 / 89.14 ± 1.39@@85.52709313173754,67.38 ± 2.46 / 75.23 ± 1.90@@67.38027809690799,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.1@@150801,15.8.0@@150800
<a href='https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503 (few-shot)</a>,📝,1.36@@1.36,24011361280.0,131072.0,,✓,✗,79.45 ± 0.78 / 79.97 ± 0.74@@79.45281138891444,72.06 ± 2.19 / 59.31 ± 4.33@@72.05848347657448,63.94 ± 1.10 / 81.86 ± 0.55@@63.944803883393796,67.09 ± 0.46 / 59.29 ± 1.23@@67.08822794675744,66.15 ± 0.48 / 20.21 ± 0.48@@66.14711638321751,65.04 ± 0.66 / 73.75 ± 0.51@@65.04428766919632,80.93 ± 0.84 / 85.66 ± 0.64@@80.92529801848222,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B (few-shot)</a>,📝,1.36@@1.36,32759790592.0,151665.0,131072.0,✓,✗,79.74 ± 0.59 / 78.24 ± 0.77@@79.73877667057876,71.92 ± 1.71 / 48.52 ± 4.09@@71.91888142260451,60.18 ± 1.40 / 79.36 ± 0.87@@60.181023957815164,66.25 ± 0.46 / 56.42 ± 0.58@@66.2481812128302,65.86 ± 0.08 / 17.11 ± 0.23@@65.85900520236464,72.97 ± 0.72 / 79.73 ± 0.54@@72.97136600682836,78.67 ± 1.13 / 83.88 ± 0.85@@78.67236424095722,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (few-shot)</a>,📝,1.36@@1.36,70553706496.0,128256.0,131072.0,✓,✗,81.15 ± 0.64 / 80.25 ± 0.97@@81.14877715130234,71.98 ± 2.05 / 51.44 ± 3.30@@71.9772104255384,64.46 ± 1.14 / 81.56 ± 0.73@@64.46015051141342,64.14 ± 1.00 / 51.22 ± 1.77@@64.14300091599014,66.63 ± 0.10 / 18.54 ± 0.22@@66.63385814172216,70.79 ± 0.74 / 78.05 ± 0.55@@70.7894367487141,75.48 ± 0.71 / 81.42 ± 0.56@@75.48210534904796,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct (few-shot)</a>,📝,1.37@@1.37,70553706496.0,128256.0,131072.0,✓,✗,81.69 ± 0.62 / 81.33 ± 0.85@@81.68601698785386,72.16 ± 1.93 / 50.59 ± 2.82@@72.16440437487452,63.97 ± 1.73 / 81.83 ± 0.85@@63.96774957808214,66.35 ± 0.76 / 57.99 ± 1.26@@66.34580773585478,66.85 ± 0.08 / 19.44 ± 0.20@@66.8548259959789,69.59 ± 0.71 / 77.05 ± 0.52@@69.59360406334672,70.40 ± 1.27 / 77.35 ± 1.04@@70.40082571495537,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,1.38@@1.38,,256128.0,1048576.0,✓,✗,76.83 ± 2.76 / 73.83 ± 2.94@@76.83398239226416,67.68 ± 1.73 / 44.00 ± 1.49@@67.68366639150335,72.68 ± 2.57 / 85.05 ± 1.41@@72.68319011916617,55.61 ± 1.10 / 42.29 ± 1.17@@55.608897080157156,64.75 ± 0.14 / 12.56 ± 0.20@@64.7523914789781,83.44 ± 1.42 / 87.54 ± 1.08@@83.4424433361909,71.74 ± 2.17 / 78.24 ± 1.65@@71.73921800861595,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,1.39@@1.39,,200019.0,8191.0,✓,✗,74.85 ± 2.89 / 74.58 ± 2.54@@74.85129158055011,75.06 ± 2.26 / 44.92 ± 1.50@@75.06377528453866,65.23 ± 2.16 / 80.52 ± 1.22@@65.22993669891697,63.85 ± 1.17 / 53.02 ± 1.40@@63.852505460146084,65.80 ± 0.15 / 15.36 ± 0.14@@65.80448315711692,72.16 ± 2.30 / 78.98 ± 1.73@@72.161452076651,76.62 ± 1.49 / 82.23 ± 1.14@@76.62382489285143,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.4.0@@140400,14.4.0@@140400
